date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Cao_Bang,22.6667,106.25,18.5,80,9.0,76,997.0,1
2020-01-02,Cao_Bang,22.6667,106.25,20.0,83,11.7,70,995.2,1
2020-01-03,Cao_Bang,22.6667,106.25,20.5,84,12.6,84,993.4,1
2020-01-04,Cao_Bang,22.6667,106.25,20.3,86,11.7,85,991.8,1
2020-01-05,Cao_Bang,22.6667,106.25,20.2,84,16.6,72,990.7,1
2020-01-06,Cao_Bang,22.6667,106.25,20.6,85,17.7,88,989.3,1
2020-01-07,Cao_Bang,22.6667,106.25,20.6,89,8.3,56,989.9,1
2020-01-08,Cao_Bang,22.6667,106.25,20.7,85,14.1,43,989.9,1
2020-01-09,Cao_Bang,22.6667,106.25,19.8,86,10.0,68,988.3,1
2020-01-10,Cao_Bang,22.6667,106.25,21.2,84,14.9,84,986.5,1
2020-01-11,Cao_Bang,22.6667,106.25,17.6,78,21.4,80,989.5,1
2020-01-12,Cao_Bang,22.6667,106.25,14.5,77,8.2,39,991.3,1
2020-01-13,Cao_Bang,22.6667,106.25,14.8,83,10.5,86,989.0,1
2020-01-14,Cao_Bang,22.6667,106.25,16.3,94,10.4,100,988.9,1
2020-01-15,Cao_Bang,22.6667,106.25,18.1,93,15.4,90,986.8,1
2020-01-16,Cao_Bang,22.6667,106.25,16.9,85,16.0,96,990.6,1
2020-01-17,Cao_Bang,22.6667,106.25,13.6,82,7.4,98,993.8,1
2020-01-18,Cao_Bang,22.6667,106.25,12.9,87,8.4,99,992.2,1
2020-01-19,Cao_Bang,22.6667,106.25,13.4,81,7.4,99,994.8,1
2020-01-20,Cao_Bang,22.6667,106.25,13.2,89,6.2,100,993.7,1
2020-01-21,Cao_Bang,22.6667,106.25,16.6,91,10.1,98,991.9,1
2020-01-22,Cao_Bang,22.6667,106.25,20.0,91,11.5,99,989.1,1
2020-01-23,Cao_Bang,22.6667,106.25,21.2,87,14.5,83,987.5,1
2020-01-24,Cao_Bang,22.6667,106.25,19.6,93,14.4,97,988.1,1
2020-01-25,Cao_Bang,22.6667,106.25,12.8,86,10.8,93,991.0,1
2020-01-26,Cao_Bang,22.6667,106.25,12.7,64,8.9,22,991.9,0
2020-01-27,Cao_Bang,22.6667,106.25,11.6,68,10.9,52,990.8,0
2020-01-28,Cao_Bang,22.6667,106.25,12.1,65,8.1,92,992.7,0
2020-01-29,Cao_Bang,22.6667,106.25,12.4,72,7.9,74,995.5,1
2020-01-30,Cao_Bang,22.6667,106.25,12.3,72,8.7,34,994.8,0
2020-01-31,Cao_Bang,22.6667,106.25,13.1,69,12.0,35,992.8,0
2020-02-01,Cao_Bang,22.6667,106.25,14.5,86,10.3,99,992.1,1
2020-02-02,Cao_Bang,22.6667,106.25,16.4,92,6.1,93,991.8,1
2020-02-03,Cao_Bang,22.6667,106.25,15.0,92,12.1,91,992.6,1
2020-02-04,Cao_Bang,22.6667,106.25,13.4,88,6.5,93,993.4,1
2020-02-05,Cao_Bang,22.6667,106.25,13.5,92,5.8,100,991.8,1
2020-02-06,Cao_Bang,22.6667,106.25,16.8,89,10.5,96,989.7,1
2020-02-07,Cao_Bang,22.6667,106.25,16.2,94,7.9,100,993.2,1
2020-02-08,Cao_Bang,22.6667,106.25,14.4,91,7.8,97,996.9,1
2020-02-09,Cao_Bang,22.6667,106.25,13.6,80,7.2,88,999.0,1
2020-02-10,Cao_Bang,22.6667,106.25,14.1,79,8.4,100,994.5,1
2020-02-11,Cao_Bang,22.6667,106.25,17.2,89,11.7,98,990.9,1
2020-02-12,Cao_Bang,22.6667,106.25,18.8,92,5.9,84,988.5,1
2020-02-13,Cao_Bang,22.6667,106.25,20.6,87,12.4,70,984.8,1
2020-02-14,Cao_Bang,22.6667,106.25,20.9,92,11.0,72,981.9,1
2020-02-15,Cao_Bang,22.6667,106.25,20.1,84,13.0,86,985.9,1
2020-02-16,Cao_Bang,22.6667,106.25,14.1,55,13.7,51,997.1,0
2020-02-17,Cao_Bang,22.6667,106.25,14.0,55,10.5,41,1000.4,0
2020-02-18,Cao_Bang,22.6667,106.25,13.8,61,8.4,30,997.9,0
2020-02-19,Cao_Bang,22.6667,106.25,14.8,73,11.3,29,995.0,0
2020-02-20,Cao_Bang,22.6667,106.25,17.3,88,10.0,94,995.2,1
2020-02-21,Cao_Bang,22.6667,106.25,19.0,86,10.0,86,998.3,1
