date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Dien_Bien,21.386,103.023,19.0,82,6.4,38,966.9,0
2020-01-02,Dien_Bien,21.386,103.023,19.6,80,7.4,32,966.1,0
2020-01-03,Dien_Bien,21.386,103.023,20.5,77,6.2,15,963.5,0
2020-01-04,Dien_Bien,21.386,103.023,20.9,77,7.1,48,961.4,0
2020-01-05,Dien_Bien,21.386,103.023,21.3,74,10.0,27,960.4,1
2020-01-06,Dien_Bien,21.386,103.023,21.2,76,10.4,30,959.9,1
2020-01-07,Dien_Bien,21.386,103.023,20.8,79,5.5,35,960.1,1
2020-01-08,Dien_Bien,21.386,103.023,21.7,73,9.1,44,960.3,0
2020-01-09,Dien_Bien,21.386,103.023,22.0,68,6.5,31,959.3,0
2020-01-10,Dien_Bien,21.386,103.023,22.4,63,8.9,2,957.5,0
2020-01-11,Dien_Bien,21.386,103.023,21.8,64,7.3,8,957.3,0
2020-01-12,Dien_Bien,21.386,103.023,20.8,71,11.2,24,958.5,0
2020-01-13,Dien_Bien,21.386,103.023,20.1,75,11.8,42,957.7,0
2020-01-14,Dien_Bien,21.386,103.023,21.0,72,12.1,34,958.1,0
2020-01-15,Dien_Bien,21.386,103.023,22.2,61,12.6,3,957.7,0
2020-01-16,Dien_Bien,21.386,103.023,22.7,47,6.1,11,959.1,0
2020-01-17,Dien_Bien,21.386,103.023,21.5,60,9.9,18,960.4,0
2020-01-18,Dien_Bien,21.386,103.023,21.4,61,13.6,17,959.4,0
2020-01-19,Dien_Bien,21.386,103.023,21.2,67,13.4,37,960.4,1
2020-01-20,Dien_Bien,21.386,103.023,21.2,72,10.3,61,961.0,1
2020-01-21,Dien_Bien,21.386,103.023,21.3,72,12.4,21,961.5,1
2020-01-22,Dien_Bien,21.386,103.023,22.8,63,13.3,12,959.9,0
2020-01-23,Dien_Bien,21.386,103.023,22.6,56,12.5,1,957.9,0
2020-01-24,Dien_Bien,21.386,103.023,22.2,47,11.8,7,957.1,0
2020-01-25,Dien_Bien,21.386,103.023,20.7,59,13.3,23,955.8,0
2020-01-26,Dien_Bien,21.386,103.023,17.8,60,12.6,10,958.4,0
2020-01-27,Dien_Bien,21.386,103.023,17.0,59,10.8,17,956.8,0
2020-01-28,Dien_Bien,21.386,103.023,16.8,67,13.9,32,958.4,1
2020-01-29,Dien_Bien,21.386,103.023,14.7,71,13.0,43,962.3,1
2020-01-30,Dien_Bien,21.386,103.023,15.5,62,10.5,10,962.4,0
2020-01-31,Dien_Bien,21.386,103.023,15.2,72,6.2,51,961.4,1
2020-02-01,Dien_Bien,21.386,103.023,16.8,78,7.6,47,961.1,1
2020-02-02,Dien_Bien,21.386,103.023,19.3,71,10.5,26,960.7,0
2020-02-03,Dien_Bien,21.386,103.023,20.0,76,12.1,32,959.7,1
2020-02-04,Dien_Bien,21.386,103.023,20.3,79,11.5,36,959.4,1
2020-02-05,Dien_Bien,21.386,103.023,19.5,82,8.5,55,959.1,1
2020-02-06,Dien_Bien,21.386,103.023,19.8,81,7.7,23,958.9,1
2020-02-07,Dien_Bien,21.386,103.023,21.3,74,11.1,26,960.8,1
2020-02-08,Dien_Bien,21.386,103.023,22.4,75,10.4,56,963.0,1
2020-02-09,Dien_Bien,21.386,103.023,19.9,73,14.7,56,964.9,1
2020-02-10,Dien_Bien,21.386,103.023,20.2,67,12.6,43,962.1,0
2020-02-11,Dien_Bien,21.386,103.023,20.7,71,9.9,32,960.9,1
2020-02-12,Dien_Bien,21.386,103.023,21.4,67,15.6,24,958.9,1
2020-02-13,Dien_Bien,21.386,103.023,22.9,50,15.9,2,956.2,0
2020-02-14,Dien_Bien,21.386,103.023,23.2,39,16.9,18,953.3,0
2020-02-15,Dien_Bien,21.386,103.023,23.6,38,11.9,5,955.3,0
2020-02-16,Dien_Bien,21.386,103.023,20.6,60,16.4,9,960.7,0
2020-02-17,Dien_Bien,21.386,103.023,16.9,57,14.8,9,965.9,0
2020-02-18,Dien_Bien,21.386,103.023,16.7,55,11.9,53,965.3,0
2020-02-19,Dien_Bien,21.386,103.023,18.9,59,8.7,44,963.7,0
2020-02-20,Dien_Bien,21.386,103.023,20.6,66,9.4,51,963.5,0
2020-02-21,Dien_Bien,21.386,103.023,21.7,66,12.2,72,966.9,0
2020-02-22,Dien_Bien,21.386,103.023,20.6,64,12.6,10,967.8,0
2020-02-23,Dien_Bien,21.386,103.023,20.3,62,8.4,14,965.2,0
2020-02-24,Dien_Bien,21.386,103.023,21.1,63,8.3,19,961.2,0
2020-02-25,Dien_Bien,21.386,103.023,22.5,64,7.3,19,959.6,1
2020-02-26,Dien_Bien,21.386,103.023,23.6,64,7.3,75,960.1,0
2020-02-27,Dien_Bien,21.386,103.023,23.5,63,9.5,89,959.6,1
2020-02-28,Dien_Bien,21.386,103.023,23.9,61,11.0,59,958.3,0
2020-02-29,Dien_Bien,21.386,103.023,23.2,67,9.5,25,957.2,1
2020-03-01,Dien_Bien,21.386,103.023,24.5,59,7.3,13,956.8,1
2020-03-02,Dien_Bien,21.386,103.023,23.6,73,9.4,36,957.2,1
2020-03-03,Dien_Bien,21.386,103.023,22.4,81,8.3,38,957.4,1
2020-03-04,Dien_Bien,21.386,103.023,21.3,81,10.4,52,959.0,1
2020-03-05,Dien_Bien,21.386,103.023,20.4,73,12.4,82,959.9,0
2020-03-06,Dien_Bien,21.386,103.023,21.9,76,9.2,49,958.4,1
2020-03-07,Dien_Bien,21.386,103.023,23.9,67,15.1,38,956.9,0
2020-03-08,Dien_Bien,21.386,103.023,25.7,49,19.0,28,953.5,0
2020-03-09,Dien_Bien,21.386,103.023,26.1,39,12.2,8,952.9,0
2020-03-10,Dien_Bien,21.386,103.023,23.6,54,16.6,12,955.8,0
2020-03-11,Dien_Bien,21.386,103.023,24.0,61,15.0,39,957.3,1
2020-03-12,Dien_Bien,21.386,103.023,26.0,56,14.8,24,956.6,0
2020-03-13,Dien_Bien,21.386,103.023,28.3,35,7.4,1,957.7,0
2020-03-14,Dien_Bien,21.386,103.023,25.7,70,17.0,51,959.3,1
2020-03-15,Dien_Bien,21.386,103.023,24.5,67,10.1,69,959.6,1
2020-03-16,Dien_Bien,21.386,103.023,24.8,72,10.6,76,958.8,1
2020-03-17,Dien_Bien,21.386,103.023,24.4,78,10.1,21,958.8,1
2020-03-18,Dien_Bien,21.386,103.023,24.8,78,14.3,25,956.0,1
2020-03-19,Dien_Bien,21.386,103.023,24.3,79,15.7,60,956.7,1
2020-03-20,Dien_Bien,21.386,103.023,23.6,76,10.8,71,957.4,1
2020-03-21,Dien_Bien,21.386,103.023,22.8,83,11.1,35,957.5,1
2020-03-22,Dien_Bien,21.386,103.023,22.0,85,7.2,36,957.6,0
2020-03-23,Dien_Bien,21.386,103.023,22.3,83,11.4,34,957.4,1
2020-03-24,Dien_Bien,21.386,103.023,21.6,87,6.1,34,956.3,1
2020-03-25,Dien_Bien,21.386,103.023,21.3,87,9.5,45,955.1,1
2020-03-26,Dien_Bien,21.386,103.023,22.5,82,9.3,38,954.8,0
2020-03-27,Dien_Bien,21.386,103.023,24.3,66,9.0,3,954.8,0
2020-03-28,Dien_Bien,21.386,103.023,25.7,63,9.4,8,954.0,0
2020-03-29,Dien_Bien,21.386,103.023,27.4,60,13.6,24,952.7,0
2020-03-30,Dien_Bien,21.386,103.023,28.3,49,13.0,2,952.6,0
2020-03-31,Dien_Bien,21.386,103.023,28.0,54,10.3,2,953.9,0
2020-04-01,Dien_Bien,21.386,103.023,27.0,65,11.8,24,955.1,0
2020-04-02,Dien_Bien,21.386,103.023,26.4,68,16.3,22,955.7,1
2020-04-03,Dien_Bien,21.386,103.023,26.3,73,16.9,22,957.0,1
2020-04-04,Dien_Bien,21.386,103.023,25.5,77,15.5,29,957.9,1
2020-04-05,Dien_Bien,21.386,103.023,21.9,82,13.4,68,959.5,1
2020-04-06,Dien_Bien,21.386,103.023,21.7,77,9.8,72,958.0,1
2020-04-07,Dien_Bien,21.386,103.023,20.7,76,12.7,76,957.6,1
2020-04-08,Dien_Bien,21.386,103.023,20.9,82,7.9,88,958.8,1
2020-04-09,Dien_Bien,21.386,103.023,22.5,79,11.5,73,959.8,0
2020-04-10,Dien_Bien,21.386,103.023,23.4,84,7.9,61,959.5,1
2020-04-11,Dien_Bien,21.386,103.023,24.5,81,6.5,73,958.8,1
2020-04-12,Dien_Bien,21.386,103.023,21.4,77,17.2,70,960.1,1
2020-04-13,Dien_Bien,21.386,103.023,16.5,77,11.9,87,961.8,1
2020-04-14,Dien_Bien,21.386,103.023,19.3,81,5.2,66,960.6,1
2020-04-15,Dien_Bien,21.386,103.023,22.2,80,7.5,53,957.8,0
2020-04-16,Dien_Bien,21.386,103.023,23.7,82,13.6,50,955.6,1
2020-04-17,Dien_Bien,21.386,103.023,23.8,85,10.0,60,956.3,1
2020-04-18,Dien_Bien,21.386,103.023,23.8,85,9.8,88,957.2,1
2020-04-19,Dien_Bien,21.386,103.023,26.2,74,8.1,32,955.9,1
2020-04-20,Dien_Bien,21.386,103.023,26.0,76,10.4,13,956.2,1
2020-04-21,Dien_Bien,21.386,103.023,27.2,65,9.7,29,955.1,1
2020-04-22,Dien_Bien,21.386,103.023,26.0,75,9.3,55,955.5,1
2020-04-23,Dien_Bien,21.386,103.023,23.4,87,11.9,83,958.3,1
2020-04-24,Dien_Bien,21.386,103.023,17.9,92,14.0,99,961.1,1
2020-04-25,Dien_Bien,21.386,103.023,19.1,83,9.4,91,961.3,1
2020-04-26,Dien_Bien,21.386,103.023,18.8,89,11.2,97,963.0,1
2020-04-27,Dien_Bien,21.386,103.023,19.5,85,6.8,94,963.9,1
2020-04-28,Dien_Bien,21.386,103.023,21.6,74,8.9,59,961.2,0
2020-04-29,Dien_Bien,21.386,103.023,20.8,83,8.2,70,960.3,1
2020-04-30,Dien_Bien,21.386,103.023,22.6,85,5.2,77,959.7,1
2020-05-01,Dien_Bien,21.386,103.023,22.3,91,3.0,52,957.5,1
2020-05-02,Dien_Bien,21.386,103.023,24.5,84,5.1,60,955.7,0
2020-05-03,Dien_Bien,21.386,103.023,25.5,85,7.6,59,955.8,1
2020-05-04,Dien_Bien,21.386,103.023,26.8,79,9.4,19,956.1,0
2020-05-05,Dien_Bien,21.386,103.023,27.4,76,8.6,9,954.8,0
2020-05-06,Dien_Bien,21.386,103.023,28.6,71,10.5,20,953.6,1
2020-05-07,Dien_Bien,21.386,103.023,29.7,68,10.6,42,952.9,1
2020-05-08,Dien_Bien,21.386,103.023,28.9,71,11.2,56,953.4,1
2020-05-09,Dien_Bien,21.386,103.023,27.9,76,8.4,68,955.3,1
2020-05-10,Dien_Bien,21.386,103.023,28.2,74,9.8,68,956.1,1
2020-05-11,Dien_Bien,21.386,103.023,28.7,68,10.6,47,956.1,0
2020-05-12,Dien_Bien,21.386,103.023,27.3,73,10.0,62,956.4,1
2020-05-13,Dien_Bien,21.386,103.023,25.9,85,7.4,86,956.4,1
2020-05-14,Dien_Bien,21.386,103.023,26.6,79,9.7,60,955.6,1
2020-05-15,Dien_Bien,21.386,103.023,27.0,75,17.3,23,952.9,1
2020-05-16,Dien_Bien,21.386,103.023,27.8,68,9.4,17,952.1,0
2020-05-17,Dien_Bien,21.386,103.023,28.5,64,7.9,33,951.0,1
2020-05-18,Dien_Bien,21.386,103.023,29.0,64,7.9,21,950.8,1
2020-05-19,Dien_Bien,21.386,103.023,28.4,70,12.0,43,951.6,1
2020-05-20,Dien_Bien,21.386,103.023,28.7,73,11.8,84,951.7,1
2020-05-21,Dien_Bien,21.386,103.023,29.6,67,13.2,88,952.4,1
2020-05-22,Dien_Bien,21.386,103.023,29.8,68,7.6,96,952.6,1
2020-05-23,Dien_Bien,21.386,103.023,30.4,64,7.2,76,952.7,1
2020-05-24,Dien_Bien,21.386,103.023,29.5,66,14.3,84,953.9,1
2020-05-25,Dien_Bien,21.386,103.023,30.5,58,13.4,51,954.4,1
2020-05-26,Dien_Bien,21.386,103.023,30.5,59,13.3,60,954.6,0
2020-05-27,Dien_Bien,21.386,103.023,27.7,76,10.3,49,955.6,1
2020-05-28,Dien_Bien,21.386,103.023,25.2,86,6.0,79,955.9,1
2020-05-29,Dien_Bien,21.386,103.023,26.0,84,6.8,72,955.3,1
2020-05-30,Dien_Bien,21.386,103.023,26.6,79,9.7,65,956.3,1
2020-05-31,Dien_Bien,21.386,103.023,25.4,85,9.1,62,956.7,1
2020-06-01,Dien_Bien,21.386,103.023,25.9,85,10.7,74,955.8,1
2020-06-02,Dien_Bien,21.386,103.023,26.1,83,11.6,51,954.0,1
2020-06-03,Dien_Bien,21.386,103.023,27.5,78,6.8,65,953.2,1
2020-06-04,Dien_Bien,21.386,103.023,27.9,75,10.6,77,952.6,1
2020-06-05,Dien_Bien,21.386,103.023,26.0,86,12.5,86,953.2,1
2020-06-06,Dien_Bien,21.386,103.023,26.2,87,9.7,94,952.7,1
2020-06-07,Dien_Bien,21.386,103.023,26.3,86,12.5,97,952.2,1
2020-06-08,Dien_Bien,21.386,103.023,26.8,83,8.7,96,952.0,1
2020-06-09,Dien_Bien,21.386,103.023,27.2,82,8.0,99,953.2,1
2020-06-10,Dien_Bien,21.386,103.023,25.7,92,4.8,100,954.3,1
2020-06-11,Dien_Bien,21.386,103.023,26.1,90,8.9,94,953.4,1
2020-06-12,Dien_Bien,21.386,103.023,26.2,86,10.7,88,951.5,1
2020-06-13,Dien_Bien,21.386,103.023,27.8,83,7.6,91,950.5,1
2020-06-14,Dien_Bien,21.386,103.023,26.0,92,7.1,100,952.1,1
2020-06-15,Dien_Bien,21.386,103.023,25.4,95,4.6,91,953.4,1
2020-06-16,Dien_Bien,21.386,103.023,25.2,92,11.3,85,953.2,1
2020-06-17,Dien_Bien,21.386,103.023,25.4,89,9.2,74,952.2,1
2020-06-18,Dien_Bien,21.386,103.023,25.5,92,6.1,93,952.9,1
2020-06-19,Dien_Bien,21.386,103.023,26.1,89,7.1,82,953.5,1
2020-06-20,Dien_Bien,21.386,103.023,26.9,85,9.1,70,953.5,1
2020-06-21,Dien_Bien,21.386,103.023,27.1,83,10.5,78,951.9,1
2020-06-22,Dien_Bien,21.386,103.023,27.3,85,8.9,72,951.8,1
2020-06-23,Dien_Bien,21.386,103.023,26.6,88,10.9,97,953.5,1
2020-06-24,Dien_Bien,21.386,103.023,26.8,89,10.2,99,953.0,1
2020-06-25,Dien_Bien,21.386,103.023,26.0,92,6.3,100,952.2,1
2020-06-26,Dien_Bien,21.386,103.023,25.2,92,10.8,96,952.1,1
2020-06-27,Dien_Bien,21.386,103.023,26.1,88,7.1,94,952.7,1
2020-06-28,Dien_Bien,21.386,103.023,27.3,81,7.9,81,952.4,1
2020-06-29,Dien_Bien,21.386,103.023,27.9,79,7.9,91,951.8,1
2020-06-30,Dien_Bien,21.386,103.023,27.7,84,8.2,96,951.3,1
2020-07-01,Dien_Bien,21.386,103.023,26.2,91,6.9,100,950.6,1
2020-07-02,Dien_Bien,21.386,103.023,26.0,93,7.3,99,950.3,1
2020-07-03,Dien_Bien,21.386,103.023,25.9,93,4.0,99,952.3,1
2020-07-04,Dien_Bien,21.386,103.023,25.2,94,5.4,96,953.4,1
2020-07-05,Dien_Bien,21.386,103.023,25.9,90,5.9,94,952.6,1
2020-07-06,Dien_Bien,21.386,103.023,26.7,87,6.5,92,952.0,1
2020-07-07,Dien_Bien,21.386,103.023,26.6,89,6.9,98,954.1,1
2020-07-08,Dien_Bien,21.386,103.023,27.0,86,10.4,98,953.8,1
2020-07-09,Dien_Bien,21.386,103.023,26.7,87,10.5,100,951.8,1
2020-07-10,Dien_Bien,21.386,103.023,25.0,96,6.3,100,951.7,1
2020-07-11,Dien_Bien,21.386,103.023,24.4,97,8.7,100,952.2,1
2020-07-12,Dien_Bien,21.386,103.023,23.9,98,7.2,100,952.4,1
2020-07-13,Dien_Bien,21.386,103.023,25.5,87,7.1,73,953.5,1
2020-07-14,Dien_Bien,21.386,103.023,26.2,83,5.5,55,954.6,1
2020-07-15,Dien_Bien,21.386,103.023,26.8,81,5.9,51,953.0,1
2020-07-16,Dien_Bien,21.386,103.023,27.6,79,7.3,59,952.2,1
2020-07-17,Dien_Bien,21.386,103.023,27.6,79,9.0,99,952.9,1
2020-07-18,Dien_Bien,21.386,103.023,26.8,84,10.2,98,954.1,1
2020-07-19,Dien_Bien,21.386,103.023,26.0,90,8.9,93,953.5,1
2020-07-20,Dien_Bien,21.386,103.023,25.3,95,5.3,96,954.0,1
2020-07-21,Dien_Bien,21.386,103.023,25.5,92,3.1,98,955.3,1
2020-07-22,Dien_Bien,21.386,103.023,26.6,84,6.5,68,954.7,1
2020-07-23,Dien_Bien,21.386,103.023,27.0,80,9.5,29,954.8,1
2020-07-24,Dien_Bien,21.386,103.023,27.9,77,6.4,22,954.9,1
2020-07-25,Dien_Bien,21.386,103.023,28.8,73,6.5,52,954.1,1
2020-07-26,Dien_Bien,21.386,103.023,27.9,82,7.9,98,953.8,1
2020-07-27,Dien_Bien,21.386,103.023,25.2,95,6.5,100,953.5,1
2020-07-28,Dien_Bien,21.386,103.023,24.8,92,4.1,96,954.3,1
2020-07-29,Dien_Bien,21.386,103.023,26.3,83,5.1,83,954.3,1
2020-07-30,Dien_Bien,21.386,103.023,27.2,80,4.3,62,953.3,1
2020-07-31,Dien_Bien,21.386,103.023,27.0,87,7.7,93,951.9,1
2020-08-01,Dien_Bien,21.386,103.023,27.0,88,5.2,74,948.9,1
2020-08-02,Dien_Bien,21.386,103.023,26.8,89,9.6,99,945.5,1
2020-08-03,Dien_Bien,21.386,103.023,26.2,89,11.8,98,946.2,1
2020-08-04,Dien_Bien,21.386,103.023,25.2,96,4.7,100,949.1,1
2020-08-05,Dien_Bien,21.386,103.023,24.9,96,4.8,99,951.6,1
2020-08-06,Dien_Bien,21.386,103.023,24.3,97,4.7,100,953.2,1
2020-08-07,Dien_Bien,21.386,103.023,25.4,92,5.7,89,953.1,1
2020-08-08,Dien_Bien,21.386,103.023,26.2,91,4.3,97,952.2,1
2020-08-09,Dien_Bien,21.386,103.023,26.6,89,7.5,98,951.6,1
2020-08-10,Dien_Bien,21.386,103.023,25.4,95,8.5,99,951.8,1
2020-08-11,Dien_Bien,21.386,103.023,25.5,92,11.8,98,951.8,1
2020-08-12,Dien_Bien,21.386,103.023,25.7,92,7.9,98,952.7,1
2020-08-13,Dien_Bien,21.386,103.023,25.7,92,5.5,98,953.2,1
2020-08-14,Dien_Bien,21.386,103.023,24.4,98,7.9,97,953.3,1
2020-08-15,Dien_Bien,21.386,103.023,23.9,97,6.1,95,952.9,1
2020-08-16,Dien_Bien,21.386,103.023,23.9,95,9.8,97,952.5,1
2020-08-17,Dien_Bien,21.386,103.023,23.6,96,7.8,99,952.4,1
2020-08-18,Dien_Bien,21.386,103.023,23.4,98,6.4,100,952.6,1
2020-08-19,Dien_Bien,21.386,103.023,23.5,97,4.2,100,952.8,1
2020-08-20,Dien_Bien,21.386,103.023,24.7,93,5.2,79,953.7,1
2020-08-21,Dien_Bien,21.386,103.023,24.4,94,6.6,98,954.7,1
2020-08-22,Dien_Bien,21.386,103.023,24.8,94,5.2,90,954.7,1
2020-08-23,Dien_Bien,21.386,103.023,25.4,90,5.5,82,953.8,1
2020-08-24,Dien_Bien,21.386,103.023,24.8,92,11.0,89,953.9,1
2020-08-25,Dien_Bien,21.386,103.023,25.0,94,6.6,94,954.0,1
2020-08-26,Dien_Bien,21.386,103.023,26.6,85,9.1,45,952.5,1
2020-08-27,Dien_Bien,21.386,103.023,27.3,81,8.5,29,950.8,1
2020-08-28,Dien_Bien,21.386,103.023,27.0,82,5.2,12,950.5,0
2020-08-29,Dien_Bien,21.386,103.023,26.8,84,4.8,70,951.8,1
2020-08-30,Dien_Bien,21.386,103.023,25.8,89,4.7,92,953.4,1
2020-08-31,Dien_Bien,21.386,103.023,24.4,98,4.8,99,955.6,1
2020-09-01,Dien_Bien,21.386,103.023,26.2,88,6.3,54,955.8,0
2020-09-02,Dien_Bien,21.386,103.023,26.8,84,3.7,35,955.5,0
2020-09-03,Dien_Bien,21.386,103.023,26.7,84,4.6,64,955.8,1
2020-09-04,Dien_Bien,21.386,103.023,26.8,84,8.2,59,955.4,1
2020-09-05,Dien_Bien,21.386,103.023,27.0,86,9.1,81,953.7,1
2020-09-06,Dien_Bien,21.386,103.023,26.4,89,7.9,99,952.7,1
2020-09-07,Dien_Bien,21.386,103.023,23.9,98,6.3,100,953.5,1
2020-09-08,Dien_Bien,21.386,103.023,25.0,94,5.4,96,955.4,1
2020-09-09,Dien_Bien,21.386,103.023,25.2,90,5.8,77,956.0,1
2020-09-10,Dien_Bien,21.386,103.023,24.0,96,5.6,98,953.9,1
2020-09-11,Dien_Bien,21.386,103.023,25.1,93,3.8,97,954.6,1
2020-09-12,Dien_Bien,21.386,103.023,25.0,95,4.6,99,956.9,1
2020-09-13,Dien_Bien,21.386,103.023,24.7,94,4.7,99,957.5,1
2020-09-14,Dien_Bien,21.386,103.023,24.8,95,4.0,96,956.2,1
2020-09-15,Dien_Bien,21.386,103.023,25.1,92,7.9,96,955.3,1
2020-09-16,Dien_Bien,21.386,103.023,25.3,93,5.4,99,954.4,1
2020-09-17,Dien_Bien,21.386,103.023,26.0,90,6.5,97,953.2,1
2020-09-18,Dien_Bien,21.386,103.023,26.0,79,15.8,74,952.7,1
2020-09-19,Dien_Bien,21.386,103.023,24.5,82,12.7,70,953.4,1
2020-09-20,Dien_Bien,21.386,103.023,24.7,87,8.3,63,955.2,1
2020-09-21,Dien_Bien,21.386,103.023,24.2,97,4.4,95,956.0,1
2020-09-22,Dien_Bien,21.386,103.023,24.5,95,8.3,98,956.3,1
2020-09-23,Dien_Bien,21.386,103.023,24.2,97,4.1,97,956.3,1
2020-09-24,Dien_Bien,21.386,103.023,24.2,95,4.4,95,957.1,1
2020-09-25,Dien_Bien,21.386,103.023,24.9,92,6.2,94,955.4,1
2020-09-26,Dien_Bien,21.386,103.023,25.0,94,5.0,98,954.7,1
2020-09-27,Dien_Bien,21.386,103.023,24.8,95,5.4,96,955.1,1
2020-09-28,Dien_Bien,21.386,103.023,25.7,88,6.0,36,954.9,1
2020-09-29,Dien_Bien,21.386,103.023,25.7,87,5.2,58,954.1,1
2020-09-30,Dien_Bien,21.386,103.023,26.0,90,5.0,77,953.6,1
2020-10-01,Dien_Bien,21.386,103.023,25.7,92,5.8,92,953.8,1
2020-10-02,Dien_Bien,21.386,103.023,25.9,88,4.0,70,954.8,1
