date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Dong_Thap,10.4938,105.6881,26.9,65,14.3,66,1013.9,0
2020-01-02,Dong_Thap,10.4938,105.6881,27.0,67,14.4,73,1014.4,0
2020-01-03,Dong_Thap,10.4938,105.6881,27.0,72,11.3,90,1013.3,0
2020-01-04,Dong_Thap,10.4938,105.6881,26.7,75,10.3,66,1011.6,1
2020-01-05,Dong_Thap,10.4938,105.6881,25.5,76,13.8,44,1011.6,0
2020-01-06,Dong_Thap,10.4938,105.6881,26.6,71,15.6,62,1011.7,0
2020-01-07,Dong_Thap,10.4938,105.6881,27.4,72,12.7,59,1010.9,1
2020-01-08,Dong_Thap,10.4938,105.6881,28.1,66,16.2,80,1010.4,1
2020-01-09,Dong_Thap,10.4938,105.6881,27.3,73,12.4,56,1009.7,1
2020-01-10,Dong_Thap,10.4938,105.6881,27.3,70,12.4,36,1009.4,1
2020-01-11,Dong_Thap,10.4938,105.6881,26.9,74,11.4,91,1009.9,0
2020-01-12,Dong_Thap,10.4938,105.6881,26.7,79,12.3,87,1009.7,1
2020-01-13,Dong_Thap,10.4938,105.6881,26.4,71,14.8,46,1009.5,1
2020-01-14,Dong_Thap,10.4938,105.6881,26.1,72,19.4,19,1010.7,0
2020-01-15,Dong_Thap,10.4938,105.6881,26.0,68,13.3,51,1011.3,0
2020-01-16,Dong_Thap,10.4938,105.6881,26.8,73,9.8,31,1011.4,0
2020-01-17,Dong_Thap,10.4938,105.6881,26.8,75,14.8,36,1012.0,0
2020-01-18,Dong_Thap,10.4938,105.6881,26.7,73,16.6,28,1011.6,0
2020-01-19,Dong_Thap,10.4938,105.6881,26.9,67,14.8,60,1011.9,0
2020-01-20,Dong_Thap,10.4938,105.6881,26.8,71,14.3,20,1012.5,1
2020-01-21,Dong_Thap,10.4938,105.6881,27.5,64,14.3,23,1013.8,0
2020-01-22,Dong_Thap,10.4938,105.6881,27.3,68,14.3,25,1012.9,0
2020-01-23,Dong_Thap,10.4938,105.6881,27.2,67,15.3,17,1012.0,0
2020-01-24,Dong_Thap,10.4938,105.6881,26.7,69,15.3,76,1011.7,0
2020-01-25,Dong_Thap,10.4938,105.6881,26.6,75,16.2,63,1010.6,0
2020-01-26,Dong_Thap,10.4938,105.6881,26.4,76,13.7,66,1010.1,0
2020-01-27,Dong_Thap,10.4938,105.6881,26.1,75,15.5,25,1010.1,0
2020-01-28,Dong_Thap,10.4938,105.6881,25.8,76,14.5,27,1010.7,0
2020-01-29,Dong_Thap,10.4938,105.6881,26.2,75,13.6,62,1012.0,0
2020-01-30,Dong_Thap,10.4938,105.6881,26.3,76,15.3,56,1011.6,1
2020-01-31,Dong_Thap,10.4938,105.6881,26.1,71,13.5,97,1012.3,1
2020-02-01,Dong_Thap,10.4938,105.6881,25.8,67,17.0,26,1012.5,0
2020-02-02,Dong_Thap,10.4938,105.6881,25.4,69,17.6,56,1013.8,0
2020-02-03,Dong_Thap,10.4938,105.6881,25.8,67,17.1,71,1013.0,0
2020-02-04,Dong_Thap,10.4938,105.6881,26.6,69,16.6,48,1012.0,0
2020-02-05,Dong_Thap,10.4938,105.6881,26.5,64,15.1,56,1011.6,0
2020-02-06,Dong_Thap,10.4938,105.6881,26.0,61,16.3,34,1012.5,0
2020-02-07,Dong_Thap,10.4938,105.6881,26.1,66,16.1,58,1012.7,0
2020-02-08,Dong_Thap,10.4938,105.6881,26.8,71,12.5,85,1012.7,0
2020-02-09,Dong_Thap,10.4938,105.6881,26.4,68,12.2,94,1012.5,0
2020-02-10,Dong_Thap,10.4938,105.6881,26.3,70,14.5,83,1012.8,0
2020-02-11,Dong_Thap,10.4938,105.6881,27.5,67,18.4,45,1013.0,0
2020-02-12,Dong_Thap,10.4938,105.6881,27.7,70,18.8,14,1012.8,0
2020-02-13,Dong_Thap,10.4938,105.6881,27.6,72,17.1,34,1011.8,0
2020-02-14,Dong_Thap,10.4938,105.6881,27.5,73,15.1,37,1010.3,0
2020-02-15,Dong_Thap,10.4938,105.6881,27.2,72,13.6,31,1011.1,0
2020-02-16,Dong_Thap,10.4938,105.6881,27.5,72,11.5,41,1012.2,0
2020-02-17,Dong_Thap,10.4938,105.6881,27.3,79,18.9,43,1013.0,1
2020-02-18,Dong_Thap,10.4938,105.6881,26.4,76,17.9,70,1013.2,1
2020-02-19,Dong_Thap,10.4938,105.6881,27.2,63,16.1,15,1013.2,0
2020-02-20,Dong_Thap,10.4938,105.6881,26.8,68,15.0,14,1013.3,0
2020-02-21,Dong_Thap,10.4938,105.6881,27.6,62,15.4,30,1014.2,0
2020-02-22,Dong_Thap,10.4938,105.6881,27.1,59,13.7,9,1014.6,0
2020-02-23,Dong_Thap,10.4938,105.6881,27.6,54,16.3,21,1013.8,0
2020-02-24,Dong_Thap,10.4938,105.6881,26.9,63,17.3,21,1012.3,0
2020-02-25,Dong_Thap,10.4938,105.6881,27.6,62,17.6,22,1011.1,0
2020-02-26,Dong_Thap,10.4938,105.6881,28.4,63,17.3,25,1011.1,0
2020-02-27,Dong_Thap,10.4938,105.6881,28.1,60,17.8,31,1010.5,0
2020-02-28,Dong_Thap,10.4938,105.6881,27.6,62,18.6,27,1010.1,1
2020-02-29,Dong_Thap,10.4938,105.6881,27.7,67,17.8,33,1009.6,0
2020-03-01,Dong_Thap,10.4938,105.6881,27.7,71,17.3,69,1010.2,0
2020-03-02,Dong_Thap,10.4938,105.6881,27.9,71,17.1,68,1010.2,1
2020-03-03,Dong_Thap,10.4938,105.6881,28.1,66,18.9,73,1010.4,0
2020-03-04,Dong_Thap,10.4938,105.6881,28.0,68,17.8,56,1010.5,0
2020-03-05,Dong_Thap,10.4938,105.6881,28.0,68,19.6,73,1011.0,0
2020-03-06,Dong_Thap,10.4938,105.6881,28.3,66,17.9,43,1012.1,0
2020-03-07,Dong_Thap,10.4938,105.6881,28.5,69,13.6,89,1011.8,0
2020-03-08,Dong_Thap,10.4938,105.6881,29.1,70,12.6,63,1009.6,0
2020-03-09,Dong_Thap,10.4938,105.6881,29.8,70,14.0,22,1008.0,1
2020-03-10,Dong_Thap,10.4938,105.6881,30.0,68,18.5,41,1008.3,1
2020-03-11,Dong_Thap,10.4938,105.6881,28.9,71,17.0,28,1010.4,1
2020-03-12,Dong_Thap,10.4938,105.6881,29.0,68,16.9,34,1011.6,0
2020-03-13,Dong_Thap,10.4938,105.6881,29.0,69,14.8,84,1011.8,0
2020-03-14,Dong_Thap,10.4938,105.6881,29.3,65,18.2,89,1010.7,0
2020-03-15,Dong_Thap,10.4938,105.6881,28.8,66,19.6,59,1011.1,0
2020-03-16,Dong_Thap,10.4938,105.6881,29.6,63,21.4,62,1011.2,0
2020-03-17,Dong_Thap,10.4938,105.6881,29.1,63,19.0,65,1012.0,0
2020-03-18,Dong_Thap,10.4938,105.6881,29.2,65,16.1,88,1010.8,1
2020-03-19,Dong_Thap,10.4938,105.6881,29.2,63,22.5,35,1010.6,1
2020-03-20,Dong_Thap,10.4938,105.6881,28.6,63,16.5,64,1011.4,1
2020-03-21,Dong_Thap,10.4938,105.6881,28.4,68,18.7,16,1011.3,0
2020-03-22,Dong_Thap,10.4938,105.6881,28.6,69,14.4,22,1010.7,1
2020-03-23,Dong_Thap,10.4938,105.6881,28.8,68,17.1,31,1010.1,1
2020-03-24,Dong_Thap,10.4938,105.6881,28.5,67,15.0,26,1009.5,1
2020-03-25,Dong_Thap,10.4938,105.6881,29.2,67,18.2,32,1008.4,1
2020-03-26,Dong_Thap,10.4938,105.6881,29.3,67,17.1,38,1009.5,0
2020-03-27,Dong_Thap,10.4938,105.6881,29.6,68,14.5,42,1009.9,1
2020-03-28,Dong_Thap,10.4938,105.6881,29.9,65,11.9,36,1009.3,1
2020-03-29,Dong_Thap,10.4938,105.6881,29.6,62,17.2,33,1008.7,0
2020-03-30,Dong_Thap,10.4938,105.6881,29.3,70,15.1,35,1009.2,0
2020-03-31,Dong_Thap,10.4938,105.6881,30.4,67,15.6,32,1009.3,1
2020-04-01,Dong_Thap,10.4938,105.6881,30.3,66,15.3,23,1009.3,0
2020-04-02,Dong_Thap,10.4938,105.6881,30.1,66,17.9,29,1009.9,1
2020-04-03,Dong_Thap,10.4938,105.6881,30.0,64,16.9,12,1010.4,1
2020-04-04,Dong_Thap,10.4938,105.6881,29.9,67,19.9,19,1010.2,1
2020-04-05,Dong_Thap,10.4938,105.6881,30.3,61,19.0,23,1010.5,0
2020-04-06,Dong_Thap,10.4938,105.6881,30.2,65,16.3,67,1009.9,0
2020-04-07,Dong_Thap,10.4938,105.6881,30.1,64,12.4,58,1009.8,0
2020-04-08,Dong_Thap,10.4938,105.6881,28.8,75,15.6,62,1010.6,1
2020-04-09,Dong_Thap,10.4938,105.6881,27.9,82,12.1,90,1011.3,1
2020-04-10,Dong_Thap,10.4938,105.6881,28.3,79,14.8,86,1012.0,1
2020-04-11,Dong_Thap,10.4938,105.6881,29.2,73,11.6,59,1011.4,1
2020-04-12,Dong_Thap,10.4938,105.6881,29.5,70,12.9,48,1010.1,1
2020-04-13,Dong_Thap,10.4938,105.6881,26.5,88,12.3,99,1010.9,1
2020-04-14,Dong_Thap,10.4938,105.6881,28.1,76,14.8,79,1011.0,1
2020-04-15,Dong_Thap,10.4938,105.6881,28.3,74,12.2,57,1011.0,1
2020-04-16,Dong_Thap,10.4938,105.6881,28.5,76,14.8,69,1010.1,1
2020-04-17,Dong_Thap,10.4938,105.6881,28.4,80,12.9,89,1010.5,1
2020-04-18,Dong_Thap,10.4938,105.6881,29.0,72,12.8,62,1011.1,0
2020-04-19,Dong_Thap,10.4938,105.6881,29.7,71,13.4,49,1010.1,1
