date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Ha_Noi,21.0285,105.8542,20.0,88,9.2,83,1021.4,1
2020-01-02,Ha_Noi,21.0285,105.8542,21.2,84,15.0,75,1019.8,1
2020-01-03,Ha_Noi,21.0285,105.8542,21.5,87,16.3,82,1017.9,1
2020-01-04,Ha_Noi,21.0285,105.8542,21.2,88,18.1,77,1016.0,1
2020-01-05,Ha_Noi,21.0285,105.8542,21.5,86,18.7,80,1014.8,1
2020-01-06,Ha_Noi,21.0285,105.8542,22.0,86,23.3,67,1013.6,1
2020-01-07,Ha_Noi,21.0285,105.8542,22.4,87,11.7,62,1013.5,1
2020-01-08,Ha_Noi,21.0285,105.8542,22.7,84,17.8,82,1014.0,1
2020-01-09,Ha_Noi,21.0285,105.8542,23.1,82,15.0,63,1012.3,1
2020-01-10,Ha_Noi,21.0285,105.8542,23.4,79,19.4,61,1010.6,1
2020-01-11,Ha_Noi,21.0285,105.8542,20.5,83,26.3,78,1011.9,1
2020-01-12,Ha_Noi,21.0285,105.8542,15.6,73,15.4,90,1015.6,1
2020-01-13,Ha_Noi,21.0285,105.8542,18.3,80,11.3,96,1013.1,1
2020-01-14,Ha_Noi,21.0285,105.8542,20.6,88,20.6,70,1012.2,1
2020-01-15,Ha_Noi,21.0285,105.8542,21.8,84,26.8,51,1010.8,1
2020-01-16,Ha_Noi,21.0285,105.8542,20.8,85,20.5,77,1012.9,1
2020-01-17,Ha_Noi,21.0285,105.8542,15.6,79,16.1,100,1017.2,1
2020-01-18,Ha_Noi,21.0285,105.8542,16.4,86,10.5,100,1015.4,1
2020-01-19,Ha_Noi,21.0285,105.8542,14.8,84,17.2,100,1018.0,1
2020-01-20,Ha_Noi,21.0285,105.8542,15.9,84,8.8,100,1017.6,1
2020-01-21,Ha_Noi,21.0285,105.8542,19.4,84,19.4,68,1016.2,1
2020-01-22,Ha_Noi,21.0285,105.8542,21.4,87,19.2,71,1013.4,1
