date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Ha_Tinh,18.355,105.8877,21.4,92,18.6,89,1021.4,1
2020-01-02,Ha_Tinh,18.355,105.8877,22.0,90,11.3,68,1021.3,1
2020-01-03,Ha_Tinh,18.355,105.8877,22.0,90,18.4,82,1019.4,1
2020-01-04,Ha_Tinh,18.355,105.8877,22.0,88,17.2,68,1017.5,1
2020-01-05,Ha_Tinh,18.355,105.8877,21.9,88,19.0,26,1016.6,1
2020-01-06,Ha_Tinh,18.355,105.8877,21.5,90,17.6,32,1015.7,1
2020-01-07,Ha_Tinh,18.355,105.8877,22.4,92,12.9,69,1015.3,1
2020-01-08,Ha_Tinh,18.355,105.8877,22.3,91,12.8,80,1015.9,1
2020-01-09,Ha_Tinh,18.355,105.8877,22.5,89,15.7,45,1014.5,1
2020-01-10,Ha_Tinh,18.355,105.8877,21.9,86,18.3,17,1012.9,0
2020-01-11,Ha_Tinh,18.355,105.8877,22.1,87,15.0,36,1012.7,1
2020-01-12,Ha_Tinh,18.355,105.8877,20.2,89,26.2,97,1015.4,1
2020-01-13,Ha_Tinh,18.355,105.8877,20.3,85,13.7,82,1014.3,0
2020-01-14,Ha_Tinh,18.355,105.8877,22.3,82,19.6,61,1013.9,1
2020-01-15,Ha_Tinh,18.355,105.8877,22.0,81,23.0,12,1013.1,0
2020-01-16,Ha_Tinh,18.355,105.8877,22.1,87,18.1,23,1013.8,0
2020-01-17,Ha_Tinh,18.355,105.8877,22.4,88,17.9,58,1016.7,1
2020-01-18,Ha_Tinh,18.355,105.8877,22.2,88,13.2,29,1015.8,1
2020-01-19,Ha_Tinh,18.355,105.8877,21.5,90,20.2,77,1017.2,1
2020-01-20,Ha_Tinh,18.355,105.8877,19.7,85,22.0,79,1018.4,1
2020-01-21,Ha_Tinh,18.355,105.8877,21.3,85,19.3,48,1017.9,0
2020-01-22,Ha_Tinh,18.355,105.8877,22.1,85,22.0,37,1015.3,0
2020-01-23,Ha_Tinh,18.355,105.8877,22.2,89,17.4,53,1013.3,1
2020-01-24,Ha_Tinh,18.355,105.8877,23.6,89,23.1,90,1012.5,1
2020-01-25,Ha_Tinh,18.355,105.8877,23.6,89,37.8,85,1010.9,1
2020-01-26,Ha_Tinh,18.355,105.8877,16.0,79,23.1,100,1017.1,1
2020-01-27,Ha_Tinh,18.355,105.8877,15.6,86,17.7,100,1015.5,1
2020-01-28,Ha_Tinh,18.355,105.8877,16.4,89,19.1,100,1016.8,1
2020-01-29,Ha_Tinh,18.355,105.8877,15.9,85,19.7,100,1020.3,1
2020-01-30,Ha_Tinh,18.355,105.8877,16.2,71,19.1,91,1020.7,1
2020-01-31,Ha_Tinh,18.355,105.8877,17.1,78,14.3,57,1018.9,0
2020-02-01,Ha_Tinh,18.355,105.8877,18.9,82,10.0,77,1017.5,0
2020-02-02,Ha_Tinh,18.355,105.8877,20.4,85,22.9,27,1017.4,0
2020-02-03,Ha_Tinh,18.355,105.8877,21.6,87,23.8,50,1015.7,1
2020-02-04,Ha_Tinh,18.355,105.8877,21.4,91,20.4,80,1016.0,1
2020-02-05,Ha_Tinh,18.355,105.8877,19.4,88,20.6,79,1016.3,1
2020-02-06,Ha_Tinh,18.355,105.8877,21.6,86,15.5,46,1014.8,0
2020-02-07,Ha_Tinh,18.355,105.8877,21.0,90,19.8,66,1016.9,1
2020-02-08,Ha_Tinh,18.355,105.8877,21.2,91,18.0,44,1019.5,1
2020-02-09,Ha_Tinh,18.355,105.8877,19.9,90,24.0,99,1021.9,1
2020-02-10,Ha_Tinh,18.355,105.8877,17.7,87,21.7,88,1020.1,1
2020-02-11,Ha_Tinh,18.355,105.8877,19.6,88,10.0,77,1017.2,0
