date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Ho_Chi_Minh,10.8231,106.6297,28.8,52,18.3,73,1013.5,0
2020-01-02,Ho_Chi_Minh,10.8231,106.6297,28.6,57,16.0,75,1013.9,0
2020-01-03,Ho_Chi_Minh,10.8231,106.6297,28.4,60,14.1,76,1012.8,0
2020-01-04,Ho_Chi_Minh,10.8231,106.6297,27.8,65,12.7,78,1011.1,0
2020-01-05,Ho_Chi_Minh,10.8231,106.6297,27.6,62,14.7,48,1011.1,0
2020-01-06,Ho_Chi_Minh,10.8231,106.6297,27.7,63,15.2,73,1011.4,0
2020-01-07,Ho_Chi_Minh,10.8231,106.6297,29.0,61,14.5,70,1010.3,1
2020-01-08,Ho_Chi_Minh,10.8231,106.6297,29.7,58,12.9,82,1009.9,0
2020-01-09,Ho_Chi_Minh,10.8231,106.6297,28.9,64,15.0,57,1009.0,1
2020-01-10,Ho_Chi_Minh,10.8231,106.6297,28.9,59,16.0,32,1008.9,0
2020-01-11,Ho_Chi_Minh,10.8231,106.6297,28.0,66,16.0,95,1009.2,1
2020-01-12,Ho_Chi_Minh,10.8231,106.6297,27.3,72,17.6,82,1009.3,1
2020-01-13,Ho_Chi_Minh,10.8231,106.6297,27.3,66,17.3,44,1009.1,0
2020-01-14,Ho_Chi_Minh,10.8231,106.6297,27.1,62,21.5,35,1010.3,0
2020-01-15,Ho_Chi_Minh,10.8231,106.6297,27.0,58,17.1,54,1010.8,0
2020-01-16,Ho_Chi_Minh,10.8231,106.6297,27.9,63,15.9,13,1010.9,0
2020-01-17,Ho_Chi_Minh,10.8231,106.6297,28.0,65,19.4,36,1011.5,0
2020-01-18,Ho_Chi_Minh,10.8231,106.6297,27.4,66,17.1,41,1011.2,1
2020-01-19,Ho_Chi_Minh,10.8231,106.6297,27.8,59,16.8,53,1011.5,0
2020-01-20,Ho_Chi_Minh,10.8231,106.6297,28.2,62,19.1,14,1012.0,0
2020-01-21,Ho_Chi_Minh,10.8231,106.6297,28.7,55,19.2,26,1013.3,0
2020-01-22,Ho_Chi_Minh,10.8231,106.6297,28.7,58,20.4,31,1012.3,0
2020-01-23,Ho_Chi_Minh,10.8231,106.6297,28.5,54,20.0,17,1011.5,0
2020-01-24,Ho_Chi_Minh,10.8231,106.6297,28.2,54,24.0,73,1011.2,0
2020-01-25,Ho_Chi_Minh,10.8231,106.6297,27.5,66,19.7,59,1010.2,0
2020-01-26,Ho_Chi_Minh,10.8231,106.6297,27.4,72,21.0,58,1009.7,0
2020-01-27,Ho_Chi_Minh,10.8231,106.6297,26.9,74,21.9,33,1009.8,1
2020-01-28,Ho_Chi_Minh,10.8231,106.6297,26.9,72,23.1,24,1010.5,0
2020-01-29,Ho_Chi_Minh,10.8231,106.6297,26.6,73,21.1,42,1011.7,0
2020-01-30,Ho_Chi_Minh,10.8231,106.6297,27.1,72,16.1,60,1011.2,1
2020-01-31,Ho_Chi_Minh,10.8231,106.6297,26.8,64,16.8,94,1012.0,1
2020-02-01,Ho_Chi_Minh,10.8231,106.6297,26.6,57,21.7,26,1012.2,0
2020-02-02,Ho_Chi_Minh,10.8231,106.6297,26.3,59,18.5,50,1013.4,0
2020-02-03,Ho_Chi_Minh,10.8231,106.6297,26.9,59,21.3,70,1012.6,0
2020-02-04,Ho_Chi_Minh,10.8231,106.6297,27.6,57,19.6,58,1011.5,0
2020-02-05,Ho_Chi_Minh,10.8231,106.6297,27.6,51,18.4,51,1011.0,0
2020-02-06,Ho_Chi_Minh,10.8231,106.6297,26.6,53,22.0,61,1012.1,0
2020-02-07,Ho_Chi_Minh,10.8231,106.6297,27.1,53,18.9,51,1012.3,0
2020-02-08,Ho_Chi_Minh,10.8231,106.6297,27.9,61,11.2,71,1012.2,0
2020-02-09,Ho_Chi_Minh,10.8231,106.6297,27.8,55,21.5,96,1012.1,1
2020-02-10,Ho_Chi_Minh,10.8231,106.6297,27.7,57,13.0,84,1012.3,0
2020-02-11,Ho_Chi_Minh,10.8231,106.6297,28.9,58,21.5,42,1012.5,0
2020-02-12,Ho_Chi_Minh,10.8231,106.6297,29.1,59,21.2,14,1012.2,1
2020-02-13,Ho_Chi_Minh,10.8231,106.6297,28.4,68,24.4,42,1011.4,0
2020-02-14,Ho_Chi_Minh,10.8231,106.6297,27.7,72,22.0,22,1010.2,0
2020-02-15,Ho_Chi_Minh,10.8231,106.6297,27.6,73,19.6,33,1010.9,0
2020-02-16,Ho_Chi_Minh,10.8231,106.6297,28.4,71,18.6,66,1011.8,0
2020-02-17,Ho_Chi_Minh,10.8231,106.6297,28.7,70,20.5,29,1012.6,1
2020-02-18,Ho_Chi_Minh,10.8231,106.6297,28.3,64,18.6,59,1012.6,1
2020-02-19,Ho_Chi_Minh,10.8231,106.6297,28.2,53,18.4,9,1012.8,0
2020-02-20,Ho_Chi_Minh,10.8231,106.6297,28.5,56,17.7,18,1012.7,0
2020-02-21,Ho_Chi_Minh,10.8231,106.6297,29.3,51,17.9,33,1013.8,0
2020-02-22,Ho_Chi_Minh,10.8231,106.6297,28.4,52,20.9,7,1014.2,0
2020-02-23,Ho_Chi_Minh,10.8231,106.6297,28.3,49,21.9,7,1013.4,0
2020-02-24,Ho_Chi_Minh,10.8231,106.6297,28.5,49,23.8,27,1011.8,0
2020-02-25,Ho_Chi_Minh,10.8231,106.6297,28.6,54,24.4,13,1010.6,0
2020-02-26,Ho_Chi_Minh,10.8231,106.6297,29.5,54,23.3,33,1010.6,1
2020-02-27,Ho_Chi_Minh,10.8231,106.6297,29.5,51,19.9,46,1009.8,0
2020-02-28,Ho_Chi_Minh,10.8231,106.6297,28.8,52,25.5,52,1009.5,0
2020-02-29,Ho_Chi_Minh,10.8231,106.6297,28.7,59,22.2,32,1009.1,0
2020-03-01,Ho_Chi_Minh,10.8231,106.6297,28.9,62,22.6,75,1009.7,1
2020-03-02,Ho_Chi_Minh,10.8231,106.6297,29.0,62,23.8,68,1009.5,0
2020-03-03,Ho_Chi_Minh,10.8231,106.6297,29.1,57,22.3,83,1009.8,0
2020-03-04,Ho_Chi_Minh,10.8231,106.6297,28.7,61,21.3,39,1010.0,0
2020-03-05,Ho_Chi_Minh,10.8231,106.6297,28.8,62,23.4,75,1010.6,1
2020-03-06,Ho_Chi_Minh,10.8231,106.6297,28.3,64,20.5,54,1011.8,0
2020-03-07,Ho_Chi_Minh,10.8231,106.6297,28.4,68,20.5,80,1011.5,0
2020-03-08,Ho_Chi_Minh,10.8231,106.6297,29.2,68,15.3,59,1009.3,0
2020-03-09,Ho_Chi_Minh,10.8231,106.6297,29.3,72,14.9,26,1008.0,1
2020-03-10,Ho_Chi_Minh,10.8231,106.6297,29.5,72,17.6,46,1008.2,1
2020-03-11,Ho_Chi_Minh,10.8231,106.6297,28.9,71,20.6,36,1010.4,1
2020-03-12,Ho_Chi_Minh,10.8231,106.6297,29.2,63,24.2,30,1011.3,0
2020-03-13,Ho_Chi_Minh,10.8231,106.6297,29.2,67,22.3,77,1011.4,0
2020-03-14,Ho_Chi_Minh,10.8231,106.6297,29.3,65,26.2,65,1010.6,0
2020-03-15,Ho_Chi_Minh,10.8231,106.6297,29.4,61,26.0,59,1010.5,1
2020-03-16,Ho_Chi_Minh,10.8231,106.6297,30.0,58,27.5,57,1010.8,0
2020-03-17,Ho_Chi_Minh,10.8231,106.6297,29.7,61,22.0,50,1011.5,0
2020-03-18,Ho_Chi_Minh,10.8231,106.6297,29.2,64,23.1,77,1010.3,0
2020-03-19,Ho_Chi_Minh,10.8231,106.6297,29.1,67,25.9,31,1010.4,0
2020-03-20,Ho_Chi_Minh,10.8231,106.6297,29.0,64,24.0,58,1011.2,0
2020-03-21,Ho_Chi_Minh,10.8231,106.6297,29.0,68,23.8,16,1011.1,0
2020-03-22,Ho_Chi_Minh,10.8231,106.6297,28.9,68,19.5,27,1010.4,1
2020-03-23,Ho_Chi_Minh,10.8231,106.6297,29.1,65,21.7,14,1009.9,1
2020-03-24,Ho_Chi_Minh,10.8231,106.6297,28.8,64,21.5,17,1009.4,1
2020-03-25,Ho_Chi_Minh,10.8231,106.6297,29.6,65,22.0,16,1008.0,0
2020-03-26,Ho_Chi_Minh,10.8231,106.6297,29.5,66,23.2,31,1009.3,1
2020-03-27,Ho_Chi_Minh,10.8231,106.6297,29.3,68,20.3,44,1009.8,1
2020-03-28,Ho_Chi_Minh,10.8231,106.6297,29.2,68,19.5,34,1009.1,1
2020-03-29,Ho_Chi_Minh,10.8231,106.6297,29.5,66,23.7,30,1008.5,0
