date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Khanh_Hoa,12.2388,109.1967,24.7,83,23.2,60,1016.9,1
2020-01-02,Khanh_Hoa,12.2388,109.1967,24.5,84,23.9,65,1017.4,1
2020-01-03,Khanh_Hoa,12.2388,109.1967,24.3,80,24.5,76,1016.1,1
2020-01-04,Khanh_Hoa,12.2388,109.1967,23.8,77,25.9,80,1014.5,1
2020-01-05,Khanh_Hoa,12.2388,109.1967,23.9,73,22.1,80,1014.1,1
2020-01-06,Khanh_Hoa,12.2388,109.1967,23.8,79,17.2,88,1014.0,1
2020-01-07,Khanh_Hoa,12.2388,109.1967,24.6,80,16.1,89,1013.1,0
2020-01-08,Khanh_Hoa,12.2388,109.1967,24.9,77,20.3,83,1013.1,0
2020-01-09,Khanh_Hoa,12.2388,109.1967,24.7,76,21.4,50,1012.3,0
2020-01-10,Khanh_Hoa,12.2388,109.1967,24.2,76,18.3,27,1011.3,0
2020-01-11,Khanh_Hoa,12.2388,109.1967,24.3,79,19.9,93,1010.7,0
2020-01-12,Khanh_Hoa,12.2388,109.1967,24.4,79,20.5,88,1011.3,0
2020-01-13,Khanh_Hoa,12.2388,109.1967,24.2,73,23.6,28,1012.0,0
2020-01-14,Khanh_Hoa,12.2388,109.1967,23.6,70,22.2,33,1013.5,1
2020-01-15,Khanh_Hoa,12.2388,109.1967,23.8,73,17.4,44,1013.2,0
2020-01-16,Khanh_Hoa,12.2388,109.1967,24.2,79,16.6,18,1012.9,1
2020-01-17,Khanh_Hoa,12.2388,109.1967,24.2,80,20.9,34,1014.3,1
2020-01-18,Khanh_Hoa,12.2388,109.1967,24.2,73,22.7,50,1014.2,1
2020-01-19,Khanh_Hoa,12.2388,109.1967,23.6,69,23.8,54,1015.0,1
2020-01-20,Khanh_Hoa,12.2388,109.1967,23.9,68,22.4,49,1015.7,0
2020-01-21,Khanh_Hoa,12.2388,109.1967,24.0,71,20.9,49,1016.6,0
2020-01-22,Khanh_Hoa,12.2388,109.1967,24.2,74,14.8,51,1015.4,0
2020-01-23,Khanh_Hoa,12.2388,109.1967,24.3,77,14.5,27,1013.8,0
2020-01-24,Khanh_Hoa,12.2388,109.1967,23.8,78,14.8,80,1013.5,0
2020-01-25,Khanh_Hoa,12.2388,109.1967,24.6,78,10.4,73,1011.3,1
2020-01-26,Khanh_Hoa,12.2388,109.1967,24.7,82,14.2,78,1010.6,1
2020-01-27,Khanh_Hoa,12.2388,109.1967,24.9,78,15.1,56,1010.9,0
2020-01-28,Khanh_Hoa,12.2388,109.1967,24.6,79,15.3,30,1011.7,1
2020-01-29,Khanh_Hoa,12.2388,109.1967,24.8,77,23.7,61,1013.2,1
2020-01-30,Khanh_Hoa,12.2388,109.1967,23.8,72,27.2,65,1014.4,0
2020-01-31,Khanh_Hoa,12.2388,109.1967,23.3,65,25.7,93,1015.8,0
2020-02-01,Khanh_Hoa,12.2388,109.1967,23.2,65,23.6,55,1015.9,1
2020-02-02,Khanh_Hoa,12.2388,109.1967,23.0,67,20.7,59,1016.0,1
2020-02-03,Khanh_Hoa,12.2388,109.1967,23.5,71,19.9,75,1015.1,1
2020-02-04,Khanh_Hoa,12.2388,109.1967,23.6,76,18.5,49,1014.2,1
2020-02-05,Khanh_Hoa,12.2388,109.1967,23.2,70,22.0,68,1014.2,1
2020-02-06,Khanh_Hoa,12.2388,109.1967,23.2,61,19.1,40,1014.4,1
2020-02-07,Khanh_Hoa,12.2388,109.1967,23.5,68,19.5,56,1014.8,0
2020-02-08,Khanh_Hoa,12.2388,109.1967,24.1,75,23.0,95,1015.5,1
2020-02-09,Khanh_Hoa,12.2388,109.1967,23.9,74,26.3,87,1016.4,1
2020-02-10,Khanh_Hoa,12.2388,109.1967,23.1,84,20.7,89,1016.1,1
2020-02-11,Khanh_Hoa,12.2388,109.1967,24.0,79,15.8,56,1015.7,1
2020-02-12,Khanh_Hoa,12.2388,109.1967,24.5,82,12.9,48,1014.5,0
2020-02-13,Khanh_Hoa,12.2388,109.1967,25.1,82,11.3,34,1012.8,0
2020-02-14,Khanh_Hoa,12.2388,109.1967,25.2,81,13.8,37,1011.0,1
2020-02-15,Khanh_Hoa,12.2388,109.1967,25.4,80,12.2,31,1011.4,0
2020-02-16,Khanh_Hoa,12.2388,109.1967,25.8,83,14.5,46,1012.8,1
2020-02-17,Khanh_Hoa,12.2388,109.1967,24.2,86,29.6,67,1016.3,1
2020-02-18,Khanh_Hoa,12.2388,109.1967,23.5,79,26.1,42,1017.0,1
2020-02-19,Khanh_Hoa,12.2388,109.1967,23.6,74,26.1,39,1017.1,1
2020-02-20,Khanh_Hoa,12.2388,109.1967,23.9,73,25.7,50,1016.8,1
2020-02-21,Khanh_Hoa,12.2388,109.1967,23.7,78,28.7,50,1018.2,1
2020-02-22,Khanh_Hoa,12.2388,109.1967,23.6,75,28.4,71,1018.4,1
2020-02-23,Khanh_Hoa,12.2388,109.1967,23.6,72,29.2,34,1017.3,1
2020-02-24,Khanh_Hoa,12.2388,109.1967,23.4,69,21.5,19,1015.3,0
2020-02-25,Khanh_Hoa,12.2388,109.1967,24.2,74,19.1,69,1013.3,0
2020-02-26,Khanh_Hoa,12.2388,109.1967,24.9,76,20.5,42,1013.7,0
2020-02-27,Khanh_Hoa,12.2388,109.1967,24.7,76,21.3,65,1013.2,1
2020-02-28,Khanh_Hoa,12.2388,109.1967,24.4,75,20.4,60,1012.1,0
2020-02-29,Khanh_Hoa,12.2388,109.1967,24.8,81,13.7,42,1011.3,1
2020-03-01,Khanh_Hoa,12.2388,109.1967,25.4,81,14.7,66,1011.6,1
2020-03-02,Khanh_Hoa,12.2388,109.1967,25.0,83,16.8,66,1012.0,1
2020-03-03,Khanh_Hoa,12.2388,109.1967,25.3,81,17.4,82,1012.2,1
2020-03-04,Khanh_Hoa,12.2388,109.1967,25.2,81,13.5,72,1012.0,1
2020-03-05,Khanh_Hoa,12.2388,109.1967,25.3,83,15.8,75,1012.8,1
2020-03-06,Khanh_Hoa,12.2388,109.1967,25.1,79,15.0,67,1013.2,1
2020-03-07,Khanh_Hoa,12.2388,109.1967,25.2,77,11.2,63,1012.1,0
2020-03-08,Khanh_Hoa,12.2388,109.1967,25.5,80,15.0,22,1009.5,0
