date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Lam_Dong,11.9404,108.4583,16.9,77,32.2,74,855.6,0
2020-01-02,Lam_Dong,11.9404,108.4583,17.9,79,32.8,50,856.6,0
2020-01-03,Lam_Dong,11.9404,108.4583,17.9,69,26.5,69,855.5,0
2020-01-04,Lam_Dong,11.9404,108.4583,17.4,66,25.0,76,853.5,0
2020-01-05,Lam_Dong,11.9404,108.4583,17.2,56,22.7,56,853.2,0
2020-01-06,Lam_Dong,11.9404,108.4583,17.9,74,18.1,89,854.1,1
2020-01-07,Lam_Dong,11.9404,108.4583,18.4,79,20.6,92,853.8,0
2020-01-08,Lam_Dong,11.9404,108.4583,18.8,72,22.8,89,853.8,0
2020-01-09,Lam_Dong,11.9404,108.4583,19.3,61,22.4,67,853.1,0
2020-01-10,Lam_Dong,11.9404,108.4583,18.6,58,13.9,36,852.0,0
2020-01-11,Lam_Dong,11.9404,108.4583,18.3,67,10.1,95,851.5,1
2020-01-12,Lam_Dong,11.9404,108.4583,17.6,71,18.9,77,851.5,0
2020-01-13,Lam_Dong,11.9404,108.4583,16.8,57,16.3,38,851.3,0
2020-01-14,Lam_Dong,11.9404,108.4583,16.6,52,13.3,20,851.9,0
2020-01-15,Lam_Dong,11.9404,108.4583,16.3,69,14.8,34,852.4,0
2020-01-16,Lam_Dong,11.9404,108.4583,17.6,72,13.1,9,853.4,0
2020-01-17,Lam_Dong,11.9404,108.4583,18.0,72,13.0,41,854.1,0
2020-01-18,Lam_Dong,11.9404,108.4583,18.0,72,14.7,43,853.4,0
2020-01-19,Lam_Dong,11.9404,108.4583,18.2,61,13.8,34,854.1,0
2020-01-20,Lam_Dong,11.9404,108.4583,18.3,59,16.6,10,854.8,0
2020-01-21,Lam_Dong,11.9404,108.4583,18.7,56,16.4,17,856.1,0
2020-01-22,Lam_Dong,11.9404,108.4583,18.7,55,15.3,27,855.3,0
2020-01-23,Lam_Dong,11.9404,108.4583,17.4,56,14.9,10,853.7,0
2020-01-24,Lam_Dong,11.9404,108.4583,17.3,59,15.0,80,853.8,0
2020-01-25,Lam_Dong,11.9404,108.4583,18.2,76,12.1,73,852.8,0
2020-01-26,Lam_Dong,11.9404,108.4583,18.7,75,11.3,69,852.4,0
2020-01-27,Lam_Dong,11.9404,108.4583,18.8,80,14.8,62,852.6,1
2020-01-28,Lam_Dong,11.9404,108.4583,18.1,76,13.2,16,852.6,0
2020-01-29,Lam_Dong,11.9404,108.4583,18.1,76,11.1,61,853.7,1
2020-01-30,Lam_Dong,11.9404,108.4583,17.4,77,15.3,69,853.5,0
