date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Phu_Tho,21.3227,105.401,21.0,82,14.3,80,1020.3,0
2020-01-02,Phu_Tho,21.3227,105.401,21.5,83,13.9,73,1018.6,1
2020-01-03,Phu_Tho,21.3227,105.401,22.4,82,17.7,70,1016.5,1
2020-01-04,Phu_Tho,21.3227,105.401,21.5,88,19.6,79,1014.7,1
2020-01-05,Phu_Tho,21.3227,105.401,21.9,86,20.5,64,1013.5,1
2020-01-06,Phu_Tho,21.3227,105.401,22.9,80,26.7,24,1012.0,0
2020-01-07,Phu_Tho,21.3227,105.401,22.7,88,12.8,64,1012.4,1
2020-01-08,Phu_Tho,21.3227,105.401,23.1,82,20.4,80,1012.7,0
2020-01-09,Phu_Tho,21.3227,105.401,23.2,80,13.6,57,1011.0,1
2020-01-10,Phu_Tho,21.3227,105.401,23.3,79,17.6,32,1009.3,0
2020-01-11,Phu_Tho,21.3227,105.401,21.3,79,19.2,78,1010.6,1
2020-01-12,Phu_Tho,21.3227,105.401,17.2,76,8.4,76,1014.5,1
2020-01-13,Phu_Tho,21.3227,105.401,18.5,77,13.8,96,1012.1,1
2020-01-14,Phu_Tho,21.3227,105.401,21.0,84,17.7,74,1011.0,1
2020-01-15,Phu_Tho,21.3227,105.401,22.6,80,23.7,26,1009.1,0
2020-01-16,Phu_Tho,21.3227,105.401,21.9,81,21.8,79,1011.5,1
2020-01-17,Phu_Tho,21.3227,105.401,17.2,80,12.6,99,1016.0,1
2020-01-18,Phu_Tho,21.3227,105.401,17.3,82,10.8,100,1014.4,1
2020-01-19,Phu_Tho,21.3227,105.401,16.6,84,9.5,100,1017.0,1
2020-01-20,Phu_Tho,21.3227,105.401,16.2,85,9.8,97,1016.7,1
2020-01-21,Phu_Tho,21.3227,105.401,19.6,84,17.6,66,1015.0,0
2020-01-22,Phu_Tho,21.3227,105.401,22.3,82,18.1,70,1012.0,1
2020-01-23,Phu_Tho,21.3227,105.401,23.2,83,19.4,87,1010.0,1
2020-01-24,Phu_Tho,21.3227,105.401,22.0,93,20.7,97,1009.9,1
2020-01-25,Phu_Tho,21.3227,105.401,17.8,87,18.7,99,1011.6,1
2020-01-26,Phu_Tho,21.3227,105.401,15.7,69,11.8,46,1015.0,1
2020-01-27,Phu_Tho,21.3227,105.401,15.1,63,11.5,41,1013.7,1
2020-01-28,Phu_Tho,21.3227,105.401,15.1,64,11.4,75,1015.7,1
2020-01-29,Phu_Tho,21.3227,105.401,14.6,70,11.5,81,1019.1,1
2020-01-30,Phu_Tho,21.3227,105.401,14.8,72,8.9,7,1018.5,0
2020-01-31,Phu_Tho,21.3227,105.401,15.9,70,13.5,44,1016.6,0
2020-02-01,Phu_Tho,21.3227,105.401,16.0,86,8.9,73,1015.5,1
2020-02-02,Phu_Tho,21.3227,105.401,19.0,86,14.8,86,1014.8,0
2020-02-03,Phu_Tho,21.3227,105.401,18.7,90,16.3,96,1014.0,1
2020-02-04,Phu_Tho,21.3227,105.401,16.4,87,6.8,99,1015.9,1
2020-02-05,Phu_Tho,21.3227,105.401,16.1,89,9.5,100,1014.6,1
2020-02-06,Phu_Tho,21.3227,105.401,18.2,88,8.7,87,1012.7,1
2020-02-07,Phu_Tho,21.3227,105.401,19.4,88,12.8,99,1014.9,1
2020-02-08,Phu_Tho,21.3227,105.401,18.1,86,13.2,100,1018.6,1
2020-02-09,Phu_Tho,21.3227,105.401,16.0,83,7.4,100,1021.9,1
2020-02-10,Phu_Tho,21.3227,105.401,17.0,76,12.5,96,1017.9,1
2020-02-11,Phu_Tho,21.3227,105.401,19.3,85,11.9,69,1014.3,1
2020-02-12,Phu_Tho,21.3227,105.401,20.9,88,13.4,79,1011.4,1
2020-02-13,Phu_Tho,21.3227,105.401,22.8,90,16.2,87,1007.3,1
2020-02-14,Phu_Tho,21.3227,105.401,24.3,85,15.9,67,1003.7,1
2020-02-15,Phu_Tho,21.3227,105.401,24.6,82,14.8,74,1006.3,1
2020-02-16,Phu_Tho,21.3227,105.401,17.8,52,13.1,70,1019.2,1
2020-02-17,Phu_Tho,21.3227,105.401,17.4,56,12.4,64,1023.2,0
2020-02-18,Phu_Tho,21.3227,105.401,17.3,52,14.8,48,1021.5,0
2020-02-19,Phu_Tho,21.3227,105.401,16.8,70,13.4,32,1018.8,0
2020-02-20,Phu_Tho,21.3227,105.401,19.1,82,10.9,99,1018.5,1
2020-02-21,Phu_Tho,21.3227,105.401,20.8,82,17.2,78,1021.2,1
2020-02-22,Phu_Tho,21.3227,105.401,20.0,83,11.8,50,1021.9,0
2020-02-23,Phu_Tho,21.3227,105.401,19.9,82,12.5,34,1019.1,1
2020-02-24,Phu_Tho,21.3227,105.401,20.8,78,16.5,34,1014.5,1
2020-02-25,Phu_Tho,21.3227,105.401,21.1,82,13.6,57,1012.7,1
2020-02-26,Phu_Tho,21.3227,105.401,22.3,78,14.8,78,1013.3,0
2020-02-27,Phu_Tho,21.3227,105.401,22.2,82,14.1,92,1013.2,1
2020-02-28,Phu_Tho,21.3227,105.401,23.0,79,16.6,73,1011.2,0
2020-02-29,Phu_Tho,21.3227,105.401,22.8,85,15.2,56,1009.2,1
2020-03-01,Phu_Tho,21.3227,105.401,23.8,84,17.8,68,1008.9,1
2020-03-02,Phu_Tho,21.3227,105.401,24.1,84,21.9,74,1009.3,1
2020-03-03,Phu_Tho,21.3227,105.401,23.1,90,17.7,93,1009.8,1
2020-03-04,Phu_Tho,21.3227,105.401,19.6,85,20.2,93,1013.5,1
2020-03-05,Phu_Tho,21.3227,105.401,17.5,84,10.2,84,1015.0,1
2020-03-06,Phu_Tho,21.3227,105.401,19.7,82,12.6,59,1011.0,0
2020-03-07,Phu_Tho,21.3227,105.401,21.7,86,14.0,51,1007.0,0
2020-03-08,Phu_Tho,21.3227,105.401,23.8,86,13.9,51,1001.6,1
2020-03-09,Phu_Tho,21.3227,105.401,25.6,81,12.8,28,1000.9,0
2020-03-10,Phu_Tho,21.3227,105.401,22.9,68,14.4,89,1010.4,1
2020-03-11,Phu_Tho,21.3227,105.401,21.3,71,12.9,87,1011.6,0
2020-03-12,Phu_Tho,21.3227,105.401,22.7,81,15.3,75,1008.2,0
2020-03-13,Phu_Tho,21.3227,105.401,24.9,84,14.1,84,1009.1,1
2020-03-14,Phu_Tho,21.3227,105.401,22.1,80,10.2,100,1014.1,1
2020-03-15,Phu_Tho,21.3227,105.401,20.7,80,11.3,100,1014.0,1
2020-03-16,Phu_Tho,21.3227,105.401,22.3,84,11.0,100,1011.5,1
2020-03-17,Phu_Tho,21.3227,105.401,23.2,90,20.2,100,1011.2,1
2020-03-18,Phu_Tho,21.3227,105.401,20.8,90,6.4,100,1010.3,1
2020-03-19,Phu_Tho,21.3227,105.401,20.8,88,7.2,100,1010.5,1
2020-03-20,Phu_Tho,21.3227,105.401,22.3,82,14.3,97,1009.7,0
2020-03-21,Phu_Tho,21.3227,105.401,24.3,84,15.0,71,1007.7,1
2020-03-22,Phu_Tho,21.3227,105.401,25.5,87,14.1,75,1007.6,1
2020-03-23,Phu_Tho,21.3227,105.401,24.8,88,15.8,72,1008.2,1
2020-03-24,Phu_Tho,21.3227,105.401,24.8,85,16.8,74,1007.7,1
2020-03-25,Phu_Tho,21.3227,105.401,23.5,91,15.5,66,1006.3,1
2020-03-26,Phu_Tho,21.3227,105.401,26.2,84,18.4,42,1005.0,0
2020-03-27,Phu_Tho,21.3227,105.401,26.9,83,16.6,54,1004.8,0
2020-03-28,Phu_Tho,21.3227,105.401,24.4,85,19.8,98,1006.7,1
2020-03-29,Phu_Tho,21.3227,105.401,24.4,87,16.8,97,1004.7,1
2020-03-30,Phu_Tho,21.3227,105.401,22.0,83,18.4,99,1005.8,1
2020-03-31,Phu_Tho,21.3227,105.401,20.8,85,9.3,98,1008.6,1
2020-04-01,Phu_Tho,21.3227,105.401,20.8,82,12.5,99,1009.5,1
2020-04-02,Phu_Tho,21.3227,105.401,22.2,90,11.1,99,1009.2,1
2020-04-03,Phu_Tho,21.3227,105.401,23.4,89,12.0,100,1009.6,1
