date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Quang_Tri,16.75,107.2,23.1,89,23.8,84,1020.2,1
2020-01-02,Quang_Tri,16.75,107.2,23.0,87,16.5,82,1020.6,1
2020-01-03,Quang_Tri,16.75,107.2,23.1,86,19.5,95,1019.0,1
2020-01-04,Quang_Tri,16.75,107.2,22.6,84,20.9,78,1017.1,1
2020-01-05,Quang_Tri,16.75,107.2,22.6,84,19.1,47,1016.3,1
2020-01-06,Quang_Tri,16.75,107.2,22.2,86,13.3,19,1015.5,0
2020-01-07,Quang_Tri,16.75,107.2,22.8,88,15.7,57,1014.8,1
2020-01-08,Quang_Tri,16.75,107.2,23.6,86,17.6,80,1015.3,1
2020-01-09,Quang_Tri,16.75,107.2,23.5,84,18.0,57,1014.2,1
2020-01-10,Quang_Tri,16.75,107.2,22.5,86,16.7,29,1012.8,0
2020-01-11,Quang_Tri,16.75,107.2,22.9,87,14.6,61,1012.4,1
2020-01-12,Quang_Tri,16.75,107.2,22.4,90,13.1,70,1013.8,1
2020-01-13,Quang_Tri,16.75,107.2,22.7,84,21.4,36,1013.6,1
2020-01-14,Quang_Tri,16.75,107.2,22.2,78,23.1,15,1014.1,0
2020-01-15,Quang_Tri,16.75,107.2,22.2,79,16.2,1,1013.5,0
2020-01-16,Quang_Tri,16.75,107.2,21.8,87,14.1,23,1013.9,0
2020-01-17,Quang_Tri,16.75,107.2,23.0,85,15.5,33,1016.2,0
2020-01-18,Quang_Tri,16.75,107.2,22.8,81,17.5,12,1015.4,0
2020-01-19,Quang_Tri,16.75,107.2,22.5,78,21.0,3,1016.2,0
2020-01-20,Quang_Tri,16.75,107.2,22.4,77,19.9,46,1017.4,1
2020-01-21,Quang_Tri,16.75,107.2,22.7,75,19.8,40,1017.6,0
2020-01-22,Quang_Tri,16.75,107.2,22.6,81,15.3,44,1015.6,0
2020-01-23,Quang_Tri,16.75,107.2,22.9,88,13.4,59,1013.2,0
2020-01-24,Quang_Tri,16.75,107.2,24.5,85,17.3,93,1012.4,0
2020-01-25,Quang_Tri,16.75,107.2,24.3,84,16.2,92,1010.4,0
2020-01-26,Quang_Tri,16.75,107.2,19.9,87,28.6,99,1014.3,1
2020-01-27,Quang_Tri,16.75,107.2,18.6,91,16.9,100,1013.8,1
2020-01-28,Quang_Tri,16.75,107.2,18.7,92,14.8,100,1015.0,1
2020-01-29,Quang_Tri,16.75,107.2,19.2,92,17.5,100,1017.8,1
2020-01-30,Quang_Tri,16.75,107.2,18.6,81,17.2,100,1019.0,1
2020-01-31,Quang_Tri,16.75,107.2,19.6,79,17.7,66,1017.9,1
2020-02-01,Quang_Tri,16.75,107.2,20.9,76,22.1,48,1016.9,1
2020-02-02,Quang_Tri,16.75,107.2,21.0,80,17.3,1,1017.1,0
2020-02-03,Quang_Tri,16.75,107.2,21.4,84,18.2,20,1015.7,0
2020-02-04,Quang_Tri,16.75,107.2,22.0,83,18.0,51,1015.3,1
2020-02-05,Quang_Tri,16.75,107.2,22.1,81,19.1,25,1015.4,1
2020-02-06,Quang_Tri,16.75,107.2,21.9,81,14.1,19,1014.4,0
2020-02-07,Quang_Tri,16.75,107.2,21.4,86,15.9,58,1016.6,0
2020-02-08,Quang_Tri,16.75,107.2,22.5,83,20.6,48,1018.8,1
2020-02-09,Quang_Tri,16.75,107.2,22.1,80,25.9,58,1020.3,1
2020-02-10,Quang_Tri,16.75,107.2,21.1,85,16.3,89,1018.7,1
2020-02-11,Quang_Tri,16.75,107.2,22.3,89,17.5,39,1016.6,1
2020-02-12,Quang_Tri,16.75,107.2,23.7,88,11.9,43,1014.1,0
2020-02-13,Quang_Tri,16.75,107.2,25.0,90,12.6,65,1010.8,1
2020-02-14,Quang_Tri,16.75,107.2,25.8,87,12.6,67,1008.4,1
