date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Son_La,21.3256,103.9188,19.0,82,12.0,57,953.4,1
2020-01-02,Son_La,21.3256,103.9188,20.1,77,9.4,37,952.3,0
2020-01-03,Son_La,21.3256,103.9188,20.6,79,14.7,38,950.1,0
2020-01-04,Son_La,21.3256,103.9188,20.5,78,13.5,42,948.1,1
2020-01-05,Son_La,21.3256,103.9188,20.8,74,14.8,50,947.1,1
2020-01-06,Son_La,21.3256,103.9188,21.4,74,10.7,27,946.2,1
2020-01-07,Son_La,21.3256,103.9188,20.6,76,14.3,20,946.6,1
2020-01-08,Son_La,21.3256,103.9188,21.9,71,10.6,47,946.9,1
2020-01-09,Son_La,21.3256,103.9188,22.2,69,11.7,34,945.6,0
2020-01-10,Son_La,21.3256,103.9188,22.5,67,15.1,5,943.7,0
2020-01-11,Son_La,21.3256,103.9188,21.2,77,22.5,22,943.9,1
2020-01-12,Son_La,21.3256,103.9188,16.7,76,19.5,46,945.7,1
2020-01-13,Son_La,21.3256,103.9188,18.5,77,17.1,66,944.3,1
2020-01-14,Son_La,21.3256,103.9188,20.6,72,15.5,41,944.6,1
2020-01-15,Son_La,21.3256,103.9188,22.4,61,15.1,9,943.6,0
2020-01-16,Son_La,21.3256,103.9188,22.1,56,17.9,11,945.1,0
2020-01-17,Son_La,21.3256,103.9188,19.1,81,17.7,59,947.4,0
2020-01-18,Son_La,21.3256,103.9188,20.1,73,19.3,36,946.1,0
2020-01-19,Son_La,21.3256,103.9188,17.2,81,20.6,57,947.8,1
2020-01-20,Son_La,21.3256,103.9188,18.2,78,17.7,67,947.9,1
2020-01-21,Son_La,21.3256,103.9188,20.3,74,14.4,30,947.9,1
2020-01-22,Son_La,21.3256,103.9188,22.2,66,11.4,11,946.0,1
2020-01-23,Son_La,21.3256,103.9188,22.9,62,15.0,7,944.1,0
2020-01-24,Son_La,21.3256,103.9188,21.1,81,15.2,35,944.0,1
2020-01-25,Son_La,21.3256,103.9188,17.4,85,24.2,73,943.1,1
2020-01-26,Son_La,21.3256,103.9188,13.2,71,19.4,35,945.6,1
2020-01-27,Son_La,21.3256,103.9188,13.2,69,20.2,33,943.8,1
2020-01-28,Son_La,21.3256,103.9188,12.3,77,20.1,47,945.6,1
2020-01-29,Son_La,21.3256,103.9188,11.1,76,17.6,80,949.3,1
2020-01-30,Son_La,21.3256,103.9188,12.8,65,22.4,8,949.0,0
2020-01-31,Son_La,21.3256,103.9188,13.1,73,14.0,61,947.7,1
2020-02-01,Son_La,21.3256,103.9188,15.2,81,12.1,53,947.3,1
2020-02-02,Son_La,21.3256,103.9188,18.5,78,16.7,41,947.3,1
2020-02-03,Son_La,21.3256,103.9188,18.6,86,23.3,61,946.6,1
2020-02-04,Son_La,21.3256,103.9188,15.7,87,19.5,70,946.6,1
2020-02-05,Son_La,21.3256,103.9188,16.1,86,17.2,71,945.8,1
2020-02-06,Son_La,21.3256,103.9188,17.9,86,12.1,43,945.5,1
2020-02-07,Son_La,21.3256,103.9188,19.8,85,19.3,65,947.8,1
2020-02-08,Son_La,21.3256,103.9188,18.8,85,21.3,79,950.0,0
2020-02-09,Son_La,21.3256,103.9188,15.1,85,21.3,77,951.9,1
2020-02-10,Son_La,21.3256,103.9188,16.4,79,17.9,54,948.8,0
2020-02-11,Son_La,21.3256,103.9188,19.0,77,13.8,38,947.3,1
2020-02-12,Son_La,21.3256,103.9188,20.2,80,10.7,47,945.4,1
2020-02-13,Son_La,21.3256,103.9188,22.0,65,10.5,8,942.1,1
2020-02-14,Son_La,21.3256,103.9188,22.8,42,15.3,19,939.1,0
2020-02-15,Son_La,21.3256,103.9188,23.9,46,18.5,10,941.4,0
2020-02-16,Son_La,21.3256,103.9188,16.3,65,24.0,31,948.6,1
2020-02-17,Son_La,21.3256,103.9188,13.7,62,21.8,19,953.1,0
2020-02-18,Son_La,21.3256,103.9188,14.3,56,20.7,56,952.0,0
2020-02-19,Son_La,21.3256,103.9188,15.9,64,15.3,46,950.2,0
2020-02-20,Son_La,21.3256,103.9188,18.7,74,20.3,60,950.4,0
2020-02-21,Son_La,21.3256,103.9188,19.4,76,18.9,66,953.7,0
2020-02-22,Son_La,21.3256,103.9188,19.1,70,20.5,14,954.5,0
2020-02-23,Son_La,21.3256,103.9188,18.9,69,19.0,14,951.9,0
2020-02-24,Son_La,21.3256,103.9188,20.3,68,16.9,27,947.9,0
2020-02-25,Son_La,21.3256,103.9188,21.2,71,16.8,21,946.3,1
2020-02-26,Son_La,21.3256,103.9188,21.9,72,19.9,76,947.1,1
2020-02-27,Son_La,21.3256,103.9188,21.7,68,21.7,88,946.7,0
2020-02-28,Son_La,21.3256,103.9188,22.5,68,17.6,63,945.1,1
2020-02-29,Son_La,21.3256,103.9188,22.2,70,13.9,36,943.9,1
2020-03-01,Son_La,21.3256,103.9188,23.4,70,20.8,16,943.6,1
2020-03-02,Son_La,21.3256,103.9188,22.5,81,15.7,60,944.1,1
2020-03-03,Son_La,21.3256,103.9188,20.8,89,17.1,63,944.1,1
2020-03-04,Son_La,21.3256,103.9188,18.3,89,21.4,74,945.8,1
2020-03-05,Son_La,21.3256,103.9188,16.9,84,19.5,56,946.5,1
2020-03-06,Son_La,21.3256,103.9188,19.8,81,11.6,40,944.7,1
2020-03-07,Son_La,21.3256,103.9188,22.5,73,8.4,14,942.5,0
2020-03-08,Son_La,21.3256,103.9188,25.1,53,18.3,26,938.7,0
2020-03-09,Son_La,21.3256,103.9188,25.6,44,13.0,16,938.6,0
2020-03-10,Son_La,21.3256,103.9188,20.8,70,25.0,33,943.4,0
2020-03-11,Son_La,21.3256,103.9188,20.2,71,19.7,52,944.5,1
2020-03-12,Son_La,21.3256,103.9188,24.2,64,13.0,22,942.9,0
2020-03-13,Son_La,21.3256,103.9188,26.1,55,22.4,2,944.2,0
2020-03-14,Son_La,21.3256,103.9188,22.0,78,23.6,60,946.9,1
2020-03-15,Son_La,21.3256,103.9188,21.0,72,20.0,70,946.8,0
2020-03-16,Son_La,21.3256,103.9188,22.9,74,17.8,86,945.5,0
2020-03-17,Son_La,21.3256,103.9188,23.2,80,21.9,60,945.8,1
2020-03-18,Son_La,21.3256,103.9188,21.3,84,19.8,71,943.4,1
2020-03-19,Son_La,21.3256,103.9188,20.5,84,19.0,77,943.9,1
2020-03-20,Son_La,21.3256,103.9188,21.3,80,13.9,82,943.9,0
2020-03-21,Son_La,21.3256,103.9188,22.0,84,17.2,38,943.4,1
2020-03-22,Son_La,21.3256,103.9188,21.5,86,11.1,29,943.8,1
2020-03-23,Son_La,21.3256,103.9188,21.4,86,12.7,33,943.8,1
2020-03-24,Son_La,21.3256,103.9188,21.5,87,14.8,45,942.9,1
2020-03-25,Son_La,21.3256,103.9188,21.1,91,13.8,54,941.7,1
2020-03-26,Son_La,21.3256,103.9188,22.0,87,10.4,32,941.2,1
2020-03-27,Son_La,21.3256,103.9188,24.3,77,14.5,6,941.3,0
2020-03-28,Son_La,21.3256,103.9188,24.8,86,21.8,49,941.5,1
2020-03-29,Son_La,21.3256,103.9188,25.1,80,18.7,33,939.8,1
2020-03-30,Son_La,21.3256,103.9188,25.2,83,18.5,29,939.9,1
2020-03-31,Son_La,21.3256,103.9188,22.9,84,23.4,25,941.5,0
2020-04-01,Son_La,21.3256,103.9188,22.4,80,19.0,28,942.6,0
2020-04-02,Son_La,21.3256,103.9188,23.1,81,20.5,34,943.2,1
2020-04-03,Son_La,21.3256,103.9188,23.7,82,22.2,53,944.2,1
2020-04-04,Son_La,21.3256,103.9188,21.4,84,23.8,75,945.5,1
2020-04-05,Son_La,21.3256,103.9188,17.9,86,20.6,66,946.6,1
2020-04-06,Son_La,21.3256,103.9188,17.7,84,20.8,69,945.0,1
2020-04-07,Son_La,21.3256,103.9188,17.3,85,20.3,74,944.6,1
2020-04-08,Son_La,21.3256,103.9188,18.9,84,20.3,85,945.5,1
2020-04-09,Son_La,21.3256,103.9188,20.5,80,18.1,68,946.5,1
2020-04-10,Son_La,21.3256,103.9188,22.4,82,13.9,56,945.9,1
2020-04-11,Son_La,21.3256,103.9188,23.6,84,20.0,70,945.4,1
2020-04-12,Son_La,21.3256,103.9188,18.4,81,23.4,76,947.5,1
2020-04-13,Son_La,21.3256,103.9188,14.4,79,18.2,88,948.2,1
2020-04-14,Son_La,21.3256,103.9188,17.6,81,10.7,44,946.5,0
2020-04-15,Son_La,21.3256,103.9188,21.4,80,14.2,46,944.3,0
2020-04-16,Son_La,21.3256,103.9188,22.9,86,15.1,54,942.3,1
2020-04-17,Son_La,21.3256,103.9188,23.6,87,12.7,69,942.9,1
2020-04-18,Son_La,21.3256,103.9188,23.2,86,9.5,83,943.1,1
2020-04-19,Son_La,21.3256,103.9188,26.0,73,12.9,47,942.1,0
2020-04-20,Son_La,21.3256,103.9188,25.8,74,9.0,17,942.4,1
2020-04-21,Son_La,21.3256,103.9188,26.5,73,16.1,33,941.6,1
2020-04-22,Son_La,21.3256,103.9188,24.7,87,22.1,71,942.8,1
2020-04-23,Son_La,21.3256,103.9188,20.3,90,23.2,94,945.5,1
2020-04-24,Son_La,21.3256,103.9188,14.4,92,22.9,99,948.1,1
2020-04-25,Son_La,21.3256,103.9188,17.1,82,15.9,84,947.8,1
2020-04-26,Son_La,21.3256,103.9188,16.8,87,14.5,97,949.5,1
2020-04-27,Son_La,21.3256,103.9188,17.9,81,8.3,81,949.8,0
2020-04-28,Son_La,21.3256,103.9188,21.0,61,18.2,39,947.8,0
2020-04-29,Son_La,21.3256,103.9188,21.4,74,12.6,56,946.6,0
2020-04-30,Son_La,21.3256,103.9188,22.1,83,7.4,72,945.8,1
2020-05-01,Son_La,21.3256,103.9188,22.4,87,6.8,50,943.4,1
2020-05-02,Son_La,21.3256,103.9188,24.1,81,8.4,40,941.6,1
2020-05-03,Son_La,21.3256,103.9188,25.8,79,7.8,54,941.7,1
2020-05-04,Son_La,21.3256,103.9188,26.6,76,9.2,29,941.8,1
2020-05-05,Son_La,21.3256,103.9188,27.5,72,9.4,13,940.6,1
2020-05-06,Son_La,21.3256,103.9188,28.9,64,11.2,30,939.4,0
2020-05-07,Son_La,21.3256,103.9188,29.4,64,11.6,43,938.8,1
2020-05-08,Son_La,21.3256,103.9188,28.6,70,9.4,61,939.3,1
2020-05-09,Son_La,21.3256,103.9188,27.9,74,10.4,60,941.2,1
2020-05-10,Son_La,21.3256,103.9188,28.5,68,9.7,54,941.8,1
2020-05-11,Son_La,21.3256,103.9188,28.3,68,9.5,55,942.1,1
2020-05-12,Son_La,21.3256,103.9188,25.7,78,17.9,75,943.1,1
2020-05-13,Son_La,21.3256,103.9188,25.3,84,11.4,78,942.7,1
2020-05-14,Son_La,21.3256,103.9188,26.9,72,9.2,52,941.3,1
2020-05-15,Son_La,21.3256,103.9188,27.3,68,14.1,24,938.6,1
2020-05-16,Son_La,21.3256,103.9188,28.2,62,13.2,15,938.5,1
2020-05-17,Son_La,21.3256,103.9188,28.8,65,15.3,35,937.6,1
2020-05-18,Son_La,21.3256,103.9188,27.8,73,15.8,25,937.4,1
2020-05-19,Son_La,21.3256,103.9188,27.3,78,11.5,50,937.8,1
2020-05-20,Son_La,21.3256,103.9188,28.9,67,14.4,73,937.3,1
2020-05-21,Son_La,21.3256,103.9188,29.9,62,16.5,85,938.0,1
2020-05-22,Son_La,21.3256,103.9188,28.5,74,16.3,100,938.7,1
2020-05-23,Son_La,21.3256,103.9188,27.0,84,14.8,94,939.8,1
2020-05-24,Son_La,21.3256,103.9188,27.6,80,14.1,78,940.4,1
2020-05-25,Son_La,21.3256,103.9188,28.0,72,10.2,54,940.5,1
2020-05-26,Son_La,21.3256,103.9188,26.7,80,17.1,57,941.4,1
2020-05-27,Son_La,21.3256,103.9188,24.5,83,16.6,64,942.7,1
2020-05-28,Son_La,21.3256,103.9188,23.3,88,15.0,90,942.4,1
2020-05-29,Son_La,21.3256,103.9188,24.6,86,8.4,78,941.2,1
2020-05-30,Son_La,21.3256,103.9188,25.4,82,9.2,74,942.0,1
2020-05-31,Son_La,21.3256,103.9188,25.6,81,9.1,77,942.3,1
2020-06-01,Son_La,21.3256,103.9188,25.5,83,10.6,70,941.5,1
2020-06-02,Son_La,21.3256,103.9188,25.7,81,9.2,57,939.7,1
2020-06-03,Son_La,21.3256,103.9188,25.9,85,9.8,66,939.1,1
2020-06-04,Son_La,21.3256,103.9188,26.7,82,8.7,83,938.6,1
2020-06-05,Son_La,21.3256,103.9188,26.2,80,10.8,87,938.8,1
2020-06-06,Son_La,21.3256,103.9188,25.6,85,9.9,93,938.4,1
2020-06-07,Son_La,21.3256,103.9188,26.7,79,13.4,97,937.7,1
2020-06-08,Son_La,21.3256,103.9188,27.0,77,11.3,94,937.6,1
2020-06-09,Son_La,21.3256,103.9188,26.7,81,10.6,100,939.2,1
2020-06-10,Son_La,21.3256,103.9188,25.6,89,6.9,100,940.4,1
2020-06-11,Son_La,21.3256,103.9188,25.5,91,9.4,97,939.3,1
2020-06-12,Son_La,21.3256,103.9188,26.1,84,10.5,84,937.3,1
2020-06-13,Son_La,21.3256,103.9188,27.0,80,12.8,93,936.6,1
2020-06-14,Son_La,21.3256,103.9188,24.9,91,11.7,100,938.4,1
2020-06-15,Son_La,21.3256,103.9188,24.4,93,7.6,92,939.7,1
2020-06-16,Son_La,21.3256,103.9188,24.8,89,4.8,90,939.0,1
2020-06-17,Son_La,21.3256,103.9188,25.2,88,7.4,60,937.9,1
2020-06-18,Son_La,21.3256,103.9188,25.0,93,5.7,73,938.7,1
2020-06-19,Son_La,21.3256,103.9188,25.8,87,9.4,60,939.4,1
2020-06-20,Son_La,21.3256,103.9188,26.2,86,5.9,60,939.3,1
2020-06-21,Son_La,21.3256,103.9188,26.9,80,11.1,68,937.7,1
2020-06-22,Son_La,21.3256,103.9188,26.9,84,9.0,71,937.7,1
2020-06-23,Son_La,21.3256,103.9188,26.9,83,9.1,98,939.1,1
2020-06-24,Son_La,21.3256,103.9188,26.8,85,11.4,98,938.8,1
2020-06-25,Son_La,21.3256,103.9188,25.0,93,7.3,100,938.0,1
2020-06-26,Son_La,21.3256,103.9188,25.0,94,8.5,93,938.0,1
2020-06-27,Son_La,21.3256,103.9188,26.0,85,10.5,90,938.4,1
2020-06-28,Son_La,21.3256,103.9188,27.0,78,10.5,81,938.4,1
