date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Thanh_Hoa,19.8067,105.7852,19.5,93,15.0,95,1022.6,1
2020-01-02,Thanh_Hoa,19.8067,105.7852,20.7,92,12.3,69,1021.5,1
2020-01-03,Thanh_Hoa,19.8067,105.7852,21.6,90,10.8,88,1019.6,1
2020-01-04,Thanh_Hoa,19.8067,105.7852,22.0,89,12.8,69,1017.6,1
2020-01-05,Thanh_Hoa,19.8067,105.7852,21.8,90,18.5,39,1016.6,1
2020-01-06,Thanh_Hoa,19.8067,105.7852,21.4,90,18.9,43,1015.6,0
2020-01-07,Thanh_Hoa,19.8067,105.7852,22.5,90,11.9,50,1015.2,1
2020-01-08,Thanh_Hoa,19.8067,105.7852,22.4,90,11.7,78,1015.9,1
2020-01-09,Thanh_Hoa,19.8067,105.7852,22.6,89,14.8,51,1014.3,1
2020-01-10,Thanh_Hoa,19.8067,105.7852,22.2,87,19.3,28,1012.7,0
2020-01-11,Thanh_Hoa,19.8067,105.7852,21.9,87,20.5,55,1012.8,1
2020-01-12,Thanh_Hoa,19.8067,105.7852,16.7,75,16.9,98,1016.6,1
2020-01-13,Thanh_Hoa,19.8067,105.7852,18.9,84,8.8,86,1014.5,1
2020-01-14,Thanh_Hoa,19.8067,105.7852,21.0,88,18.1,52,1013.9,1
2020-01-15,Thanh_Hoa,19.8067,105.7852,22.0,85,22.7,38,1013.0,1
2020-01-16,Thanh_Hoa,19.8067,105.7852,22.5,90,18.8,54,1013.9,1
2020-01-17,Thanh_Hoa,19.8067,105.7852,19.5,86,18.9,100,1017.7,1
2020-01-18,Thanh_Hoa,19.8067,105.7852,18.3,93,13.3,82,1016.4,1
2020-01-19,Thanh_Hoa,19.8067,105.7852,17.4,86,15.9,100,1018.6,1
2020-01-20,Thanh_Hoa,19.8067,105.7852,17.1,83,12.6,83,1018.8,1
2020-01-21,Thanh_Hoa,19.8067,105.7852,19.4,89,16.0,44,1017.9,1
2020-01-22,Thanh_Hoa,19.8067,105.7852,21.6,88,19.6,64,1015.3,1
2020-01-23,Thanh_Hoa,19.8067,105.7852,22.3,91,17.6,79,1013.3,1
2020-01-24,Thanh_Hoa,19.8067,105.7852,22.9,91,21.4,86,1012.8,1
2020-01-25,Thanh_Hoa,19.8067,105.7852,19.7,92,24.5,96,1012.4,1
2020-01-26,Thanh_Hoa,19.8067,105.7852,14.3,68,22.3,82,1017.2,1
2020-01-27,Thanh_Hoa,19.8067,105.7852,14.8,74,13.4,96,1015.9,1
2020-01-28,Thanh_Hoa,19.8067,105.7852,15.3,72,17.1,99,1017.6,1
2020-01-29,Thanh_Hoa,19.8067,105.7852,14.6,65,18.0,78,1021.0,0
2020-01-30,Thanh_Hoa,19.8067,105.7852,14.7,68,15.5,13,1021.0,0
2020-01-31,Thanh_Hoa,19.8067,105.7852,16.0,75,13.0,42,1019.0,0
2020-02-01,Thanh_Hoa,19.8067,105.7852,18.2,84,10.3,87,1017.5,1
2020-02-02,Thanh_Hoa,19.8067,105.7852,19.6,89,18.2,65,1017.5,1
2020-02-03,Thanh_Hoa,19.8067,105.7852,20.9,91,19.8,68,1016.0,1
2020-02-04,Thanh_Hoa,19.8067,105.7852,17.3,87,16.9,100,1017.4,1
2020-02-05,Thanh_Hoa,19.8067,105.7852,16.6,90,12.4,88,1016.8,1
2020-02-06,Thanh_Hoa,19.8067,105.7852,19.7,88,18.0,56,1014.9,1
2020-02-07,Thanh_Hoa,19.8067,105.7852,20.9,93,16.3,85,1017.2,1
2020-02-08,Thanh_Hoa,19.8067,105.7852,19.6,91,20.6,100,1020.3,1
2020-02-09,Thanh_Hoa,19.8067,105.7852,16.0,87,17.6,99,1023.6,1
2020-02-10,Thanh_Hoa,19.8067,105.7852,16.7,82,11.3,95,1020.4,1
2020-02-11,Thanh_Hoa,19.8067,105.7852,18.9,89,12.5,71,1017.1,1
2020-02-12,Thanh_Hoa,19.8067,105.7852,21.5,93,17.9,88,1014.2,1
2020-02-13,Thanh_Hoa,19.8067,105.7852,22.9,92,18.3,76,1010.1,1
2020-02-14,Thanh_Hoa,19.8067,105.7852,23.5,89,23.1,52,1006.5,0
2020-02-15,Thanh_Hoa,19.8067,105.7852,24.1,89,19.5,38,1008.3,1
2020-02-16,Thanh_Hoa,19.8067,105.7852,16.5,61,31.5,93,1020.8,1
