date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Vinh_Long,10.2537,105.9722,27.0,64,13.0,79,1013.6,0
2020-01-02,Vinh_Long,10.2537,105.9722,27.1,69,16.6,77,1014.1,0
2020-01-03,Vinh_Long,10.2537,105.9722,27.0,70,14.8,90,1013.0,0
2020-01-04,Vinh_Long,10.2537,105.9722,26.9,70,13.2,58,1011.2,0
2020-01-05,Vinh_Long,10.2537,105.9722,26.0,74,10.8,57,1011.3,0
2020-01-06,Vinh_Long,10.2537,105.9722,26.7,71,12.8,61,1011.5,1
2020-01-07,Vinh_Long,10.2537,105.9722,27.5,70,16.6,68,1010.6,0
2020-01-08,Vinh_Long,10.2537,105.9722,28.1,64,16.5,74,1010.1,0
2020-01-09,Vinh_Long,10.2537,105.9722,27.5,69,13.8,45,1009.3,0
2020-01-10,Vinh_Long,10.2537,105.9722,27.4,68,13.5,49,1009.1,1
2020-01-11,Vinh_Long,10.2537,105.9722,27.1,71,10.2,92,1009.5,0
2020-01-12,Vinh_Long,10.2537,105.9722,26.4,79,10.9,88,1009.4,1
2020-01-13,Vinh_Long,10.2537,105.9722,26.7,71,15.7,50,1009.2,0
2020-01-14,Vinh_Long,10.2537,105.9722,26.2,71,18.7,32,1010.4,0
2020-01-15,Vinh_Long,10.2537,105.9722,26.3,67,13.8,59,1011.0,0
2020-01-16,Vinh_Long,10.2537,105.9722,26.8,74,12.3,25,1011.1,0
2020-01-17,Vinh_Long,10.2537,105.9722,27.0,74,15.0,37,1011.6,0
2020-01-18,Vinh_Long,10.2537,105.9722,26.9,70,17.7,44,1011.3,0
2020-01-19,Vinh_Long,10.2537,105.9722,27.0,65,18.0,61,1011.6,0
2020-01-20,Vinh_Long,10.2537,105.9722,26.9,67,18.6,12,1012.3,0
2020-01-21,Vinh_Long,10.2537,105.9722,27.4,64,16.7,18,1013.5,0
2020-01-22,Vinh_Long,10.2537,105.9722,27.3,68,17.6,14,1012.7,0
2020-01-23,Vinh_Long,10.2537,105.9722,27.0,66,17.2,16,1011.8,0
2020-01-24,Vinh_Long,10.2537,105.9722,26.7,69,16.1,78,1011.4,0
2020-01-25,Vinh_Long,10.2537,105.9722,26.7,74,17.9,64,1010.4,0
2020-01-26,Vinh_Long,10.2537,105.9722,26.6,75,14.0,66,1009.7,0
2020-01-27,Vinh_Long,10.2537,105.9722,26.1,76,15.7,34,1009.8,0
2020-01-28,Vinh_Long,10.2537,105.9722,25.9,76,15.6,50,1010.4,0
2020-01-29,Vinh_Long,10.2537,105.9722,26.2,76,15.1,49,1011.7,0
2020-01-30,Vinh_Long,10.2537,105.9722,26.5,75,16.2,68,1011.3,1
2020-01-31,Vinh_Long,10.2537,105.9722,26.4,67,16.2,98,1011.9,0
2020-02-01,Vinh_Long,10.2537,105.9722,25.8,66,19.0,30,1012.4,0
2020-02-02,Vinh_Long,10.2537,105.9722,25.9,65,16.6,58,1013.5,0
2020-02-03,Vinh_Long,10.2537,105.9722,25.9,66,15.5,72,1012.8,0
2020-02-04,Vinh_Long,10.2537,105.9722,26.5,70,17.4,52,1011.8,0
2020-02-05,Vinh_Long,10.2537,105.9722,26.4,64,18.4,61,1011.3,0
2020-02-06,Vinh_Long,10.2537,105.9722,25.8,62,18.7,39,1012.3,0
2020-02-07,Vinh_Long,10.2537,105.9722,26.1,67,15.1,56,1012.4,0
2020-02-08,Vinh_Long,10.2537,105.9722,27.1,68,12.9,83,1012.3,0
2020-02-09,Vinh_Long,10.2537,105.9722,25.9,75,13.3,94,1012.2,1
2020-02-10,Vinh_Long,10.2537,105.9722,26.2,74,17.1,89,1012.4,0
2020-02-11,Vinh_Long,10.2537,105.9722,27.3,67,22.1,39,1012.8,0
2020-02-12,Vinh_Long,10.2537,105.9722,27.4,71,21.7,12,1012.5,0
2020-02-13,Vinh_Long,10.2537,105.9722,27.5,72,16.1,52,1011.6,0
2020-02-14,Vinh_Long,10.2537,105.9722,27.4,73,15.5,26,1010.1,0
2020-02-15,Vinh_Long,10.2537,105.9722,27.0,74,12.3,44,1010.8,0
2020-02-16,Vinh_Long,10.2537,105.9722,27.3,74,12.5,55,1011.9,0
2020-02-17,Vinh_Long,10.2537,105.9722,27.7,74,22.9,40,1012.7,1
2020-02-18,Vinh_Long,10.2537,105.9722,26.8,69,19.3,72,1012.9,1
2020-02-19,Vinh_Long,10.2537,105.9722,27.2,61,16.8,9,1012.9,0
2020-02-20,Vinh_Long,10.2537,105.9722,27.2,66,14.7,19,1012.9,0
2020-02-21,Vinh_Long,10.2537,105.9722,27.5,63,17.2,30,1013.9,0
2020-02-22,Vinh_Long,10.2537,105.9722,27.0,67,17.3,3,1014.3,0
2020-02-23,Vinh_Long,10.2537,105.9722,27.2,60,17.2,12,1013.5,0
2020-02-24,Vinh_Long,10.2537,105.9722,27.2,61,18.4,17,1012.0,0
2020-02-25,Vinh_Long,10.2537,105.9722,27.6,63,17.9,18,1010.9,0
2020-02-26,Vinh_Long,10.2537,105.9722,28.3,63,17.9,31,1010.8,0
2020-02-27,Vinh_Long,10.2537,105.9722,28.0,61,21.1,68,1010.2,0
2020-02-28,Vinh_Long,10.2537,105.9722,27.5,61,16.2,44,1009.9,0
2020-02-29,Vinh_Long,10.2537,105.9722,27.5,69,18.8,36,1009.5,0
2020-03-01,Vinh_Long,10.2537,105.9722,27.7,71,16.5,80,1010.0,0
2020-03-02,Vinh_Long,10.2537,105.9722,27.8,72,18.6,57,1010.0,1
2020-03-03,Vinh_Long,10.2537,105.9722,27.8,67,19.2,80,1010.2,0
2020-03-04,Vinh_Long,10.2537,105.9722,27.8,70,18.5,55,1010.3,0
2020-03-05,Vinh_Long,10.2537,105.9722,27.7,70,20.7,86,1010.8,0
2020-03-06,Vinh_Long,10.2537,105.9722,28.0,68,18.2,66,1011.9,0
2020-03-07,Vinh_Long,10.2537,105.9722,28.3,70,13.4,92,1011.5,0
2020-03-08,Vinh_Long,10.2537,105.9722,28.5,71,15.5,58,1009.4,0
2020-03-09,Vinh_Long,10.2537,105.9722,29.3,71,16.1,20,1007.9,1
2020-03-10,Vinh_Long,10.2537,105.9722,29.6,70,13.2,52,1008.1,1
2020-03-11,Vinh_Long,10.2537,105.9722,28.6,73,18.6,22,1010.3,1
2020-03-12,Vinh_Long,10.2537,105.9722,28.7,71,16.0,40,1011.4,0
2020-03-13,Vinh_Long,10.2537,105.9722,28.7,71,15.6,88,1011.6,0
2020-03-14,Vinh_Long,10.2537,105.9722,28.5,68,17.7,77,1010.6,0
2020-03-15,Vinh_Long,10.2537,105.9722,28.5,69,21.3,63,1010.8,0
2020-03-16,Vinh_Long,10.2537,105.9722,28.9,67,21.6,58,1011.1,0
