date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Bac_Ninh,21.1861,106.0763,20.0,85,10.2,66,1022.3,1
2020-01-02,Bac_Ninh,21.1861,106.0763,21.1,83,15.8,73,1020.8,1
2020-01-03,Bac_Ninh,21.1861,106.0763,21.7,83,16.3,80,1018.9,1
2020-01-04,Bac_Ninh,21.1861,106.0763,21.4,83,19.6,77,1017.0,1
2020-01-05,Bac_Ninh,21.1861,106.0763,21.5,82,20.1,72,1015.9,1
2020-01-06,Bac_Ninh,21.1861,106.0763,22.3,82,21.5,54,1014.6,1
2020-01-07,Bac_Ninh,21.1861,106.0763,22.7,84,13.9,60,1014.5,1
2020-01-08,Bac_Ninh,21.1861,106.0763,22.6,82,18.4,78,1015.1,1
2020-01-09,Bac_Ninh,21.1861,106.0763,22.8,81,14.7,69,1013.4,1
2020-01-10,Bac_Ninh,21.1861,106.0763,23.6,79,17.4,64,1011.6,1
2020-01-11,Bac_Ninh,21.1861,106.0763,20.4,80,28.1,82,1013.0,1
2020-01-12,Bac_Ninh,21.1861,106.0763,15.4,70,16.9,91,1016.5,1
2020-01-13,Bac_Ninh,21.1861,106.0763,18.3,77,11.3,95,1014.2,1
2020-01-14,Bac_Ninh,21.1861,106.0763,20.9,87,17.6,81,1013.2,1
2020-01-15,Bac_Ninh,21.1861,106.0763,22.0,81,24.9,56,1011.9,1
2020-01-16,Bac_Ninh,21.1861,106.0763,20.1,86,20.8,79,1014.1,1
2020-01-17,Bac_Ninh,21.1861,106.0763,15.1,78,17.0,100,1018.3,1
2020-01-18,Bac_Ninh,21.1861,106.0763,16.3,82,11.7,100,1016.5,1
2020-01-19,Bac_Ninh,21.1861,106.0763,14.5,81,18.5,100,1019.0,1
2020-01-20,Bac_Ninh,21.1861,106.0763,16.0,82,8.7,99,1018.5,1
2020-01-21,Bac_Ninh,21.1861,106.0763,19.7,84,17.0,73,1017.2,1
2020-01-22,Bac_Ninh,21.1861,106.0763,21.6,87,18.8,74,1014.4,1
2020-01-23,Bac_Ninh,21.1861,106.0763,22.7,86,18.8,86,1012.6,1
2020-01-24,Bac_Ninh,21.1861,106.0763,21.8,90,23.2,94,1012.3,1
2020-01-25,Bac_Ninh,21.1861,106.0763,15.8,87,24.5,98,1013.7,1
