date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Ca_Mau,9.1769,105.1524,27.9,56,26.2,80,1013.3,0
2020-01-02,Ca_Mau,9.1769,105.1524,27.9,61,25.5,75,1013.8,0
2020-01-03,Ca_Mau,9.1769,105.1524,27.8,62,24.8,75,1012.8,1
2020-01-04,Ca_Mau,9.1769,105.1524,27.4,63,21.6,81,1011.0,0
2020-01-05,Ca_Mau,9.1769,105.1524,26.8,67,15.7,66,1011.0,0
2020-01-06,Ca_Mau,9.1769,105.1524,27.4,65,15.0,49,1011.2,0
2020-01-07,Ca_Mau,9.1769,105.1524,27.4,71,22.0,93,1010.5,1
2020-01-08,Ca_Mau,9.1769,105.1524,28.3,66,22.4,81,1010.0,0
2020-01-09,Ca_Mau,9.1769,105.1524,27.8,65,20.9,41,1009.4,1
2020-01-10,Ca_Mau,9.1769,105.1524,27.8,69,14.8,73,1009.2,0
2020-01-11,Ca_Mau,9.1769,105.1524,26.6,76,9.8,91,1009.7,0
2020-01-12,Ca_Mau,9.1769,105.1524,26.2,79,13.9,99,1009.4,1
2020-01-13,Ca_Mau,9.1769,105.1524,27.2,68,19.3,61,1009.0,1
2020-01-14,Ca_Mau,9.1769,105.1524,26.7,68,22.4,54,1010.1,0
2020-01-15,Ca_Mau,9.1769,105.1524,26.3,72,19.4,62,1010.7,0
2020-01-16,Ca_Mau,9.1769,105.1524,26.5,76,16.8,36,1011.0,1
2020-01-17,Ca_Mau,9.1769,105.1524,26.6,76,16.2,57,1011.5,1
2020-01-18,Ca_Mau,9.1769,105.1524,27.4,69,21.4,42,1011.1,1
2020-01-19,Ca_Mau,9.1769,105.1524,27.4,70,20.3,74,1011.2,0
2020-01-20,Ca_Mau,9.1769,105.1524,27.6,67,24.8,16,1012.0,0
2020-01-21,Ca_Mau,9.1769,105.1524,27.6,68,22.4,30,1013.4,0
2020-01-22,Ca_Mau,9.1769,105.1524,27.6,70,23.0,6,1012.4,1
2020-01-23,Ca_Mau,9.1769,105.1524,27.1,70,21.3,20,1011.5,0
2020-01-24,Ca_Mau,9.1769,105.1524,26.7,72,20.5,81,1011.2,0
2020-01-25,Ca_Mau,9.1769,105.1524,26.9,77,19.5,47,1010.2,0
2020-01-26,Ca_Mau,9.1769,105.1524,26.7,76,16.6,73,1009.6,1
2020-01-27,Ca_Mau,9.1769,105.1524,26.5,76,18.6,27,1009.5,0
2020-01-28,Ca_Mau,9.1769,105.1524,26.5,75,23.0,39,1010.0,0
2020-01-29,Ca_Mau,9.1769,105.1524,26.7,75,18.0,56,1011.4,1
2020-01-30,Ca_Mau,9.1769,105.1524,26.7,74,20.6,71,1011.1,1
2020-01-31,Ca_Mau,9.1769,105.1524,26.8,68,25.7,98,1011.7,0
2020-02-01,Ca_Mau,9.1769,105.1524,26.3,67,26.4,58,1012.1,0
2020-02-02,Ca_Mau,9.1769,105.1524,26.3,66,24.2,62,1013.2,0
2020-02-03,Ca_Mau,9.1769,105.1524,26.1,69,21.7,61,1012.5,0
2020-02-04,Ca_Mau,9.1769,105.1524,26.4,73,23.1,60,1011.6,0
2020-02-05,Ca_Mau,9.1769,105.1524,26.5,71,24.3,57,1011.1,0
2020-02-06,Ca_Mau,9.1769,105.1524,26.5,66,22.9,86,1011.9,0
2020-02-07,Ca_Mau,9.1769,105.1524,26.2,72,19.5,61,1012.1,0
2020-02-08,Ca_Mau,9.1769,105.1524,27.6,67,23.5,87,1012.2,1
2020-02-09,Ca_Mau,9.1769,105.1524,26.5,67,14.3,98,1011.9,1
2020-02-10,Ca_Mau,9.1769,105.1524,27.1,64,30.7,94,1012.1,1
2020-02-11,Ca_Mau,9.1769,105.1524,27.5,66,26.3,43,1012.4,1
2020-02-12,Ca_Mau,9.1769,105.1524,27.3,74,24.7,32,1012.4,0
2020-02-13,Ca_Mau,9.1769,105.1524,27.6,74,18.4,38,1011.4,0
2020-02-14,Ca_Mau,9.1769,105.1524,27.5,75,17.7,48,1009.9,0
2020-02-15,Ca_Mau,9.1769,105.1524,27.4,73,12.7,40,1010.8,1
2020-02-16,Ca_Mau,9.1769,105.1524,27.9,73,15.0,60,1011.6,0
2020-02-17,Ca_Mau,9.1769,105.1524,27.8,75,30.0,40,1012.6,1
2020-02-18,Ca_Mau,9.1769,105.1524,28.1,62,34.2,59,1012.5,0
2020-02-19,Ca_Mau,9.1769,105.1524,27.7,61,26.6,12,1012.7,0
2020-02-20,Ca_Mau,9.1769,105.1524,27.9,63,25.3,21,1012.5,0
2020-02-21,Ca_Mau,9.1769,105.1524,28.2,59,28.7,33,1013.5,1
2020-02-22,Ca_Mau,9.1769,105.1524,27.9,59,28.8,6,1013.9,0
2020-02-23,Ca_Mau,9.1769,105.1524,28.1,53,26.8,15,1013.1,0
2020-02-24,Ca_Mau,9.1769,105.1524,27.8,56,26.8,8,1011.6,0
2020-02-25,Ca_Mau,9.1769,105.1524,27.2,68,21.4,34,1010.8,1
2020-02-26,Ca_Mau,9.1769,105.1524,27.9,69,22.7,52,1010.9,1
2020-02-27,Ca_Mau,9.1769,105.1524,27.8,69,26.9,59,1010.2,0
2020-02-28,Ca_Mau,9.1769,105.1524,27.5,66,25.1,44,1009.8,0
2020-02-29,Ca_Mau,9.1769,105.1524,27.6,69,21.8,71,1009.3,0
2020-03-01,Ca_Mau,9.1769,105.1524,27.9,72,19.5,76,1009.8,1
2020-03-02,Ca_Mau,9.1769,105.1524,28.2,71,20.3,62,1009.8,1
2020-03-03,Ca_Mau,9.1769,105.1524,28.1,69,22.2,82,1010.0,0
2020-03-04,Ca_Mau,9.1769,105.1524,28.4,69,20.3,46,1010.0,0
2020-03-05,Ca_Mau,9.1769,105.1524,28.2,71,21.9,92,1010.5,0
2020-03-06,Ca_Mau,9.1769,105.1524,28.5,69,17.4,74,1011.6,0
2020-03-07,Ca_Mau,9.1769,105.1524,27.7,75,12.0,90,1011.7,1
2020-03-08,Ca_Mau,9.1769,105.1524,28.5,73,11.7,60,1009.5,1
2020-03-09,Ca_Mau,9.1769,105.1524,29.2,71,21.0,31,1008.0,1
2020-03-10,Ca_Mau,9.1769,105.1524,28.9,74,12.9,60,1008.2,1
2020-03-11,Ca_Mau,9.1769,105.1524,28.1,79,13.9,40,1009.9,1
2020-03-12,Ca_Mau,9.1769,105.1524,28.6,72,16.9,41,1011.1,1
2020-03-13,Ca_Mau,9.1769,105.1524,29.1,71,19.6,88,1011.3,0
2020-03-14,Ca_Mau,9.1769,105.1524,28.4,72,18.4,70,1010.2,0
2020-03-15,Ca_Mau,9.1769,105.1524,28.7,69,22.8,65,1010.5,1
2020-03-16,Ca_Mau,9.1769,105.1524,28.7,69,25.8,73,1010.9,1
2020-03-17,Ca_Mau,9.1769,105.1524,28.5,66,23.7,72,1011.6,0
2020-03-18,Ca_Mau,9.1769,105.1524,28.4,70,18.1,58,1010.4,1
2020-03-19,Ca_Mau,9.1769,105.1524,27.9,70,21.9,34,1010.3,0
2020-03-20,Ca_Mau,9.1769,105.1524,28.2,68,19.9,77,1010.9,0
2020-03-21,Ca_Mau,9.1769,105.1524,28.2,71,17.4,15,1011.0,1
2020-03-22,Ca_Mau,9.1769,105.1524,28.5,71,13.2,26,1010.3,1
2020-03-23,Ca_Mau,9.1769,105.1524,28.5,70,15.7,24,1009.7,1
2020-03-24,Ca_Mau,9.1769,105.1524,28.4,68,17.4,52,1009.0,0
2020-03-25,Ca_Mau,9.1769,105.1524,29.0,70,21.6,29,1007.9,1
2020-03-26,Ca_Mau,9.1769,105.1524,28.9,71,18.7,35,1009.1,0
2020-03-27,Ca_Mau,9.1769,105.1524,28.8,73,15.0,74,1009.6,1
2020-03-28,Ca_Mau,9.1769,105.1524,29.2,71,12.4,47,1009.0,1
2020-03-29,Ca_Mau,9.1769,105.1524,29.2,68,16.1,29,1008.3,0
2020-03-30,Ca_Mau,9.1769,105.1524,29.6,68,12.3,42,1008.8,1
2020-03-31,Ca_Mau,9.1769,105.1524,29.7,71,13.4,18,1009.0,1
2020-04-01,Ca_Mau,9.1769,105.1524,30.0,68,16.9,32,1008.8,1
2020-04-02,Ca_Mau,9.1769,105.1524,29.3,71,19.3,23,1009.3,1
2020-04-03,Ca_Mau,9.1769,105.1524,29.7,66,21.9,16,1009.8,1
2020-04-04,Ca_Mau,9.1769,105.1524,29.5,69,23.7,19,1009.7,1
2020-04-05,Ca_Mau,9.1769,105.1524,29.8,65,23.7,33,1010.1,0
2020-04-06,Ca_Mau,9.1769,105.1524,29.5,70,18.4,65,1009.6,0
2020-04-07,Ca_Mau,9.1769,105.1524,28.7,74,14.0,39,1009.5,1
2020-04-08,Ca_Mau,9.1769,105.1524,28.8,73,14.6,46,1010.1,1
2020-04-09,Ca_Mau,9.1769,105.1524,29.2,72,19.2,86,1010.4,1
2020-04-10,Ca_Mau,9.1769,105.1524,29.0,69,16.4,84,1011.3,1
2020-04-11,Ca_Mau,9.1769,105.1524,29.1,69,15.8,52,1010.9,1
2020-04-12,Ca_Mau,9.1769,105.1524,29.7,69,15.1,44,1009.5,1
2020-04-13,Ca_Mau,9.1769,105.1524,27.8,78,16.4,97,1009.9,1
2020-04-14,Ca_Mau,9.1769,105.1524,27.8,79,19.3,69,1010.4,1
2020-04-15,Ca_Mau,9.1769,105.1524,28.9,73,22.3,46,1010.2,1
2020-04-16,Ca_Mau,9.1769,105.1524,28.7,76,15.9,62,1009.6,1
2020-04-17,Ca_Mau,9.1769,105.1524,28.9,75,18.5,84,1009.9,1
2020-04-18,Ca_Mau,9.1769,105.1524,28.8,74,15.9,52,1010.6,1
2020-04-19,Ca_Mau,9.1769,105.1524,29.5,72,17.3,57,1009.6,0
2020-04-20,Ca_Mau,9.1769,105.1524,29.5,70,16.4,13,1009.5,0
2020-04-21,Ca_Mau,9.1769,105.1524,29.5,73,17.6,59,1008.7,1
2020-04-22,Ca_Mau,9.1769,105.1524,29.7,73,16.0,77,1008.5,1
2020-04-23,Ca_Mau,9.1769,105.1524,30.3,71,21.0,65,1008.8,1
2020-04-24,Ca_Mau,9.1769,105.1524,29.8,73,19.8,89,1008.8,1
2020-04-25,Ca_Mau,9.1769,105.1524,30.3,68,24.5,50,1008.7,1
2020-04-26,Ca_Mau,9.1769,105.1524,29.5,70,24.0,91,1009.5,1
2020-04-27,Ca_Mau,9.1769,105.1524,29.7,68,22.8,98,1010.2,1
2020-04-28,Ca_Mau,9.1769,105.1524,29.5,70,21.4,82,1009.9,1
2020-04-29,Ca_Mau,9.1769,105.1524,29.5,70,21.4,60,1009.0,1
2020-04-30,Ca_Mau,9.1769,105.1524,29.5,72,23.1,83,1009.4,1
2020-05-01,Ca_Mau,9.1769,105.1524,29.7,72,20.0,52,1008.2,1
2020-05-02,Ca_Mau,9.1769,105.1524,29.3,74,14.3,41,1007.8,1
2020-05-03,Ca_Mau,9.1769,105.1524,29.7,72,13.2,35,1008.0,1
2020-05-04,Ca_Mau,9.1769,105.1524,29.2,76,14.5,28,1008.8,1
2020-05-05,Ca_Mau,9.1769,105.1524,29.5,73,7.6,31,1007.8,1
2020-05-06,Ca_Mau,9.1769,105.1524,29.4,78,12.6,27,1007.5,1
2020-05-07,Ca_Mau,9.1769,105.1524,29.4,78,11.3,38,1007.0,1
2020-05-08,Ca_Mau,9.1769,105.1524,29.8,77,13.1,87,1007.1,1
2020-05-09,Ca_Mau,9.1769,105.1524,30.3,74,16.9,96,1007.7,1
2020-05-10,Ca_Mau,9.1769,105.1524,30.6,70,16.9,93,1007.8,1
2020-05-11,Ca_Mau,9.1769,105.1524,31.1,66,15.0,86,1008.2,0
2020-05-12,Ca_Mau,9.1769,105.1524,31.1,67,17.1,79,1007.8,0
2020-05-13,Ca_Mau,9.1769,105.1524,31.0,66,16.7,79,1007.9,1
2020-05-14,Ca_Mau,9.1769,105.1524,30.0,73,16.7,89,1007.5,1
