date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Can_Tho,10.0452,105.7469,26.9,65,16.7,75,1013.8,0
2020-01-02,Can_Tho,10.0452,105.7469,27.1,69,20.2,77,1014.3,0
2020-01-03,Can_Tho,10.0452,105.7469,27.0,70,17.0,89,1013.2,0
2020-01-04,Can_Tho,10.0452,105.7469,26.8,70,14.9,58,1011.4,0
2020-01-05,Can_Tho,10.0452,105.7469,25.9,75,12.9,56,1011.5,0
2020-01-06,Can_Tho,10.0452,105.7469,26.6,71,13.2,66,1011.7,0
2020-01-07,Can_Tho,10.0452,105.7469,27.4,71,19.1,70,1010.8,0
2020-01-08,Can_Tho,10.0452,105.7469,28.0,65,20.1,78,1010.4,0
2020-01-09,Can_Tho,10.0452,105.7469,27.3,70,17.0,44,1009.7,0
2020-01-10,Can_Tho,10.0452,105.7469,27.3,69,14.8,52,1009.4,1
2020-01-11,Can_Tho,10.0452,105.7469,26.7,73,11.6,87,1009.9,1
2020-01-12,Can_Tho,10.0452,105.7469,26.5,78,11.3,93,1009.7,1
2020-01-13,Can_Tho,10.0452,105.7469,26.8,70,14.1,50,1009.4,0
2020-01-14,Can_Tho,10.0452,105.7469,26.3,70,18.8,27,1010.6,0
2020-01-15,Can_Tho,10.0452,105.7469,26.2,71,15.2,62,1011.2,0
2020-01-16,Can_Tho,10.0452,105.7469,26.7,75,13.4,18,1011.3,0
2020-01-17,Can_Tho,10.0452,105.7469,26.9,75,15.3,31,1011.9,0
2020-01-18,Can_Tho,10.0452,105.7469,26.9,70,19.1,34,1011.6,1
2020-01-19,Can_Tho,10.0452,105.7469,26.9,66,19.4,61,1011.9,0
2020-01-20,Can_Tho,10.0452,105.7469,26.9,67,20.2,16,1012.5,0
2020-01-21,Can_Tho,10.0452,105.7469,27.4,66,17.9,17,1013.8,0
2020-01-22,Can_Tho,10.0452,105.7469,27.3,69,19.4,11,1012.9,0
2020-01-23,Can_Tho,10.0452,105.7469,27.0,68,17.8,16,1012.0,0
2020-01-24,Can_Tho,10.0452,105.7469,26.7,71,18.0,82,1011.7,0
2020-01-25,Can_Tho,10.0452,105.7469,26.8,75,18.5,62,1010.6,0
2020-01-26,Can_Tho,10.0452,105.7469,26.5,76,14.5,68,1010.0,0
2020-01-27,Can_Tho,10.0452,105.7469,26.2,76,16.0,35,1010.0,0
2020-01-28,Can_Tho,10.0452,105.7469,26.2,75,14.9,46,1010.6,0
2020-01-29,Can_Tho,10.0452,105.7469,26.4,75,15.7,66,1011.9,0
2020-01-30,Can_Tho,10.0452,105.7469,26.6,74,19.1,68,1011.5,1
2020-01-31,Can_Tho,10.0452,105.7469,26.4,67,19.8,99,1012.1,0
2020-02-01,Can_Tho,10.0452,105.7469,25.8,67,20.8,34,1012.6,0
2020-02-02,Can_Tho,10.0452,105.7469,25.8,67,17.0,54,1013.7,0
2020-02-03,Can_Tho,10.0452,105.7469,26.0,67,16.6,74,1013.0,0
2020-02-04,Can_Tho,10.0452,105.7469,26.6,71,19.1,45,1012.0,0
2020-02-05,Can_Tho,10.0452,105.7469,26.5,66,19.4,60,1011.5,0
2020-02-06,Can_Tho,10.0452,105.7469,26.0,64,18.9,47,1012.5,0
2020-02-07,Can_Tho,10.0452,105.7469,26.2,68,14.7,58,1012.6,0
2020-02-08,Can_Tho,10.0452,105.7469,27.5,67,18.6,85,1012.5,1
2020-02-09,Can_Tho,10.0452,105.7469,25.9,74,15.2,98,1012.4,1
2020-02-10,Can_Tho,10.0452,105.7469,26.4,72,25.9,88,1012.6,0
2020-02-11,Can_Tho,10.0452,105.7469,27.4,67,24.9,47,1013.0,0
2020-02-12,Can_Tho,10.0452,105.7469,27.5,71,24.8,14,1012.8,0
2020-02-13,Can_Tho,10.0452,105.7469,27.7,72,17.4,43,1011.8,0
2020-02-14,Can_Tho,10.0452,105.7469,27.6,72,16.5,29,1010.3,0
2020-02-15,Can_Tho,10.0452,105.7469,27.3,73,13.6,42,1011.0,0
2020-02-16,Can_Tho,10.0452,105.7469,27.5,75,12.3,54,1012.1,0
2020-02-17,Can_Tho,10.0452,105.7469,27.9,73,26.3,31,1012.9,1
2020-02-18,Can_Tho,10.0452,105.7469,27.3,66,21.2,64,1013.0,0
2020-02-19,Can_Tho,10.0452,105.7469,27.5,58,18.7,8,1013.2,0
2020-02-20,Can_Tho,10.0452,105.7469,27.5,63,18.0,21,1013.1,0
2020-02-21,Can_Tho,10.0452,105.7469,27.8,61,21.3,24,1014.1,0
2020-02-22,Can_Tho,10.0452,105.7469,27.3,65,22.5,6,1014.5,0
2020-02-23,Can_Tho,10.0452,105.7469,27.5,58,19.1,16,1013.7,0
2020-02-24,Can_Tho,10.0452,105.7469,27.4,60,20.1,17,1012.2,0
2020-02-25,Can_Tho,10.0452,105.7469,27.6,64,18.1,20,1011.1,0
2020-02-26,Can_Tho,10.0452,105.7469,28.3,64,19.3,34,1011.1,1
2020-02-27,Can_Tho,10.0452,105.7469,28.1,63,22.8,54,1010.5,0
2020-02-28,Can_Tho,10.0452,105.7469,27.7,61,18.7,30,1010.1,0
2020-02-29,Can_Tho,10.0452,105.7469,27.7,68,21.3,41,1009.7,0
2020-03-01,Can_Tho,10.0452,105.7469,28.1,70,18.0,81,1010.2,0
2020-03-02,Can_Tho,10.0452,105.7469,28.1,71,20.4,56,1010.2,1
2020-03-03,Can_Tho,10.0452,105.7469,28.0,68,20.1,79,1010.4,1
2020-03-04,Can_Tho,10.0452,105.7469,28.2,68,20.8,57,1010.5,0
2020-03-05,Can_Tho,10.0452,105.7469,28.1,69,21.2,86,1011.0,1
2020-03-06,Can_Tho,10.0452,105.7469,28.3,67,19.0,63,1012.0,1
2020-03-07,Can_Tho,10.0452,105.7469,28.3,71,13.6,89,1011.8,1
2020-03-08,Can_Tho,10.0452,105.7469,28.9,70,15.1,58,1009.7,0
2020-03-09,Can_Tho,10.0452,105.7469,29.4,71,11.9,18,1008.1,1
2020-03-10,Can_Tho,10.0452,105.7469,29.6,70,15.2,55,1008.4,1
2020-03-11,Can_Tho,10.0452,105.7469,28.9,72,18.3,22,1010.4,1
2020-03-12,Can_Tho,10.0452,105.7469,28.8,70,16.6,42,1011.6,1
2020-03-13,Can_Tho,10.0452,105.7469,29.0,70,16.6,88,1011.7,0
2020-03-14,Can_Tho,10.0452,105.7469,28.8,67,18.4,71,1010.7,0
2020-03-15,Can_Tho,10.0452,105.7469,28.7,68,22.3,66,1011.1,0
2020-03-16,Can_Tho,10.0452,105.7469,29.1,66,23.0,60,1011.3,0
2020-03-17,Can_Tho,10.0452,105.7469,28.7,67,22.0,64,1011.9,0
2020-03-18,Can_Tho,10.0452,105.7469,28.7,68,16.5,69,1010.8,1
2020-03-19,Can_Tho,10.0452,105.7469,28.7,67,19.3,31,1010.7,1
2020-03-20,Can_Tho,10.0452,105.7469,28.6,66,16.8,70,1011.3,0
2020-03-21,Can_Tho,10.0452,105.7469,28.3,70,16.7,8,1011.3,0
2020-03-22,Can_Tho,10.0452,105.7469,28.6,71,14.8,27,1010.6,1
2020-03-23,Can_Tho,10.0452,105.7469,28.7,70,15.9,25,1010.0,1
2020-03-24,Can_Tho,10.0452,105.7469,28.5,67,16.1,37,1009.5,0
2020-03-25,Can_Tho,10.0452,105.7469,29.1,68,20.2,32,1008.3,1
2020-03-26,Can_Tho,10.0452,105.7469,29.1,69,17.9,37,1009.4,0
2020-03-27,Can_Tho,10.0452,105.7469,29.1,72,15.0,46,1009.9,1
2020-03-28,Can_Tho,10.0452,105.7469,29.4,69,14.6,39,1009.3,1
2020-03-29,Can_Tho,10.0452,105.7469,29.3,66,15.6,27,1008.7,0
2020-03-30,Can_Tho,10.0452,105.7469,29.2,72,11.6,37,1009.1,1
