date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Dak_Lak,12.71,108.2378,21.6,86,33.7,88,953.1,1
2020-01-02,Dak_Lak,12.71,108.2378,21.7,85,38.8,63,953.5,1
2020-01-03,Dak_Lak,12.71,108.2378,21.2,83,33.9,70,952.4,1
2020-01-04,Dak_Lak,12.71,108.2378,20.5,82,32.7,80,950.8,1
2020-01-05,Dak_Lak,12.71,108.2378,20.2,77,28.9,46,950.5,1
2020-01-06,Dak_Lak,12.71,108.2378,21.0,84,23.2,77,950.7,0
2020-01-07,Dak_Lak,12.71,108.2378,21.9,84,27.1,92,949.8,0
2020-01-08,Dak_Lak,12.71,108.2378,21.9,82,28.1,92,950.0,1
2020-01-09,Dak_Lak,12.71,108.2378,21.7,82,30.5,69,948.9,0
2020-01-10,Dak_Lak,12.71,108.2378,21.3,80,23.9,46,948.3,0
2020-01-11,Dak_Lak,12.71,108.2378,21.9,81,18.8,96,947.9,0
2020-01-12,Dak_Lak,12.71,108.2378,21.2,82,25.8,87,948.3,0
2020-01-13,Dak_Lak,12.71,108.2378,20.8,78,27.9,53,948.6,0
2020-01-14,Dak_Lak,12.71,108.2378,20.1,78,29.0,54,949.5,1
2020-01-15,Dak_Lak,12.71,108.2378,21.1,79,23.8,44,949.4,0
2020-01-16,Dak_Lak,12.71,108.2378,21.8,81,18.9,46,949.7,0
2020-01-17,Dak_Lak,12.71,108.2378,21.6,80,25.3,74,950.9,0
2020-01-18,Dak_Lak,12.71,108.2378,20.8,77,25.4,42,950.5,1
2020-01-19,Dak_Lak,12.71,108.2378,20.6,78,28.6,57,951.2,0
2020-01-20,Dak_Lak,12.71,108.2378,20.6,77,29.3,43,951.8,0
2020-01-21,Dak_Lak,12.71,108.2378,21.3,79,26.1,58,952.7,0
2020-01-22,Dak_Lak,12.71,108.2378,21.5,79,23.2,50,951.4,0
2020-01-23,Dak_Lak,12.71,108.2378,22.1,77,22.9,18,950.1,0
2020-01-24,Dak_Lak,12.71,108.2378,22.2,75,21.6,90,949.7,0
2020-01-25,Dak_Lak,12.71,108.2378,23.3,74,19.9,72,948.0,0
2020-01-26,Dak_Lak,12.71,108.2378,23.9,76,23.0,71,947.7,0
2020-01-27,Dak_Lak,12.71,108.2378,23.6,70,21.3,49,947.7,1
2020-01-28,Dak_Lak,12.71,108.2378,23.6,74,22.8,55,948.4,0
2020-01-29,Dak_Lak,12.71,108.2378,22.5,77,23.3,70,950.2,1
2020-01-30,Dak_Lak,12.71,108.2378,20.4,78,28.3,77,950.7,0
2020-01-31,Dak_Lak,12.71,108.2378,19.4,73,28.7,75,951.4,0
2020-02-01,Dak_Lak,12.71,108.2378,19.8,72,29.2,43,951.5,1
2020-02-02,Dak_Lak,12.71,108.2378,20.1,73,28.0,32,952.0,0
2020-02-03,Dak_Lak,12.71,108.2378,20.8,74,25.1,57,951.1,0
2020-02-04,Dak_Lak,12.71,108.2378,21.6,75,24.3,50,950.3,0
2020-02-05,Dak_Lak,12.71,108.2378,20.6,74,29.0,85,950.3,0
2020-02-06,Dak_Lak,12.71,108.2378,20.9,69,24.5,63,950.6,0
2020-02-07,Dak_Lak,12.71,108.2378,21.2,73,25.3,68,951.1,0
2020-02-08,Dak_Lak,12.71,108.2378,21.3,79,32.4,76,951.9,1
2020-02-09,Dak_Lak,12.71,108.2378,20.7,78,40.6,84,952.3,0
2020-02-10,Dak_Lak,12.71,108.2378,20.8,79,40.0,83,951.8,0
2020-02-11,Dak_Lak,12.71,108.2378,22.4,76,28.4,56,952.0,1
2020-02-12,Dak_Lak,12.71,108.2378,23.7,76,23.8,41,950.8,1
2020-02-13,Dak_Lak,12.71,108.2378,24.8,73,21.7,55,949.6,1
2020-02-14,Dak_Lak,12.71,108.2378,25.6,71,15.0,28,947.8,1
2020-02-15,Dak_Lak,12.71,108.2378,26.1,71,12.1,19,948.2,1
2020-02-16,Dak_Lak,12.71,108.2378,25.9,72,25.5,40,950.2,1
2020-02-17,Dak_Lak,12.71,108.2378,22.6,78,36.1,47,952.7,0
2020-02-18,Dak_Lak,12.71,108.2378,21.0,79,37.8,53,952.9,1
2020-02-19,Dak_Lak,12.71,108.2378,20.9,76,31.6,42,953.0,0
2020-02-20,Dak_Lak,12.71,108.2378,21.1,77,31.1,49,952.9,1
2020-02-21,Dak_Lak,12.71,108.2378,20.7,80,30.8,70,954.5,1
2020-02-22,Dak_Lak,12.71,108.2378,20.4,77,34.0,66,954.6,1
2020-02-23,Dak_Lak,12.71,108.2378,20.6,74,31.9,47,953.5,1
2020-02-24,Dak_Lak,12.71,108.2378,20.6,73,29.1,49,951.4,0
2020-02-25,Dak_Lak,12.71,108.2378,21.5,79,26.7,37,949.8,0
2020-02-26,Dak_Lak,12.71,108.2378,22.8,76,28.2,63,950.4,0
2020-02-27,Dak_Lak,12.71,108.2378,22.6,75,30.3,78,949.8,1
2020-02-28,Dak_Lak,12.71,108.2378,22.5,74,26.8,63,948.9,0
2020-02-29,Dak_Lak,12.71,108.2378,23.4,78,24.0,41,948.1,0
2020-03-01,Dak_Lak,12.71,108.2378,24.4,74,22.5,71,948.5,0
2020-03-02,Dak_Lak,12.71,108.2378,24.1,74,26.5,74,948.6,0
2020-03-03,Dak_Lak,12.71,108.2378,24.2,72,25.5,81,948.8,0
2020-03-04,Dak_Lak,12.71,108.2378,24.4,71,23.7,52,948.7,0
2020-03-05,Dak_Lak,12.71,108.2378,24.1,75,26.3,67,949.5,0
2020-03-06,Dak_Lak,12.71,108.2378,24.8,67,21.3,58,950.0,0
2020-03-07,Dak_Lak,12.71,108.2378,26.2,65,16.1,62,949.4,0
2020-03-08,Dak_Lak,12.71,108.2378,28.0,64,9.7,28,947.2,0
2020-03-09,Dak_Lak,12.71,108.2378,29.0,59,18.1,28,945.8,0
2020-03-10,Dak_Lak,12.71,108.2378,28.5,63,17.3,29,946.7,1
2020-03-11,Dak_Lak,12.71,108.2378,26.1,67,27.1,23,948.8,0
2020-03-12,Dak_Lak,12.71,108.2378,25.7,67,24.7,26,949.8,0
2020-03-13,Dak_Lak,12.71,108.2378,26.6,61,21.4,70,949.8,0
2020-03-14,Dak_Lak,12.71,108.2378,25.4,66,25.2,62,949.2,0
2020-03-15,Dak_Lak,12.71,108.2378,24.6,73,30.7,60,949.9,0
2020-03-16,Dak_Lak,12.71,108.2378,24.9,72,26.4,69,950.3,0
2020-03-17,Dak_Lak,12.71,108.2378,25.4,70,24.4,33,950.4,0
2020-03-18,Dak_Lak,12.71,108.2378,25.1,68,26.3,75,948.8,0
2020-03-19,Dak_Lak,12.71,108.2378,26.0,65,23.4,31,948.4,0
2020-03-20,Dak_Lak,12.71,108.2378,25.3,63,26.6,59,949.1,0
2020-03-21,Dak_Lak,12.71,108.2378,25.9,66,22.0,30,949.3,0
2020-03-22,Dak_Lak,12.71,108.2378,26.1,63,21.0,15,948.7,0
2020-03-23,Dak_Lak,12.71,108.2378,26.1,61,25.4,9,948.1,0
2020-03-24,Dak_Lak,12.71,108.2378,26.0,62,24.0,3,947.7,0
2020-03-25,Dak_Lak,12.71,108.2378,26.0,67,25.6,24,946.8,0
2020-03-26,Dak_Lak,12.71,108.2378,26.6,62,21.1,11,947.7,0
2020-03-27,Dak_Lak,12.71,108.2378,26.9,63,19.5,48,948.0,0
