date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Dong_Nai,10.9453,106.824,27.3,61,14.3,67,1013.4,0
2020-01-02,Dong_Nai,10.9453,106.824,27.3,66,11.8,73,1013.7,0
2020-01-03,Dong_Nai,10.9453,106.824,27.0,71,11.2,80,1012.5,0
2020-01-04,Dong_Nai,10.9453,106.824,26.8,73,8.8,87,1011.0,0
2020-01-05,Dong_Nai,10.9453,106.824,26.0,68,11.1,53,1010.9,0
2020-01-06,Dong_Nai,10.9453,106.824,26.4,71,13.1,79,1011.2,0
2020-01-07,Dong_Nai,10.9453,106.824,27.9,69,11.5,73,1010.1,0
2020-01-08,Dong_Nai,10.9453,106.824,28.4,67,12.2,84,1009.8,0
2020-01-09,Dong_Nai,10.9453,106.824,27.7,70,12.6,62,1008.8,0
2020-01-10,Dong_Nai,10.9453,106.824,27.9,67,17.1,26,1008.7,0
2020-01-11,Dong_Nai,10.9453,106.824,27.0,72,13.2,95,1009.0,0
2020-01-12,Dong_Nai,10.9453,106.824,26.5,77,18.2,83,1009.1,1
2020-01-13,Dong_Nai,10.9453,106.824,26.4,70,14.0,41,1009.0,0
2020-01-14,Dong_Nai,10.9453,106.824,26.1,69,15.9,29,1010.1,0
2020-01-15,Dong_Nai,10.9453,106.824,25.8,68,13.7,60,1010.6,0
2020-01-16,Dong_Nai,10.9453,106.824,26.7,71,9.3,11,1010.7,0
2020-01-17,Dong_Nai,10.9453,106.824,27.0,72,19.8,33,1011.3,0
2020-01-18,Dong_Nai,10.9453,106.824,26.8,71,18.3,30,1011.0,0
2020-01-19,Dong_Nai,10.9453,106.824,26.9,67,14.6,54,1011.3,0
2020-01-20,Dong_Nai,10.9453,106.824,27.1,69,15.1,13,1011.8,0
2020-01-21,Dong_Nai,10.9453,106.824,27.6,63,15.4,25,1013.1,0
2020-01-22,Dong_Nai,10.9453,106.824,27.7,64,14.7,26,1012.1,0
2020-01-23,Dong_Nai,10.9453,106.824,27.5,60,16.7,18,1011.2,0
2020-01-24,Dong_Nai,10.9453,106.824,27.6,56,18.3,72,1011.0,0
2020-01-25,Dong_Nai,10.9453,106.824,27.0,67,15.5,56,1009.9,0
2020-01-26,Dong_Nai,10.9453,106.824,26.6,76,16.9,57,1009.6,0
2020-01-27,Dong_Nai,10.9453,106.824,26.6,75,19.8,24,1009.5,0
2020-01-28,Dong_Nai,10.9453,106.824,26.2,74,19.4,14,1010.3,0
2020-01-29,Dong_Nai,10.9453,106.824,26.1,75,17.0,40,1011.5,0
2020-01-30,Dong_Nai,10.9453,106.824,26.5,74,13.3,47,1011.0,0
2020-01-31,Dong_Nai,10.9453,106.824,26.2,68,14.0,91,1011.7,1
2020-02-01,Dong_Nai,10.9453,106.824,26.1,60,19.6,23,1012.0,0
2020-02-02,Dong_Nai,10.9453,106.824,25.3,65,16.7,50,1013.2,0
2020-02-03,Dong_Nai,10.9453,106.824,25.9,65,15.6,67,1012.3,0
2020-02-04,Dong_Nai,10.9453,106.824,26.8,60,17.9,50,1011.3,0
2020-02-05,Dong_Nai,10.9453,106.824,26.7,58,15.1,57,1010.8,0
2020-02-06,Dong_Nai,10.9453,106.824,25.6,59,13.5,63,1011.9,0
2020-02-07,Dong_Nai,10.9453,106.824,26.1,58,17.5,52,1012.0,0
