date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Gia_Lai,13.9833,108.0,21.4,72,33.8,59,933.6,0
2020-01-02,Gia_Lai,13.9833,108.0,21.7,74,32.3,16,933.8,0
2020-01-03,Gia_Lai,13.9833,108.0,21.3,69,25.4,41,932.5,0
2020-01-04,Gia_Lai,13.9833,108.0,20.4,67,23.2,69,930.7,0
2020-01-05,Gia_Lai,13.9833,108.0,19.8,69,28.3,32,930.2,0
2020-01-06,Gia_Lai,13.9833,108.0,21.2,70,20.9,28,930.6,0
2020-01-07,Gia_Lai,13.9833,108.0,21.8,74,22.1,46,929.9,0
2020-01-08,Gia_Lai,13.9833,108.0,22.2,71,26.0,87,930.0,0
2020-01-09,Gia_Lai,13.9833,108.0,22.2,71,22.7,49,929.0,0
2020-01-10,Gia_Lai,13.9833,108.0,21.9,70,19.2,11,928.1,0
2020-01-11,Gia_Lai,13.9833,108.0,22.1,74,17.8,93,927.8,1
2020-01-12,Gia_Lai,13.9833,108.0,21.7,66,20.6,84,928.2,0
2020-01-13,Gia_Lai,13.9833,108.0,20.1,69,23.2,27,928.5,0
2020-01-14,Gia_Lai,13.9833,108.0,19.2,68,22.9,55,929.3,0
2020-01-15,Gia_Lai,13.9833,108.0,19.7,70,20.4,34,929.4,0
2020-01-16,Gia_Lai,13.9833,108.0,20.9,73,19.2,2,929.6,0
2020-01-17,Gia_Lai,13.9833,108.0,21.3,70,22.3,2,930.7,0
2020-01-18,Gia_Lai,13.9833,108.0,20.6,68,23.8,4,930.2,0
2020-01-19,Gia_Lai,13.9833,108.0,19.9,70,27.4,44,930.9,0
2020-01-20,Gia_Lai,13.9833,108.0,20.0,67,22.9,21,931.5,0
2020-01-21,Gia_Lai,13.9833,108.0,20.6,67,21.6,1,932.4,0
2020-01-22,Gia_Lai,13.9833,108.0,21.3,64,21.6,44,931.2,0
2020-01-23,Gia_Lai,13.9833,108.0,21.6,63,20.0,34,930.1,0
2020-01-24,Gia_Lai,13.9833,108.0,21.5,64,19.2,88,929.8,0
2020-01-25,Gia_Lai,13.9833,108.0,22.2,69,17.2,90,928.1,0
2020-01-26,Gia_Lai,13.9833,108.0,22.2,76,15.9,74,927.8,1
2020-01-27,Gia_Lai,13.9833,108.0,22.1,68,16.5,46,927.5,1
2020-01-28,Gia_Lai,13.9833,108.0,22.0,71,16.3,37,928.3,0
2020-01-29,Gia_Lai,13.9833,108.0,20.6,74,21.0,54,929.9,1
2020-01-30,Gia_Lai,13.9833,108.0,19.1,71,22.0,63,930.1,1
2020-01-31,Gia_Lai,13.9833,108.0,18.4,68,22.7,44,930.7,0
2020-02-01,Gia_Lai,13.9833,108.0,18.6,69,23.5,51,930.9,0
2020-02-02,Gia_Lai,13.9833,108.0,19.2,66,21.6,20,931.6,0
2020-02-03,Gia_Lai,13.9833,108.0,19.9,63,21.2,48,930.9,0
2020-02-04,Gia_Lai,13.9833,108.0,20.4,66,20.5,41,930.2,0
2020-02-05,Gia_Lai,13.9833,108.0,19.8,62,22.0,40,929.9,0
2020-02-06,Gia_Lai,13.9833,108.0,20.3,55,19.5,38,930.2,0
2020-02-07,Gia_Lai,13.9833,108.0,21.5,50,22.3,48,931.0,0
2020-02-08,Gia_Lai,13.9833,108.0,21.3,61,25.6,38,931.8,0
2020-02-09,Gia_Lai,13.9833,108.0,20.7,66,32.5,48,932.2,0
2020-02-10,Gia_Lai,13.9833,108.0,20.6,67,29.6,68,931.7,0
2020-02-11,Gia_Lai,13.9833,108.0,22.1,70,21.1,14,931.9,0
2020-02-12,Gia_Lai,13.9833,108.0,23.0,71,18.1,19,931.2,1
2020-02-13,Gia_Lai,13.9833,108.0,24.4,68,17.3,57,929.9,1
2020-02-14,Gia_Lai,13.9833,108.0,24.6,68,12.0,24,928.2,1
2020-02-15,Gia_Lai,13.9833,108.0,25.7,62,13.0,23,928.8,0
2020-02-16,Gia_Lai,13.9833,108.0,25.3,65,23.5,29,930.7,0
2020-02-17,Gia_Lai,13.9833,108.0,22.2,65,26.6,24,932.5,0
2020-02-18,Gia_Lai,13.9833,108.0,20.8,66,29.8,15,932.6,0
2020-02-19,Gia_Lai,13.9833,108.0,20.5,65,26.1,11,932.7,0
2020-02-20,Gia_Lai,13.9833,108.0,20.3,67,25.8,5,932.6,0
2020-02-21,Gia_Lai,13.9833,108.0,20.5,66,30.4,22,934.3,0
2020-02-22,Gia_Lai,13.9833,108.0,20.3,63,31.1,2,934.3,0
2020-02-23,Gia_Lai,13.9833,108.0,20.1,59,25.5,5,933.3,0
2020-02-24,Gia_Lai,13.9833,108.0,20.4,58,22.7,68,931.2,0
2020-02-25,Gia_Lai,13.9833,108.0,21.6,64,24.2,15,929.8,0
2020-02-26,Gia_Lai,13.9833,108.0,22.3,67,27.8,12,930.5,0
2020-02-27,Gia_Lai,13.9833,108.0,22.2,61,25.4,49,929.9,0
2020-02-28,Gia_Lai,13.9833,108.0,22.4,59,24.0,40,928.7,0
2020-02-29,Gia_Lai,13.9833,108.0,22.9,69,22.7,11,928.3,0
2020-03-01,Gia_Lai,13.9833,108.0,23.8,66,20.3,54,928.7,0
2020-03-02,Gia_Lai,13.9833,108.0,23.3,69,26.7,66,928.8,0
2020-03-03,Gia_Lai,13.9833,108.0,23.1,70,23.2,46,929.0,0
2020-03-04,Gia_Lai,13.9833,108.0,23.6,67,22.5,52,928.8,0
2020-03-05,Gia_Lai,13.9833,108.0,23.3,70,23.1,46,929.6,0
2020-03-06,Gia_Lai,13.9833,108.0,24.2,64,17.7,36,930.1,0
2020-03-07,Gia_Lai,13.9833,108.0,25.6,66,11.8,45,929.7,1
2020-03-08,Gia_Lai,13.9833,108.0,26.6,62,16.2,26,927.7,1
2020-03-09,Gia_Lai,13.9833,108.0,26.5,60,16.4,23,926.4,1
2020-03-10,Gia_Lai,13.9833,108.0,27.6,59,18.8,27,927.5,1
2020-03-11,Gia_Lai,13.9833,108.0,25.4,66,22.7,26,929.4,0
2020-03-12,Gia_Lai,13.9833,108.0,25.5,61,18.8,21,930.2,0
2020-03-13,Gia_Lai,13.9833,108.0,26.7,51,18.4,31,930.4,0
2020-03-14,Gia_Lai,13.9833,108.0,25.7,51,22.8,41,929.8,0
2020-03-15,Gia_Lai,13.9833,108.0,23.9,65,25.4,61,930.3,0
2020-03-16,Gia_Lai,13.9833,108.0,24.1,68,25.2,54,930.7,0
2020-03-17,Gia_Lai,13.9833,108.0,24.1,68,21.5,35,930.8,0
2020-03-18,Gia_Lai,13.9833,108.0,24.5,59,22.7,50,929.0,0
2020-03-19,Gia_Lai,13.9833,108.0,25.3,63,18.0,49,929.0,0
2020-03-20,Gia_Lai,13.9833,108.0,25.0,56,20.6,51,929.5,0
2020-03-21,Gia_Lai,13.9833,108.0,24.8,62,19.7,31,929.7,0
2020-03-22,Gia_Lai,13.9833,108.0,25.2,58,18.4,10,929.0,0
2020-03-23,Gia_Lai,13.9833,108.0,25.2,58,18.5,16,928.6,0
2020-03-24,Gia_Lai,13.9833,108.0,24.8,63,21.0,21,928.2,0
2020-03-25,Gia_Lai,13.9833,108.0,24.8,65,19.5,35,927.3,1
2020-03-26,Gia_Lai,13.9833,108.0,25.4,63,18.0,25,928.2,0
2020-03-27,Gia_Lai,13.9833,108.0,26.1,60,15.9,40,928.5,1
2020-03-28,Gia_Lai,13.9833,108.0,26.3,63,16.7,49,927.9,1
2020-03-29,Gia_Lai,13.9833,108.0,26.7,53,19.1,53,927.5,0
2020-03-30,Gia_Lai,13.9833,108.0,25.7,65,13.1,28,927.6,1
2020-03-31,Gia_Lai,13.9833,108.0,26.7,64,15.3,39,928.3,1
2020-04-01,Gia_Lai,13.9833,108.0,26.4,61,22.8,24,928.3,0
2020-04-02,Gia_Lai,13.9833,108.0,25.3,62,23.1,27,929.1,0
2020-04-03,Gia_Lai,13.9833,108.0,25.6,64,22.0,18,929.5,0
2020-04-04,Gia_Lai,13.9833,108.0,25.4,66,24.9,14,929.8,0
2020-04-05,Gia_Lai,13.9833,108.0,25.4,64,23.5,5,929.8,0
2020-04-06,Gia_Lai,13.9833,108.0,24.9,66,20.3,45,929.0,1
2020-04-07,Gia_Lai,13.9833,108.0,23.9,78,13.7,74,928.5,1
2020-04-08,Gia_Lai,13.9833,108.0,24.2,78,16.2,71,929.0,1
2020-04-09,Gia_Lai,13.9833,108.0,24.3,74,15.2,93,929.8,1
2020-04-10,Gia_Lai,13.9833,108.0,24.1,74,20.2,90,930.5,1
2020-04-11,Gia_Lai,13.9833,108.0,24.6,75,15.1,88,929.9,1
2020-04-12,Gia_Lai,13.9833,108.0,24.3,74,20.9,89,929.2,1
2020-04-13,Gia_Lai,13.9833,108.0,22.9,72,25.8,92,929.5,1
2020-04-14,Gia_Lai,13.9833,108.0,22.9,69,19.1,64,929.7,0
2020-04-15,Gia_Lai,13.9833,108.0,23.0,74,19.5,89,929.7,1
2020-04-16,Gia_Lai,13.9833,108.0,24.0,71,16.7,86,928.8,1
