date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Hai_Phong,20.8449,106.6881,19.8,83,18.6,81,1022.6,1
2020-01-02,Hai_Phong,20.8449,106.6881,20.9,87,14.9,53,1021.3,1
2020-01-03,Hai_Phong,20.8449,106.6881,21.4,85,16.4,67,1019.5,0
2020-01-04,Hai_Phong,20.8449,106.6881,21.2,85,20.0,68,1017.6,1
2020-01-05,Hai_Phong,20.8449,106.6881,21.3,85,19.9,66,1016.6,1
2020-01-06,Hai_Phong,20.8449,106.6881,21.8,87,17.6,30,1015.4,1
2020-01-07,Hai_Phong,20.8449,106.6881,22.1,86,13.4,28,1015.2,0
2020-01-08,Hai_Phong,20.8449,106.6881,21.9,85,16.3,51,1015.7,0
2020-01-09,Hai_Phong,20.8449,106.6881,21.8,90,14.7,60,1014.1,1
2020-01-10,Hai_Phong,20.8449,106.6881,22.6,89,19.6,50,1012.5,1
2020-01-11,Hai_Phong,20.8449,106.6881,20.7,87,18.5,92,1013.2,1
2020-01-12,Hai_Phong,20.8449,106.6881,16.1,71,9.6,86,1016.5,1
2020-01-13,Hai_Phong,20.8449,106.6881,18.3,81,11.7,88,1014.5,1
2020-01-14,Hai_Phong,20.8449,106.6881,21.4,87,22.8,65,1013.7,1
2020-01-15,Hai_Phong,20.8449,106.6881,22.2,81,25.4,40,1012.9,1
2020-01-16,Hai_Phong,20.8449,106.6881,21.5,85,19.5,64,1014.4,1
2020-01-17,Hai_Phong,20.8449,106.6881,18.1,74,10.7,85,1018.0,0
2020-01-18,Hai_Phong,20.8449,106.6881,18.3,82,11.9,99,1016.5,1
2020-01-19,Hai_Phong,20.8449,106.6881,16.8,78,11.9,93,1018.7,1
2020-01-20,Hai_Phong,20.8449,106.6881,18.1,80,11.9,100,1018.5,1
2020-01-21,Hai_Phong,20.8449,106.6881,20.5,89,18.3,66,1017.7,1
2020-01-22,Hai_Phong,20.8449,106.6881,21.6,89,20.2,65,1015.2,1
2020-01-23,Hai_Phong,20.8449,106.6881,22.2,89,20.7,76,1013.4,1
2020-01-24,Hai_Phong,20.8449,106.6881,21.8,89,20.8,88,1013.1,1
2020-01-25,Hai_Phong,20.8449,106.6881,17.0,90,24.0,98,1013.0,1
2020-01-26,Hai_Phong,20.8449,106.6881,13.9,67,11.5,85,1016.8,1
2020-01-27,Hai_Phong,20.8449,106.6881,14.2,67,10.9,50,1015.9,1
2020-01-28,Hai_Phong,20.8449,106.6881,14.7,69,10.9,82,1017.7,0
2020-01-29,Hai_Phong,20.8449,106.6881,14.4,62,11.5,72,1020.8,1
2020-01-30,Hai_Phong,20.8449,106.6881,14.3,66,14.2,4,1020.6,0
2020-01-31,Hai_Phong,20.8449,106.6881,15.8,72,16.6,34,1019.0,0
2020-02-01,Hai_Phong,20.8449,106.6881,17.6,89,14.5,92,1017.4,1
2020-02-02,Hai_Phong,20.8449,106.6881,19.3,91,17.6,71,1017.4,1
2020-02-03,Hai_Phong,20.8449,106.6881,19.1,89,20.1,78,1016.4,1
2020-02-04,Hai_Phong,20.8449,106.6881,17.0,85,13.9,100,1017.5,1
2020-02-05,Hai_Phong,20.8449,106.6881,17.1,88,15.2,98,1016.6,1
