date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Hung_Yen,20.6464,106.0511,19.8,89,10.5,89,1021.6,1
2020-01-02,Hung_Yen,20.6464,106.0511,20.8,88,13.8,74,1020.2,1
2020-01-03,Hung_Yen,20.6464,106.0511,22.1,85,17.8,90,1018.2,1
2020-01-04,Hung_Yen,20.6464,106.0511,21.6,88,15.1,72,1016.3,1
2020-01-05,Hung_Yen,20.6464,106.0511,21.7,88,14.8,63,1015.3,1
2020-01-06,Hung_Yen,20.6464,106.0511,22.0,88,21.9,54,1014.1,1
2020-01-07,Hung_Yen,20.6464,106.0511,22.7,86,14.7,44,1013.9,1
2020-01-08,Hung_Yen,20.6464,106.0511,22.7,86,16.8,77,1014.5,1
2020-01-09,Hung_Yen,20.6464,106.0511,23.1,83,14.4,58,1012.8,1
2020-01-10,Hung_Yen,20.6464,106.0511,23.2,83,18.7,46,1011.2,1
2020-01-11,Hung_Yen,20.6464,106.0511,21.4,84,17.9,77,1011.9,1
2020-01-12,Hung_Yen,20.6464,106.0511,15.8,72,18.8,95,1015.7,1
2020-01-13,Hung_Yen,20.6464,106.0511,18.8,81,12.7,98,1013.4,1
2020-01-14,Hung_Yen,20.6464,106.0511,20.9,89,19.1,66,1012.6,1
2020-01-15,Hung_Yen,20.6464,106.0511,22.3,81,24.3,50,1011.4,0
2020-01-16,Hung_Yen,20.6464,106.0511,22.2,85,16.7,64,1013.0,1
2020-01-17,Hung_Yen,20.6464,106.0511,17.1,76,15.1,98,1017.2,1
2020-01-18,Hung_Yen,20.6464,106.0511,18.0,85,9.9,100,1015.5,1
2020-01-19,Hung_Yen,20.6464,106.0511,15.7,83,17.0,100,1018.0,1
2020-01-20,Hung_Yen,20.6464,106.0511,16.6,82,10.2,89,1017.7,1
2020-01-21,Hung_Yen,20.6464,106.0511,19.2,86,17.7,47,1016.6,1
2020-01-22,Hung_Yen,20.6464,106.0511,21.6,88,19.8,53,1013.9,1
2020-01-23,Hung_Yen,20.6464,106.0511,22.5,87,20.1,66,1012.0,1
2020-01-24,Hung_Yen,20.6464,106.0511,22.6,88,24.5,87,1011.6,1
2020-01-25,Hung_Yen,20.6464,106.0511,17.6,90,25.6,100,1012.1,1
2020-01-26,Hung_Yen,20.6464,106.0511,14.0,67,20.3,72,1016.1,1
2020-01-27,Hung_Yen,20.6464,106.0511,14.7,64,13.0,58,1014.9,1
2020-01-28,Hung_Yen,20.6464,106.0511,15.0,70,11.5,88,1016.7,0
2020-01-29,Hung_Yen,20.6464,106.0511,14.4,63,17.9,74,1020.0,1
2020-01-30,Hung_Yen,20.6464,106.0511,14.7,67,11.5,6,1019.7,0
2020-01-31,Hung_Yen,20.6464,106.0511,15.9,73,16.5,39,1017.9,0
2020-02-01,Hung_Yen,20.6464,106.0511,16.9,87,11.2,83,1016.5,1
2020-02-02,Hung_Yen,20.6464,106.0511,19.3,87,21.0,62,1016.2,1
2020-02-03,Hung_Yen,20.6464,106.0511,19.9,93,15.0,94,1015.1,1
2020-02-04,Hung_Yen,20.6464,106.0511,15.4,88,14.1,100,1016.8,1
2020-02-05,Hung_Yen,20.6464,106.0511,16.1,91,10.8,100,1015.8,1
2020-02-06,Hung_Yen,20.6464,106.0511,20.0,87,8.7,67,1013.7,1
2020-02-07,Hung_Yen,20.6464,106.0511,20.2,92,19.4,88,1016.1,1
2020-02-08,Hung_Yen,20.6464,106.0511,18.7,87,20.6,98,1019.6,1
2020-02-09,Hung_Yen,20.6464,106.0511,14.9,84,15.9,100,1022.9,1
2020-02-10,Hung_Yen,20.6464,106.0511,16.7,77,12.8,92,1019.3,1
2020-02-11,Hung_Yen,20.6464,106.0511,20.0,85,16.7,79,1015.7,1
2020-02-12,Hung_Yen,20.6464,106.0511,22.0,89,17.1,97,1012.8,1
2020-02-13,Hung_Yen,20.6464,106.0511,22.8,93,19.3,96,1008.9,1
2020-02-14,Hung_Yen,20.6464,106.0511,24.1,87,18.1,66,1005.4,1
2020-02-15,Hung_Yen,20.6464,106.0511,24.5,84,22.0,58,1007.4,1
2020-02-16,Hung_Yen,20.6464,106.0511,15.6,56,25.7,85,1020.2,1
2020-02-17,Hung_Yen,20.6464,106.0511,16.8,49,16.7,89,1024.2,0
2020-02-18,Hung_Yen,20.6464,106.0511,16.7,53,16.1,51,1022.8,0
2020-02-19,Hung_Yen,20.6464,106.0511,16.9,74,7.4,74,1020.1,0
2020-02-20,Hung_Yen,20.6464,106.0511,19.7,84,18.2,94,1019.6,1
2020-02-21,Hung_Yen,20.6464,106.0511,20.4,83,19.8,64,1022.5,1
2020-02-22,Hung_Yen,20.6464,106.0511,19.6,82,15.7,21,1023.3,0
2020-02-23,Hung_Yen,20.6464,106.0511,19.4,84,13.9,41,1020.6,0
2020-02-24,Hung_Yen,20.6464,106.0511,20.2,82,15.2,61,1016.2,1
2020-02-25,Hung_Yen,20.6464,106.0511,21.0,85,14.9,73,1014.4,1
2020-02-26,Hung_Yen,20.6464,106.0511,21.2,84,14.2,87,1015.1,1
2020-02-27,Hung_Yen,20.6464,106.0511,21.5,87,12.8,93,1014.9,1
2020-02-28,Hung_Yen,20.6464,106.0511,22.4,84,17.2,89,1013.0,1
2020-02-29,Hung_Yen,20.6464,106.0511,22.7,84,14.9,62,1010.9,1
2020-03-01,Hung_Yen,20.6464,106.0511,23.7,86,15.5,86,1010.6,1
2020-03-02,Hung_Yen,20.6464,106.0511,23.2,89,20.6,67,1011.3,1
2020-03-03,Hung_Yen,20.6464,106.0511,23.5,87,23.2,81,1011.5,1
2020-03-04,Hung_Yen,20.6464,106.0511,18.5,91,27.9,100,1014.4,1
2020-03-05,Hung_Yen,20.6464,106.0511,16.2,84,12.6,92,1016.2,1
2020-03-06,Hung_Yen,20.6464,106.0511,19.2,87,13.7,78,1012.6,0
2020-03-07,Hung_Yen,20.6464,106.0511,22.0,87,15.4,54,1008.5,0
2020-03-08,Hung_Yen,20.6464,106.0511,24.8,84,14.5,49,1003.0,0
2020-03-09,Hung_Yen,20.6464,106.0511,25.7,82,10.9,20,1002.1,0
2020-03-10,Hung_Yen,20.6464,106.0511,22.8,69,21.0,65,1011.2,1
2020-03-11,Hung_Yen,20.6464,106.0511,21.0,76,8.9,97,1013.0,1
2020-03-12,Hung_Yen,20.6464,106.0511,23.5,83,17.5,85,1009.6,0
2020-03-13,Hung_Yen,20.6464,106.0511,24.7,89,12.6,88,1010.4,1
2020-03-14,Hung_Yen,20.6464,106.0511,21.3,84,15.6,100,1015.1,1
2020-03-15,Hung_Yen,20.6464,106.0511,19.9,86,9.8,100,1015.2,1
2020-03-16,Hung_Yen,20.6464,106.0511,22.7,86,15.6,99,1012.8,1
2020-03-17,Hung_Yen,20.6464,106.0511,23.8,92,17.4,97,1012.7,1
2020-03-18,Hung_Yen,20.6464,106.0511,21.6,93,11.8,100,1011.2,1
2020-03-19,Hung_Yen,20.6464,106.0511,20.5,92,17.1,100,1011.3,1
2020-03-20,Hung_Yen,20.6464,106.0511,21.3,86,11.5,100,1011.3,1
2020-03-21,Hung_Yen,20.6464,106.0511,24.0,89,18.0,97,1009.4,1
2020-03-22,Hung_Yen,20.6464,106.0511,25.0,88,15.6,82,1009.4,1
2020-03-23,Hung_Yen,20.6464,106.0511,24.9,86,16.7,72,1009.9,0
2020-03-24,Hung_Yen,20.6464,106.0511,24.4,88,21.1,62,1009.5,1
2020-03-25,Hung_Yen,20.6464,106.0511,24.7,89,23.9,62,1007.9,1
2020-03-26,Hung_Yen,20.6464,106.0511,25.4,88,21.3,59,1007.0,1
2020-03-27,Hung_Yen,20.6464,106.0511,26.2,87,16.0,57,1006.4,1
2020-03-28,Hung_Yen,20.6464,106.0511,24.9,86,19.5,65,1008.2,1
2020-03-29,Hung_Yen,20.6464,106.0511,25.1,86,24.8,76,1006.2,1
2020-03-30,Hung_Yen,20.6464,106.0511,22.8,90,17.9,98,1007.0,1
2020-03-31,Hung_Yen,20.6464,106.0511,20.2,87,15.0,100,1009.6,1
2020-04-01,Hung_Yen,20.6464,106.0511,20.5,86,8.3,100,1010.7,1
2020-04-02,Hung_Yen,20.6464,106.0511,23.0,92,19.2,89,1010.3,1
2020-04-03,Hung_Yen,20.6464,106.0511,24.2,91,16.9,96,1010.9,1
2020-04-04,Hung_Yen,20.6464,106.0511,20.6,91,14.7,100,1013.7,1
2020-04-05,Hung_Yen,20.6464,106.0511,18.0,86,17.1,100,1015.8,1
2020-04-06,Hung_Yen,20.6464,106.0511,18.9,82,14.7,96,1014.1,1
2020-04-07,Hung_Yen,20.6464,106.0511,19.6,83,11.9,86,1013.2,1
2020-04-08,Hung_Yen,20.6464,106.0511,21.0,86,10.1,85,1013.3,1
2020-04-09,Hung_Yen,20.6464,106.0511,22.3,83,12.4,78,1014.1,0
2020-04-10,Hung_Yen,20.6464,106.0511,23.3,88,15.5,82,1012.6,1
2020-04-11,Hung_Yen,20.6464,106.0511,25.3,88,12.7,92,1011.0,1
