date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Lai_Chau,22.3964,103.4582,17.7,77,3.7,81,919.5,1
2020-01-02,Lai_Chau,22.3964,103.4582,17.3,78,5.4,42,918.3,0
2020-01-03,Lai_Chau,22.3964,103.4582,18.6,73,5.4,38,916.2,0
2020-01-04,Lai_Chau,22.3964,103.4582,18.3,76,9.1,70,914.2,1
2020-01-05,Lai_Chau,22.3964,103.4582,17.6,81,9.4,68,913.2,1
2020-01-06,Lai_Chau,22.3964,103.4582,17.6,82,7.2,54,912.6,1
2020-01-07,Lai_Chau,22.3964,103.4582,17.6,82,6.0,28,912.9,1
2020-01-08,Lai_Chau,22.3964,103.4582,18.2,78,6.6,34,913.1,1
2020-01-09,Lai_Chau,22.3964,103.4582,18.7,73,5.5,47,911.9,0
2020-01-10,Lai_Chau,22.3964,103.4582,19.0,70,5.5,8,910.1,1
2020-01-11,Lai_Chau,22.3964,103.4582,17.8,75,6.6,24,910.3,1
2020-01-12,Lai_Chau,22.3964,103.4582,16.3,79,6.9,57,911.3,1
2020-01-13,Lai_Chau,22.3964,103.4582,15.9,76,8.3,41,909.9,0
2020-01-14,Lai_Chau,22.3964,103.4582,16.4,79,7.2,54,910.3,1
2020-01-15,Lai_Chau,22.3964,103.4582,17.9,69,8.3,14,909.7,1
2020-01-16,Lai_Chau,22.3964,103.4582,18.0,57,7.9,21,911.1,0
2020-01-17,Lai_Chau,22.3964,103.4582,16.9,65,7.4,30,912.6,1
2020-01-18,Lai_Chau,22.3964,103.4582,16.7,68,6.9,9,911.7,0
2020-01-19,Lai_Chau,22.3964,103.4582,17.5,65,10.2,20,913.1,0
2020-01-20,Lai_Chau,22.3964,103.4582,16.1,81,5.5,90,913.5,1
2020-01-21,Lai_Chau,22.3964,103.4582,17.0,79,8.2,38,913.8,1
2020-01-22,Lai_Chau,22.3964,103.4582,19.0,67,6.6,14,912.3,0
2020-01-23,Lai_Chau,22.3964,103.4582,19.2,57,9.2,1,910.4,0
2020-01-24,Lai_Chau,22.3964,103.4582,19.6,45,7.6,5,910.1,0
2020-01-25,Lai_Chau,22.3964,103.4582,15.8,63,8.4,28,909.1,1
2020-01-26,Lai_Chau,22.3964,103.4582,13.1,65,8.1,11,910.3,0
2020-01-27,Lai_Chau,22.3964,103.4582,13.0,69,9.9,34,908.7,1
2020-01-28,Lai_Chau,22.3964,103.4582,11.8,77,8.3,56,910.3,1
2020-01-29,Lai_Chau,22.3964,103.4582,11.2,81,9.2,60,913.8,0
2020-01-30,Lai_Chau,22.3964,103.4582,12.0,71,9.1,43,913.9,0
2020-01-31,Lai_Chau,22.3964,103.4582,12.3,75,7.2,80,912.8,1
2020-02-01,Lai_Chau,22.3964,103.4582,13.3,84,5.8,71,912.9,1
2020-02-02,Lai_Chau,22.3964,103.4582,16.3,72,7.6,39,913.3,1
2020-02-03,Lai_Chau,22.3964,103.4582,16.9,76,6.4,42,912.5,1
2020-02-04,Lai_Chau,22.3964,103.4582,16.2,85,7.6,79,912.1,1
2020-02-05,Lai_Chau,22.3964,103.4582,15.2,87,9.4,79,911.3,1
2020-02-06,Lai_Chau,22.3964,103.4582,16.5,82,7.4,56,911.7,1
2020-02-07,Lai_Chau,22.3964,103.4582,17.9,74,7.5,34,913.8,0
2020-02-08,Lai_Chau,22.3964,103.4582,17.8,86,6.7,90,915.8,1
2020-02-09,Lai_Chau,22.3964,103.4582,15.8,90,10.1,83,917.0,1
2020-02-10,Lai_Chau,22.3964,103.4582,13.9,88,7.2,81,914.2,1
2020-02-11,Lai_Chau,22.3964,103.4582,15.8,83,6.1,56,913.2,1
2020-02-12,Lai_Chau,22.3964,103.4582,17.3,76,7.8,37,911.6,1
2020-02-13,Lai_Chau,22.3964,103.4582,18.2,65,8.6,12,908.6,0
2020-02-14,Lai_Chau,22.3964,103.4582,18.6,59,10.6,10,905.8,0
2020-02-15,Lai_Chau,22.3964,103.4582,19.5,52,9.3,13,908.3,0
2020-02-16,Lai_Chau,22.3964,103.4582,16.4,68,9.3,44,913.5,1
2020-02-17,Lai_Chau,22.3964,103.4582,14.1,68,6.0,45,917.6,0
2020-02-18,Lai_Chau,22.3964,103.4582,12.2,80,6.6,83,916.8,1
2020-02-19,Lai_Chau,22.3964,103.4582,15.1,76,6.9,58,915.8,1
2020-02-20,Lai_Chau,22.3964,103.4582,17.9,64,10.4,33,916.2,0
2020-02-21,Lai_Chau,22.3964,103.4582,17.5,75,7.6,62,919.3,0
2020-02-22,Lai_Chau,22.3964,103.4582,17.9,72,8.2,58,920.1,1
2020-02-23,Lai_Chau,22.3964,103.4582,18.0,64,8.4,36,917.8,0
2020-02-24,Lai_Chau,22.3964,103.4582,18.6,62,6.8,18,914.1,0
2020-02-25,Lai_Chau,22.3964,103.4582,19.6,63,5.3,24,912.7,1
2020-02-26,Lai_Chau,22.3964,103.4582,20.7,64,5.5,82,913.5,1
2020-02-27,Lai_Chau,22.3964,103.4582,20.8,64,9.3,89,912.9,0
2020-02-28,Lai_Chau,22.3964,103.4582,19.6,70,9.8,58,911.4,1
2020-02-29,Lai_Chau,22.3964,103.4582,19.7,72,4.7,47,910.5,1
2020-03-01,Lai_Chau,22.3964,103.4582,20.9,64,7.1,10,910.2,0
2020-03-02,Lai_Chau,22.3964,103.4582,21.0,65,7.6,28,910.4,0
