date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Lang_Son,21.8537,106.761,18.6,74,14.9,53,992.9,0
2020-01-02,Lang_Son,21.8537,106.761,19.2,85,15.2,81,991.5,1
2020-01-03,Lang_Son,21.8537,106.761,19.7,83,13.2,74,989.8,1
2020-01-04,Lang_Son,21.8537,106.761,19.4,83,16.9,72,988.0,1
2020-01-05,Lang_Son,21.8537,106.761,19.5,79,18.0,50,986.9,0
2020-01-06,Lang_Son,21.8537,106.761,20.3,81,23.0,65,985.6,1
2020-01-07,Lang_Son,21.8537,106.761,20.5,84,11.5,35,985.9,1
2020-01-08,Lang_Son,21.8537,106.761,20.3,81,18.1,73,986.2,0
2020-01-09,Lang_Son,21.8537,106.761,20.1,84,16.2,67,984.6,1
2020-01-10,Lang_Son,21.8537,106.761,21.0,86,20.7,66,983.0,1
2020-01-11,Lang_Son,21.8537,106.761,16.4,85,25.8,92,984.9,1
2020-01-12,Lang_Son,21.8537,106.761,11.4,78,21.1,65,987.0,1
2020-01-13,Lang_Son,21.8537,106.761,15.5,84,12.8,88,984.7,1
2020-01-14,Lang_Son,21.8537,106.761,17.8,96,12.7,96,984.4,1
2020-01-15,Lang_Son,21.8537,106.761,19.4,88,24.9,73,983.2,1
2020-01-16,Lang_Son,21.8537,106.761,16.0,88,23.7,90,986.0,1
2020-01-17,Lang_Son,21.8537,106.761,10.9,83,19.4,100,989.3,1
2020-01-18,Lang_Son,21.8537,106.761,11.6,88,16.1,100,987.5,1
2020-01-19,Lang_Son,21.8537,106.761,11.1,85,23.2,99,990.0,1
2020-01-20,Lang_Son,21.8537,106.761,13.4,87,11.6,99,988.9,1
2020-01-21,Lang_Son,21.8537,106.761,17.3,93,17.3,84,987.8,1
2020-01-22,Lang_Son,21.8537,106.761,20.0,87,22.7,91,985.5,1
2020-01-23,Lang_Son,21.8537,106.761,20.5,87,19.9,72,983.8,1
2020-01-24,Lang_Son,21.8537,106.761,19.6,92,23.8,89,983.9,1
2020-01-25,Lang_Son,21.8537,106.761,11.3,92,30.3,97,985.6,1
2020-01-26,Lang_Son,21.8537,106.761,10.6,68,24.3,34,987.3,1
2020-01-27,Lang_Son,21.8537,106.761,10.1,70,17.6,18,986.2,0
2020-01-28,Lang_Son,21.8537,106.761,10.1,67,16.9,57,988.1,0
2020-01-29,Lang_Son,21.8537,106.761,10.6,64,21.3,65,990.9,0
2020-01-30,Lang_Son,21.8537,106.761,11.7,65,14.3,16,990.2,0
2020-01-31,Lang_Son,21.8537,106.761,13.0,70,15.5,33,988.6,0
2020-02-01,Lang_Son,21.8537,106.761,14.6,90,12.5,88,987.7,1
2020-02-02,Lang_Son,21.8537,106.761,17.5,92,19.5,69,987.5,1
2020-02-03,Lang_Son,21.8537,106.761,13.7,95,22.5,86,987.8,1
2020-02-04,Lang_Son,21.8537,106.761,10.9,92,18.5,100,988.7,1
2020-02-05,Lang_Son,21.8537,106.761,12.4,94,13.6,99,987.1,1
2020-02-06,Lang_Son,21.8537,106.761,18.3,91,19.9,84,985.3,1
2020-02-07,Lang_Son,21.8537,106.761,15.6,92,18.1,95,988.5,1
2020-02-08,Lang_Son,21.8537,106.761,12.2,91,19.1,99,992.2,1
2020-02-09,Lang_Son,21.8537,106.761,11.4,81,22.3,83,994.4,1
2020-02-10,Lang_Son,21.8537,106.761,13.8,81,12.4,99,990.2,1
2020-02-11,Lang_Son,21.8537,106.761,17.5,90,19.1,88,986.9,1
2020-02-12,Lang_Son,21.8537,106.761,19.4,93,15.9,94,984.5,1
2020-02-13,Lang_Son,21.8537,106.761,20.6,91,22.1,83,981.1,1
2020-02-14,Lang_Son,21.8537,106.761,21.0,92,21.3,85,978.0,1
2020-02-15,Lang_Son,21.8537,106.761,20.8,88,33.6,85,981.0,1
2020-02-16,Lang_Son,21.8537,106.761,11.4,55,36.1,95,991.8,1
2020-02-17,Lang_Son,21.8537,106.761,12.7,48,24.0,59,995.4,0
2020-02-18,Lang_Son,21.8537,106.761,13.3,54,14.3,41,993.4,0
2020-02-19,Lang_Son,21.8537,106.761,15.1,74,13.0,72,990.8,0
2020-02-20,Lang_Son,21.8537,106.761,17.9,84,15.8,83,990.9,1
2020-02-21,Lang_Son,21.8537,106.761,18.5,83,12.2,64,993.9,1
2020-02-22,Lang_Son,21.8537,106.761,17.8,83,14.8,57,994.6,1
2020-02-23,Lang_Son,21.8537,106.761,17.7,78,15.3,40,991.7,0
2020-02-24,Lang_Son,21.8537,106.761,17.8,81,17.8,43,987.4,0
2020-02-25,Lang_Son,21.8537,106.761,18.5,83,15.6,36,985.8,0
2020-02-26,Lang_Son,21.8537,106.761,18.9,84,13.1,85,986.5,0
2020-02-27,Lang_Son,21.8537,106.761,19.8,83,15.5,87,986.4,1
2020-02-28,Lang_Son,21.8537,106.761,20.6,83,14.3,87,984.7,1
2020-02-29,Lang_Son,21.8537,106.761,20.8,84,18.4,65,982.8,1
2020-03-01,Lang_Son,21.8537,106.761,21.4,87,11.9,87,982.7,1
2020-03-02,Lang_Son,21.8537,106.761,21.2,86,17.1,63,983.3,1
2020-03-03,Lang_Son,21.8537,106.761,20.5,89,19.2,83,984.0,1
2020-03-04,Lang_Son,21.8537,106.761,13.2,92,26.9,98,987.2,1
2020-03-05,Lang_Son,21.8537,106.761,13.6,84,15.8,100,987.5,1
2020-03-06,Lang_Son,21.8537,106.761,17.3,90,16.4,86,983.7,1
2020-03-07,Lang_Son,21.8537,106.761,20.0,89,17.6,66,980.3,0
2020-03-08,Lang_Son,21.8537,106.761,22.6,87,20.6,42,975.4,0
2020-03-09,Lang_Son,21.8537,106.761,24.1,78,20.1,3,975.4,0
2020-03-10,Lang_Son,21.8537,106.761,18.6,64,29.9,63,984.2,1
2020-03-11,Lang_Son,21.8537,106.761,18.0,77,12.6,99,984.5,1
2020-03-12,Lang_Son,21.8537,106.761,21.2,89,19.5,91,981.5,1
2020-03-13,Lang_Son,21.8537,106.761,22.4,88,23.0,93,983.4,1
2020-03-14,Lang_Son,21.8537,106.761,17.7,77,23.3,100,987.6,1
2020-03-15,Lang_Son,21.8537,106.761,18.0,83,12.3,100,986.8,1
2020-03-16,Lang_Son,21.8537,106.761,20.3,94,12.6,100,984.8,1
2020-03-17,Lang_Son,21.8537,106.761,20.0,94,19.8,97,985.4,1
2020-03-18,Lang_Son,21.8537,106.761,16.4,91,16.4,100,983.8,1
2020-03-19,Lang_Son,21.8537,106.761,16.9,92,19.2,99,983.7,1
2020-03-20,Lang_Son,21.8537,106.761,19.4,90,13.2,100,982.9,1
2020-03-21,Lang_Son,21.8537,106.761,22.8,90,23.8,94,981.3,1
2020-03-22,Lang_Son,21.8537,106.761,23.1,89,18.9,87,981.6,1
2020-03-23,Lang_Son,21.8537,106.761,22.8,87,15.7,75,982.2,1
2020-03-24,Lang_Son,21.8537,106.761,21.7,86,15.5,52,981.8,1
2020-03-25,Lang_Son,21.8537,106.761,22.3,89,22.6,64,980.1,1
2020-03-26,Lang_Son,21.8537,106.761,23.3,88,26.1,62,979.4,1
2020-03-27,Lang_Son,21.8537,106.761,24.2,88,21.8,62,979.3,1
2020-03-28,Lang_Son,21.8537,106.761,19.0,85,24.5,88,981.8,1
2020-03-29,Lang_Son,21.8537,106.761,20.8,85,22.0,88,979.2,1
2020-03-30,Lang_Son,21.8537,106.761,14.2,89,21.1,100,980.6,1
2020-03-31,Lang_Son,21.8537,106.761,14.8,88,21.1,100,982.5,1
2020-04-01,Lang_Son,21.8537,106.761,17.3,87,12.7,100,982.8,1
2020-04-02,Lang_Son,21.8537,106.761,19.4,92,15.2,85,982.9,1
2020-04-03,Lang_Son,21.8537,106.761,18.0,94,17.1,100,984.1,1
2020-04-04,Lang_Son,21.8537,106.761,15.6,91,22.1,100,986.7,1
2020-04-05,Lang_Son,21.8537,106.761,14.6,91,19.3,100,987.7,1
2020-04-06,Lang_Son,21.8537,106.761,15.1,88,17.1,72,985.8,1
2020-04-07,Lang_Son,21.8537,106.761,17.6,81,14.0,95,984.7,1
2020-04-08,Lang_Son,21.8537,106.761,19.7,79,11.3,96,985.0,1
2020-04-09,Lang_Son,21.8537,106.761,20.3,81,10.2,53,985.7,1
2020-04-10,Lang_Son,21.8537,106.761,21.9,88,19.1,88,984.5,1
2020-04-11,Lang_Son,21.8537,106.761,23.2,89,22.5,82,983.7,1
2020-04-12,Lang_Son,21.8537,106.761,16.7,61,30.8,85,988.4,1
2020-04-13,Lang_Son,21.8537,106.761,13.5,81,15.3,84,989.0,1
2020-04-14,Lang_Son,21.8537,106.761,15.8,78,10.0,38,986.0,0
2020-04-15,Lang_Son,21.8537,106.761,18.3,85,15.5,70,983.4,0
2020-04-16,Lang_Son,21.8537,106.761,21.6,88,22.7,87,981.1,1
2020-04-17,Lang_Son,21.8537,106.761,22.5,88,20.9,88,981.4,1
2020-04-18,Lang_Son,21.8537,106.761,23.5,88,23.6,93,980.4,1
2020-04-19,Lang_Son,21.8537,106.761,24.3,87,15.5,80,979.7,1
2020-04-20,Lang_Son,21.8537,106.761,24.4,87,20.1,77,980.1,1
2020-04-21,Lang_Son,21.8537,106.761,25.0,87,15.9,72,979.5,1
2020-04-22,Lang_Son,21.8537,106.761,19.5,90,22.9,93,982.7,1
2020-04-23,Lang_Son,21.8537,106.761,16.1,88,23.8,100,986.5,1
2020-04-24,Lang_Son,21.8537,106.761,14.0,93,21.7,100,989.2,1
2020-04-25,Lang_Son,21.8537,106.761,15.9,86,16.6,99,988.2,1
2020-04-26,Lang_Son,21.8537,106.761,17.6,82,15.6,96,988.7,1
2020-04-27,Lang_Son,21.8537,106.761,19.8,75,14.5,52,987.8,0
2020-04-28,Lang_Son,21.8537,106.761,21.9,72,10.1,59,986.4,0
2020-04-29,Lang_Son,21.8537,106.761,21.9,73,10.1,49,985.1,0
2020-04-30,Lang_Son,21.8537,106.761,21.7,81,12.8,67,983.9,0
2020-05-01,Lang_Son,21.8537,106.761,22.4,88,17.0,59,981.1,1
2020-05-02,Lang_Son,21.8537,106.761,23.8,89,17.6,61,979.0,1
2020-05-03,Lang_Son,21.8537,106.761,24.9,87,16.3,83,978.7,1
2020-05-04,Lang_Son,21.8537,106.761,26.3,84,19.2,71,978.4,0
2020-05-05,Lang_Son,21.8537,106.761,27.1,82,19.6,46,976.9,0
2020-05-06,Lang_Son,21.8537,106.761,27.3,79,21.3,53,975.8,0
2020-05-07,Lang_Son,21.8537,106.761,28.1,78,23.0,22,975.0,0
2020-05-08,Lang_Son,21.8537,106.761,28.3,79,19.8,28,975.1,0
2020-05-09,Lang_Son,21.8537,106.761,28.9,78,20.8,64,976.6,0
2020-05-10,Lang_Son,21.8537,106.761,27.9,83,15.5,54,977.9,1
2020-05-11,Lang_Son,21.8537,106.761,27.0,84,15.9,62,979.4,1
2020-05-12,Lang_Son,21.8537,106.761,23.9,86,17.2,95,981.6,1
2020-05-13,Lang_Son,21.8537,106.761,25.2,86,19.5,79,980.1,1
2020-05-14,Lang_Son,21.8537,106.761,25.5,85,24.2,69,977.7,1
2020-05-15,Lang_Son,21.8537,106.761,26.7,83,22.7,44,975.2,1
2020-05-16,Lang_Son,21.8537,106.761,26.8,84,18.8,52,975.8,1
2020-05-17,Lang_Son,21.8537,106.761,24.9,91,9.1,83,975.3,1
2020-05-18,Lang_Son,21.8537,106.761,25.2,89,9.7,63,974.6,1
2020-05-19,Lang_Son,21.8537,106.761,25.9,89,14.7,55,974.6,1
2020-05-20,Lang_Son,21.8537,106.761,28.0,83,19.5,89,972.9,1
2020-05-21,Lang_Son,21.8537,106.761,29.7,78,13.6,89,972.0,0
2020-05-22,Lang_Son,21.8537,106.761,26.6,82,19.5,98,975.2,1
2020-05-23,Lang_Son,21.8537,106.761,26.4,83,11.8,97,977.3,1
2020-05-24,Lang_Son,21.8537,106.761,26.9,85,12.8,73,977.7,1
2020-05-25,Lang_Son,21.8537,106.761,26.7,86,20.1,85,977.6,1
2020-05-26,Lang_Son,21.8537,106.761,23.5,82,19.7,72,979.6,1
2020-05-27,Lang_Son,21.8537,106.761,23.6,80,18.0,58,980.6,1
2020-05-28,Lang_Son,21.8537,106.761,25.0,81,11.5,66,979.9,0
2020-05-29,Lang_Son,21.8537,106.761,25.3,89,18.6,71,978.0,1
2020-05-30,Lang_Son,21.8537,106.761,26.5,89,15.2,65,978.6,1
2020-05-31,Lang_Son,21.8537,106.761,27.6,82,18.4,85,978.3,1
2020-06-01,Lang_Son,21.8537,106.761,27.2,85,17.7,86,977.5,1
2020-06-02,Lang_Son,21.8537,106.761,27.7,82,19.3,67,975.9,1
2020-06-03,Lang_Son,21.8537,106.761,27.2,84,17.9,71,975.6,1
2020-06-04,Lang_Son,21.8537,106.761,27.8,82,19.1,82,975.1,1
2020-06-05,Lang_Son,21.8537,106.761,27.6,84,17.2,97,974.7,1
2020-06-06,Lang_Son,21.8537,106.761,27.7,84,15.3,95,974.1,1
2020-06-07,Lang_Son,21.8537,106.761,29.1,73,19.8,95,972.1,0
2020-06-08,Lang_Son,21.8537,106.761,29.3,71,18.4,100,972.5,0
2020-06-09,Lang_Son,21.8537,106.761,28.9,76,15.9,100,975.2,1
2020-06-10,Lang_Son,21.8537,106.761,27.4,86,17.4,99,976.8,1
2020-06-11,Lang_Son,21.8537,106.761,27.5,84,21.1,89,975.3,1
2020-06-12,Lang_Son,21.8537,106.761,28.3,80,22.4,82,973.1,1
2020-06-13,Lang_Son,21.8537,106.761,28.0,82,15.9,55,973.2,1
2020-06-14,Lang_Son,21.8537,106.761,26.6,90,12.4,83,975.6,1
2020-06-15,Lang_Son,21.8537,106.761,24.9,93,20.1,99,977.3,1
2020-06-16,Lang_Son,21.8537,106.761,26.0,91,20.9,63,975.9,1
2020-06-17,Lang_Son,21.8537,106.761,26.7,86,22.3,30,974.1,1
2020-06-18,Lang_Son,21.8537,106.761,27.1,86,17.3,36,975.4,1
2020-06-19,Lang_Son,21.8537,106.761,26.8,87,14.9,57,976.9,1
2020-06-20,Lang_Son,21.8537,106.761,27.2,85,19.4,51,976.2,1
2020-06-21,Lang_Son,21.8537,106.761,28.2,82,23.4,59,973.5,1
2020-06-22,Lang_Son,21.8537,106.761,29.3,77,20.6,76,973.1,1
2020-06-23,Lang_Son,21.8537,106.761,29.3,78,18.8,96,974.7,0
2020-06-24,Lang_Son,21.8537,106.761,29.3,77,16.6,98,973.9,1
2020-06-25,Lang_Son,21.8537,106.761,27.5,88,16.2,100,973.3,1
2020-06-26,Lang_Son,21.8537,106.761,28.0,83,20.2,95,973.7,1
2020-06-27,Lang_Son,21.8537,106.761,28.6,79,21.6,71,974.8,1
2020-06-28,Lang_Son,21.8537,106.761,28.1,82,20.2,66,975.0,1
2020-06-29,Lang_Son,21.8537,106.761,27.8,83,20.0,83,974.5,1
2020-06-30,Lang_Son,21.8537,106.761,27.7,85,15.0,96,973.6,1
2020-07-01,Lang_Son,21.8537,106.761,27.9,84,15.0,98,973.0,1
2020-07-02,Lang_Son,21.8537,106.761,27.2,87,15.2,98,973.2,1
2020-07-03,Lang_Son,21.8537,106.761,26.7,88,15.5,99,975.9,1
