date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Nghe_An,18.6796,105.6813,21.1,96,19.2,98,1021.2,1
2020-01-02,Nghe_An,18.6796,105.6813,21.6,92,12.4,73,1020.9,1
2020-01-03,Nghe_An,18.6796,105.6813,21.8,90,15.3,75,1019.0,1
2020-01-04,Nghe_An,18.6796,105.6813,21.8,90,14.2,61,1017.1,1
2020-01-05,Nghe_An,18.6796,105.6813,22.0,88,17.9,31,1016.1,1
2020-01-06,Nghe_An,18.6796,105.6813,21.6,91,14.0,51,1015.3,0
2020-01-07,Nghe_An,18.6796,105.6813,22.4,91,12.6,44,1014.8,1
2020-01-08,Nghe_An,18.6796,105.6813,22.4,91,11.6,81,1015.5,1
2020-01-09,Nghe_An,18.6796,105.6813,22.5,90,13.4,43,1014.0,1
2020-01-10,Nghe_An,18.6796,105.6813,21.9,87,16.1,10,1012.5,0
2020-01-11,Nghe_An,18.6796,105.6813,22.0,88,14.0,32,1012.3,0
2020-01-12,Nghe_An,18.6796,105.6813,19.5,86,22.8,97,1015.3,1
2020-01-13,Nghe_An,18.6796,105.6813,20.1,83,9.9,86,1014.0,0
2020-01-14,Nghe_An,18.6796,105.6813,22.1,85,20.3,56,1013.4,1
2020-01-15,Nghe_An,18.6796,105.6813,21.8,83,17.0,20,1012.7,0
2020-01-16,Nghe_An,18.6796,105.6813,22.0,87,17.0,46,1013.4,0
2020-01-17,Nghe_An,18.6796,105.6813,22.2,89,17.3,59,1016.4,1
2020-01-18,Nghe_An,18.6796,105.6813,21.6,89,11.7,57,1015.4,1
2020-01-19,Nghe_An,18.6796,105.6813,20.8,92,19.3,83,1017.0,1
2020-01-20,Nghe_An,18.6796,105.6813,19.2,87,16.3,83,1018.2,1
2020-01-21,Nghe_An,18.6796,105.6813,20.9,88,15.5,44,1017.5,0
2020-01-22,Nghe_An,18.6796,105.6813,21.7,86,16.2,47,1014.9,0
2020-01-23,Nghe_An,18.6796,105.6813,22.3,89,15.9,63,1012.9,0
