date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Ninh_Binh,20.2506,105.9745,19.4,92,12.5,87,1022.2,1
2020-01-02,Ninh_Binh,20.2506,105.9745,20.9,89,12.6,82,1020.9,1
2020-01-03,Ninh_Binh,20.2506,105.9745,22.0,88,12.0,89,1018.9,1
2020-01-04,Ninh_Binh,20.2506,105.9745,22.0,87,14.5,75,1017.0,1
2020-01-05,Ninh_Binh,20.2506,105.9745,21.7,88,16.6,36,1016.0,1
2020-01-06,Ninh_Binh,20.2506,105.9745,21.9,90,20.3,70,1014.9,1
2020-01-07,Ninh_Binh,20.2506,105.9745,22.6,88,12.8,60,1014.6,1
2020-01-08,Ninh_Binh,20.2506,105.9745,22.8,87,13.7,72,1015.2,1
2020-01-09,Ninh_Binh,20.2506,105.9745,22.9,86,16.3,47,1013.6,1
2020-01-10,Ninh_Binh,20.2506,105.9745,22.8,85,19.0,34,1012.0,0
2020-01-11,Ninh_Binh,20.2506,105.9745,22.4,84,19.1,66,1012.4,1
2020-01-12,Ninh_Binh,20.2506,105.9745,16.1,73,19.1,99,1016.3,1
2020-01-13,Ninh_Binh,20.2506,105.9745,19.0,84,9.9,95,1014.0,1
2020-01-14,Ninh_Binh,20.2506,105.9745,20.9,89,22.3,62,1013.3,1
2020-01-15,Ninh_Binh,20.2506,105.9745,22.3,83,24.6,42,1012.3,1
2020-01-16,Ninh_Binh,20.2506,105.9745,22.6,85,15.1,65,1013.5,1
2020-01-17,Ninh_Binh,20.2506,105.9745,18.4,80,14.2,99,1017.6,1
2020-01-18,Ninh_Binh,20.2506,105.9745,18.5,87,11.4,100,1016.0,1
2020-01-19,Ninh_Binh,20.2506,105.9745,16.3,85,17.7,98,1018.4,1
2020-01-20,Ninh_Binh,20.2506,105.9745,16.8,83,11.4,86,1018.3,1
2020-01-21,Ninh_Binh,20.2506,105.9745,19.3,86,17.3,40,1017.3,1
2020-01-22,Ninh_Binh,20.2506,105.9745,21.7,88,19.8,59,1014.6,1
2020-01-23,Ninh_Binh,20.2506,105.9745,22.5,87,20.2,63,1012.7,1
2020-01-24,Ninh_Binh,20.2506,105.9745,23.2,87,25.3,78,1012.3,1
2020-01-25,Ninh_Binh,20.2506,105.9745,18.6,91,27.6,100,1012.4,1
2020-01-26,Ninh_Binh,20.2506,105.9745,14.2,67,23.8,75,1016.7,1
2020-01-27,Ninh_Binh,20.2506,105.9745,14.7,69,12.4,80,1015.5,1
2020-01-28,Ninh_Binh,20.2506,105.9745,15.3,71,12.7,96,1017.2,0
2020-01-29,Ninh_Binh,20.2506,105.9745,14.5,65,18.8,68,1020.6,1
2020-01-30,Ninh_Binh,20.2506,105.9745,14.8,66,13.4,4,1020.4,0
