date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Quang_Ngai,15.1214,108.8044,23.6,90,14.2,80,1018.6,1
2020-01-02,Quang_Ngai,15.1214,108.8044,23.2,90,12.5,90,1019.0,1
2020-01-03,Quang_Ngai,15.1214,108.8044,23.3,86,13.4,79,1017.7,1
2020-01-04,Quang_Ngai,15.1214,108.8044,22.9,83,14.3,87,1016.0,1
2020-01-05,Quang_Ngai,15.1214,108.8044,22.4,83,11.8,52,1015.2,1
2020-01-06,Quang_Ngai,15.1214,108.8044,22.7,84,10.3,49,1014.6,1
2020-01-07,Quang_Ngai,15.1214,108.8044,23.4,87,11.1,59,1013.6,1
2020-01-08,Quang_Ngai,15.1214,108.8044,23.4,89,13.6,88,1014.2,1
2020-01-09,Quang_Ngai,15.1214,108.8044,23.2,87,12.4,72,1013.2,1
2020-01-10,Quang_Ngai,15.1214,108.8044,22.9,86,10.7,63,1011.8,1
2020-01-11,Quang_Ngai,15.1214,108.8044,23.6,86,10.7,99,1011.2,1
2020-01-12,Quang_Ngai,15.1214,108.8044,23.0,85,12.6,71,1012.2,1
2020-01-13,Quang_Ngai,15.1214,108.8044,22.3,86,10.6,51,1013.0,1
2020-01-14,Quang_Ngai,15.1214,108.8044,22.1,82,11.4,66,1013.9,1
2020-01-15,Quang_Ngai,15.1214,108.8044,22.1,82,13.7,29,1013.2,0
2020-01-16,Quang_Ngai,15.1214,108.8044,22.6,87,11.9,44,1013.2,1
2020-01-17,Quang_Ngai,15.1214,108.8044,23.0,87,12.0,53,1015.0,1
2020-01-18,Quang_Ngai,15.1214,108.8044,22.6,83,11.9,45,1014.8,1
2020-01-19,Quang_Ngai,15.1214,108.8044,22.0,84,11.3,78,1015.8,1
2020-01-20,Quang_Ngai,15.1214,108.8044,21.6,82,12.3,57,1016.7,1
2020-01-21,Quang_Ngai,15.1214,108.8044,21.8,82,9.5,42,1017.1,1
2020-01-22,Quang_Ngai,15.1214,108.8044,22.0,84,13.1,43,1015.1,0
2020-01-23,Quang_Ngai,15.1214,108.8044,22.6,86,18.8,51,1013.2,0
2020-01-24,Quang_Ngai,15.1214,108.8044,23.4,85,15.5,90,1012.8,0
2020-01-25,Quang_Ngai,15.1214,108.8044,23.9,84,17.6,95,1010.4,0
2020-01-26,Quang_Ngai,15.1214,108.8044,22.9,81,26.3,98,1011.0,1
2020-01-27,Quang_Ngai,15.1214,108.8044,22.5,78,13.2,95,1011.2,0
2020-01-28,Quang_Ngai,15.1214,108.8044,21.8,86,21.1,95,1012.5,1
2020-01-29,Quang_Ngai,15.1214,108.8044,20.9,93,14.3,99,1015.1,1
2020-01-30,Quang_Ngai,15.1214,108.8044,19.3,91,15.5,100,1016.5,1
2020-01-31,Quang_Ngai,15.1214,108.8044,20.4,80,11.7,72,1016.8,1
2020-02-01,Quang_Ngai,15.1214,108.8044,21.0,78,10.1,83,1016.5,1
2020-02-02,Quang_Ngai,15.1214,108.8044,21.1,82,10.8,44,1016.6,1
2020-02-03,Quang_Ngai,15.1214,108.8044,21.6,83,11.0,50,1015.4,1
2020-02-04,Quang_Ngai,15.1214,108.8044,21.8,83,12.3,50,1014.6,1
2020-02-05,Quang_Ngai,15.1214,108.8044,21.7,84,11.2,45,1014.8,1
2020-02-06,Quang_Ngai,15.1214,108.8044,21.3,80,12.2,43,1014.5,0
2020-02-07,Quang_Ngai,15.1214,108.8044,21.3,83,11.1,54,1015.6,0
2020-02-08,Quang_Ngai,15.1214,108.8044,22.6,82,14.8,71,1017.4,1
2020-02-09,Quang_Ngai,15.1214,108.8044,22.1,83,17.0,63,1018.8,1
2020-02-10,Quang_Ngai,15.1214,108.8044,21.7,87,11.8,94,1017.5,1
2020-02-11,Quang_Ngai,15.1214,108.8044,22.8,86,11.4,65,1015.8,1
2020-02-12,Quang_Ngai,15.1214,108.8044,23.6,87,14.7,30,1013.9,0
2020-02-13,Quang_Ngai,15.1214,108.8044,25.0,84,19.4,39,1010.9,0
2020-02-14,Quang_Ngai,15.1214,108.8044,25.4,81,22.8,23,1008.3,0
2020-02-15,Quang_Ngai,15.1214,108.8044,25.3,84,16.1,7,1009.1,0
2020-02-16,Quang_Ngai,15.1214,108.8044,24.5,81,29.7,53,1013.1,1
2020-02-17,Quang_Ngai,15.1214,108.8044,21.1,87,17.2,100,1019.1,1
2020-02-18,Quang_Ngai,15.1214,108.8044,20.7,91,14.5,85,1019.0,1
2020-02-19,Quang_Ngai,15.1214,108.8044,21.5,85,13.0,58,1018.4,1
2020-02-20,Quang_Ngai,15.1214,108.8044,21.8,85,14.3,54,1018.3,1
2020-02-21,Quang_Ngai,15.1214,108.8044,21.9,85,17.6,66,1020.5,1
2020-02-22,Quang_Ngai,15.1214,108.8044,21.9,84,19.5,54,1020.8,1
2020-02-23,Quang_Ngai,15.1214,108.8044,21.7,81,17.5,42,1019.3,1
2020-02-24,Quang_Ngai,15.1214,108.8044,21.3,82,11.5,81,1016.2,0
2020-02-25,Quang_Ngai,15.1214,108.8044,21.7,86,12.0,49,1014.2,1
2020-02-26,Quang_Ngai,15.1214,108.8044,23.4,85,11.4,52,1014.5,1
2020-02-27,Quang_Ngai,15.1214,108.8044,23.3,85,12.7,57,1014.1,1
2020-02-28,Quang_Ngai,15.1214,108.8044,22.8,87,12.1,64,1012.8,1
2020-02-29,Quang_Ngai,15.1214,108.8044,23.9,86,11.2,36,1011.1,1
2020-03-01,Quang_Ngai,15.1214,108.8044,24.2,87,14.0,73,1011.2,0
2020-03-02,Quang_Ngai,15.1214,108.8044,24.4,85,16.3,75,1011.8,1
2020-03-03,Quang_Ngai,15.1214,108.8044,24.4,85,16.7,61,1012.0,1
2020-03-04,Quang_Ngai,15.1214,108.8044,24.5,85,15.0,71,1011.9,1
2020-03-05,Quang_Ngai,15.1214,108.8044,24.7,85,12.0,77,1012.8,1
2020-03-06,Quang_Ngai,15.1214,108.8044,24.3,87,12.6,62,1012.8,1
2020-03-07,Quang_Ngai,15.1214,108.8044,25.1,84,13.4,46,1010.6,0
2020-03-08,Quang_Ngai,15.1214,108.8044,25.6,87,14.3,42,1007.2,0
2020-03-09,Quang_Ngai,15.1214,108.8044,27.2,83,13.8,13,1005.0,0
2020-03-10,Quang_Ngai,15.1214,108.8044,27.0,87,13.4,35,1007.4,1
2020-03-11,Quang_Ngai,15.1214,108.8044,25.6,86,12.0,53,1011.8,1
2020-03-12,Quang_Ngai,15.1214,108.8044,25.4,82,16.9,21,1011.6,0
2020-03-13,Quang_Ngai,15.1214,108.8044,25.6,82,18.4,56,1011.1,0
2020-03-14,Quang_Ngai,15.1214,108.8044,25.7,84,15.8,44,1012.0,0
2020-03-15,Quang_Ngai,15.1214,108.8044,25.0,86,11.3,63,1013.4,1
2020-03-16,Quang_Ngai,15.1214,108.8044,25.6,85,17.3,62,1013.5,1
2020-03-17,Quang_Ngai,15.1214,108.8044,25.4,84,15.9,62,1013.3,1
2020-03-18,Quang_Ngai,15.1214,108.8044,25.0,82,17.1,55,1011.2,0
2020-03-19,Quang_Ngai,15.1214,108.8044,26.2,81,19.8,46,1009.9,0
2020-03-20,Quang_Ngai,15.1214,108.8044,25.7,83,21.1,52,1011.1,0
2020-03-21,Quang_Ngai,15.1214,108.8044,25.9,80,21.2,39,1011.2,0
2020-03-22,Quang_Ngai,15.1214,108.8044,25.8,80,17.5,10,1010.5,0
2020-03-23,Quang_Ngai,15.1214,108.8044,25.4,79,17.6,20,1010.4,0
2020-03-24,Quang_Ngai,15.1214,108.8044,26.2,79,19.0,31,1010.0,0
2020-03-25,Quang_Ngai,15.1214,108.8044,26.4,80,19.3,30,1009.0,0
2020-03-26,Quang_Ngai,15.1214,108.8044,26.9,80,20.8,25,1009.3,0
