date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Quang_Ninh,21.0064,107.2925,19.5,81,19.8,88,1023.0,1
2020-01-02,Quang_Ninh,21.0064,107.2925,20.2,90,13.0,71,1021.8,1
2020-01-03,Quang_Ninh,21.0064,107.2925,20.4,90,14.8,75,1020.1,1
2020-01-04,Quang_Ninh,21.0064,107.2925,20.1,90,13.7,76,1018.3,1
2020-01-05,Quang_Ninh,21.0064,107.2925,20.5,86,14.8,45,1017.2,0
2020-01-06,Quang_Ninh,21.0064,107.2925,21.1,91,15.8,62,1016.1,1
2020-01-07,Quang_Ninh,21.0064,107.2925,21.6,89,10.9,48,1015.6,0
2020-01-08,Quang_Ninh,21.0064,107.2925,21.4,89,11.6,56,1016.2,1
2020-01-09,Quang_Ninh,21.0064,107.2925,21.6,90,10.0,60,1014.6,1
2020-01-10,Quang_Ninh,21.0064,107.2925,21.8,93,14.7,56,1013.0,1
2020-01-11,Quang_Ninh,21.0064,107.2925,19.6,93,18.4,81,1013.7,1
2020-01-12,Quang_Ninh,21.0064,107.2925,15.4,81,12.3,72,1016.5,1
2020-01-13,Quang_Ninh,21.0064,107.2925,17.5,82,12.7,71,1014.9,1
2020-01-14,Quang_Ninh,21.0064,107.2925,20.2,95,16.7,63,1014.4,1
2020-01-15,Quang_Ninh,21.0064,107.2925,20.9,91,20.4,30,1013.7,1
2020-01-16,Quang_Ninh,21.0064,107.2925,20.1,88,17.4,62,1015.1,1
2020-01-17,Quang_Ninh,21.0064,107.2925,17.0,78,17.4,64,1018.3,0
2020-01-18,Quang_Ninh,21.0064,107.2925,16.9,85,16.6,86,1017.1,1
2020-01-19,Quang_Ninh,21.0064,107.2925,16.8,80,15.9,86,1018.9,1
2020-01-20,Quang_Ninh,21.0064,107.2925,17.1,85,16.6,99,1018.9,1
2020-01-21,Quang_Ninh,21.0064,107.2925,19.1,96,15.1,58,1018.2,1
2020-01-22,Quang_Ninh,21.0064,107.2925,20.1,94,11.8,61,1015.9,1
2020-01-23,Quang_Ninh,21.0064,107.2925,21.1,93,14.1,61,1014.1,1
2020-01-24,Quang_Ninh,21.0064,107.2925,20.7,94,14.5,80,1014.0,1
2020-01-25,Quang_Ninh,21.0064,107.2925,15.8,95,27.4,95,1013.3,1
2020-01-26,Quang_Ninh,21.0064,107.2925,13.2,77,28.5,81,1016.4,1
2020-01-27,Quang_Ninh,21.0064,107.2925,13.5,70,16.4,59,1016.1,1
2020-01-28,Quang_Ninh,21.0064,107.2925,13.7,68,17.0,65,1017.9,1
2020-01-29,Quang_Ninh,21.0064,107.2925,13.5,70,10.5,74,1020.8,1
2020-01-30,Quang_Ninh,21.0064,107.2925,14.0,62,16.1,10,1020.7,0
2020-01-31,Quang_Ninh,21.0064,107.2925,15.6,69,14.5,29,1019.4,0
2020-02-01,Quang_Ninh,21.0064,107.2925,16.8,91,14.7,100,1018.1,1
