date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Thai_Nguyen,21.5942,105.8482,20.5,80,13.2,65,1019.6,1
2020-01-02,Thai_Nguyen,21.5942,105.8482,20.5,87,9.7,81,1018.1,1
2020-01-03,Thai_Nguyen,21.5942,105.8482,21.4,86,12.6,82,1016.1,1
2020-01-04,Thai_Nguyen,21.5942,105.8482,20.9,88,14.5,79,1014.3,1
2020-01-05,Thai_Nguyen,21.5942,105.8482,21.1,85,16.6,92,1013.1,1
2020-01-06,Thai_Nguyen,21.5942,105.8482,22.0,83,21.2,72,1011.7,1
2020-01-07,Thai_Nguyen,21.5942,105.8482,22.1,87,12.3,69,1011.9,1
2020-01-08,Thai_Nguyen,21.5942,105.8482,22.6,82,17.8,84,1012.3,1
2020-01-09,Thai_Nguyen,21.5942,105.8482,22.4,82,14.4,79,1010.6,1
2020-01-10,Thai_Nguyen,21.5942,105.8482,23.2,79,19.6,63,1008.8,1
2020-01-11,Thai_Nguyen,21.5942,105.8482,20.2,78,27.7,84,1010.5,1
2020-01-12,Thai_Nguyen,21.5942,105.8482,15.9,69,7.8,68,1013.9,1
2020-01-13,Thai_Nguyen,21.5942,105.8482,17.5,78,12.2,98,1011.6,1
2020-01-14,Thai_Nguyen,21.5942,105.8482,20.5,86,16.1,92,1010.5,1
2020-01-15,Thai_Nguyen,21.5942,105.8482,21.7,84,26.3,62,1009.0,1
2020-01-16,Thai_Nguyen,21.5942,105.8482,20.2,80,18.9,89,1011.6,1
2020-01-17,Thai_Nguyen,21.5942,105.8482,15.6,77,8.8,100,1015.8,1
2020-01-18,Thai_Nguyen,21.5942,105.8482,15.9,84,8.2,100,1014.0,1
2020-01-19,Thai_Nguyen,21.5942,105.8482,14.8,78,8.2,100,1016.7,1
2020-01-20,Thai_Nguyen,21.5942,105.8482,15.4,85,5.4,100,1016.0,1
2020-01-21,Thai_Nguyen,21.5942,105.8482,19.0,88,13.1,90,1014.4,1
2020-01-22,Thai_Nguyen,21.5942,105.8482,21.4,88,16.6,93,1011.6,1
2020-01-23,Thai_Nguyen,21.5942,105.8482,22.4,88,16.4,99,1009.7,1
2020-01-24,Thai_Nguyen,21.5942,105.8482,21.2,95,17.6,93,1009.6,1
2020-01-25,Thai_Nguyen,21.5942,105.8482,15.5,87,14.6,100,1011.6,1
2020-01-26,Thai_Nguyen,21.5942,105.8482,14.8,67,10.7,41,1014.2,0
2020-01-27,Thai_Nguyen,21.5942,105.8482,13.6,65,8.0,28,1013.2,0
2020-01-28,Thai_Nguyen,21.5942,105.8482,13.9,62,8.0,64,1015.2,1
2020-01-29,Thai_Nguyen,21.5942,105.8482,13.9,69,10.8,73,1018.3,0
2020-01-30,Thai_Nguyen,21.5942,105.8482,14.3,71,9.2,26,1017.6,0
2020-01-31,Thai_Nguyen,21.5942,105.8482,14.9,71,13.2,42,1015.9,0
2020-02-01,Thai_Nguyen,21.5942,105.8482,15.7,87,6.5,89,1014.8,1
2020-02-02,Thai_Nguyen,21.5942,105.8482,18.2,92,7.4,95,1014.2,1
2020-02-03,Thai_Nguyen,21.5942,105.8482,17.1,91,15.9,94,1013.9,1
2020-02-04,Thai_Nguyen,21.5942,105.8482,14.6,87,8.4,100,1015.5,1
2020-02-05,Thai_Nguyen,21.5942,105.8482,15.3,90,4.7,100,1014.0,1
2020-02-06,Thai_Nguyen,21.5942,105.8482,18.0,91,5.8,84,1012.0,1
2020-02-07,Thai_Nguyen,21.5942,105.8482,18.5,91,9.2,96,1014.5,1
2020-02-08,Thai_Nguyen,21.5942,105.8482,16.1,86,9.6,100,1018.5,1
2020-02-09,Thai_Nguyen,21.5942,105.8482,14.9,78,7.9,100,1021.5,1
2020-02-10,Thai_Nguyen,21.5942,105.8482,16.2,77,8.3,96,1017.3,1
2020-02-11,Thai_Nguyen,21.5942,105.8482,18.9,89,12.6,96,1013.7,1
2020-02-12,Thai_Nguyen,21.5942,105.8482,20.8,92,12.3,98,1010.8,1
2020-02-13,Thai_Nguyen,21.5942,105.8482,21.8,92,13.0,100,1006.9,1
2020-02-14,Thai_Nguyen,21.5942,105.8482,23.0,92,15.3,74,1003.4,1
2020-02-15,Thai_Nguyen,21.5942,105.8482,23.8,81,24.7,86,1006.0,1
2020-02-16,Thai_Nguyen,21.5942,105.8482,16.3,51,15.0,75,1018.6,0
2020-02-17,Thai_Nguyen,21.5942,105.8482,16.3,50,11.8,62,1022.6,0
2020-02-18,Thai_Nguyen,21.5942,105.8482,16.1,55,10.7,50,1020.8,0
2020-02-19,Thai_Nguyen,21.5942,105.8482,15.8,72,8.9,55,1018.2,0
2020-02-20,Thai_Nguyen,21.5942,105.8482,19.0,84,10.5,96,1017.8,1
2020-02-21,Thai_Nguyen,21.5942,105.8482,20.4,84,10.8,82,1020.6,1
2020-02-22,Thai_Nguyen,21.5942,105.8482,19.7,81,9.3,41,1021.2,0
2020-02-23,Thai_Nguyen,21.5942,105.8482,19.3,81,12.1,16,1018.4,1
2020-02-24,Thai_Nguyen,21.5942,105.8482,19.1,83,13.1,46,1014.1,1
2020-02-25,Thai_Nguyen,21.5942,105.8482,20.6,85,12.9,72,1012.3,1
2020-02-26,Thai_Nguyen,21.5942,105.8482,21.1,83,11.1,91,1013.0,1
2020-02-27,Thai_Nguyen,21.5942,105.8482,21.2,84,11.9,89,1012.7,1
