date,province,temp_max,temp_min,temp_mean,humidity,wind_speed,cloud_cover,pressure,rain
2023-01-01,Ha_Noi,20.6,10.4,15.4,65,10.4,26,1021.5,0
2023-01-02,Ha_Noi,19.1,11.5,15.8,72,12.2,83,1022.2,1
2023-01-03,Ha_Noi,19.5,14.1,16.1,68,10.3,88,1022.5,1
2023-01-04,Ha_Noi,21.9,14.1,18.0,68,8.1,86,1020.1,0
2023-01-05,Ha_Noi,22.0,14.5,18.3,77,9.0,92,1020.7,0
2023-01-06,Ha_Noi,24.6,15.8,19.1,61,23.5,48,1022.5,0
2023-01-07,Ha_Noi,21.5,12.1,17.1,60,12.9,32,1018.7,1
2023-01-08,Ha_Noi,22.5,13.8,17.5,70,13.0,57,1016.9,0
2023-01-09,Ha_Noi,22.1,15.4,18.8,77,7.7,86,1017.0,0
2023-01-10,Ha_Noi,21.0,17.1,18.7,88,10.5,99,1015.8,1
2023-01-11,Ha_Noi,22.9,17.4,19.8,86,11.2,85,1012.9,1
2023-01-12,Ha_Noi,23.8,16.1,19.4,87,12.0,59,1009.6,0
2023-01-13,Ha_Noi,29.4,17.4,22.1,81,17.9,41,1006.0,0
2023-01-14,Ha_Noi,30.0,16.9,22.7,78,16.3,14,1004.2,0
2023-01-15,Ha_Noi,20.1,14.1,18.1,63,24.6,83,1012.2,0
2023-01-16,Ha_Noi,14.4,10.4,12.6,47,20.1,99,1020.1,0
2023-01-17,Ha_Noi,14.8,10.9,12.6,50,14.7,100,1022.1,0
2023-01-18,Ha_Noi,16.7,10.4,13.2,48,13.7,73,1023.1,0
2023-01-19,Ha_Noi,19.5,8.1,14.1,55,8.2,25,1020.8,0
2023-01-20,Ha_Noi,19.0,11.8,15.3,59,8.3,63,1019.6,0
2023-01-21,Ha_Noi,22.5,9.6,15.8,74,13.8,15,1015.5,0
2023-01-22,Ha_Noi,21.0,12.9,16.8,86,9.0,74,1012.8,0
2023-01-23,Ha_Noi,21.9,15.2,18.7,83,23.9,94,1013.5,1
2023-01-24,Ha_Noi,18.6,12.1,15.5,45,26.5,56,1023.7,1
2023-01-25,Ha_Noi,18.6,7.2,13.1,54,14.4,22,1019.0,0
2023-01-26,Ha_Noi,22.2,9.4,16.0,74,14.7,65,1014.5,1
2023-01-27,Ha_Noi,18.1,11.4,15.2,54,23.1,82,1022.0,1
2023-01-28,Ha_Noi,19.3,8.8,13.5,40,16.6,17,1022.4,0
2023-01-29,Ha_Noi,20.0,8.4,13.7,46,12.9,0,1022.1,0
2023-01-30,Ha_Noi,21.4,6.7,14.1,59,15.0,0,1019.1,0
2023-01-31,Ha_Noi,23.2,9.2,15.7,70,17.2,0,1012.9,0
2023-02-01,Ha_Noi,24.9,11.9,17.8,81,18.5,53,1010.5,0
2023-02-02,Ha_Noi,24.1,18.5,20.6,87,10.9,87,1013.2,1
2023-02-03,Ha_Noi,20.8,19.0,19.9,95,13.2,100,1013.3,1
2023-02-04,Ha_Noi,25.2,18.6,20.7,90,16.8,100,1010.9,1
2023-02-05,Ha_Noi,22.5,19.6,20.3,93,15.7,100,1009.9,1
2023-02-06,Ha_Noi,22.8,19.0,20.5,90,16.6,98,1009.2,1
2023-02-07,Ha_Noi,23.4,19.6,21.3,91,20.9,100,1009.7,1
2023-02-08,Ha_Noi,24.1,19.7,21.6,91,18.6,100,1009.5,1
2023-02-09,Ha_Noi,24.9,20.6,21.9,92,17.4,100,1010.1,1
2023-02-10,Ha_Noi,27.9,20.5,23.3,85,25.2,80,1009.2,1
2023-02-11,Ha_Noi,28.5,21.4,23.7,87,25.0,65,1006.4,1
2023-02-12,Ha_Noi,32.2,20.2,24.5,84,17.1,34,1005.2,1
2023-02-13,Ha_Noi,29.8,20.0,24.1,84,23.1,49,1007.8,1
2023-02-14,Ha_Noi,19.2,15.8,17.3,65,23.0,100,1016.6,1
2023-02-15,Ha_Noi,18.2,14.1,16.2,61,16.2,100,1020.7,1
2023-02-16,Ha_Noi,19.5,14.4,16.8,66,10.0,86,1021.0,0
2023-02-17,Ha_Noi,21.5,13.1,17.6,76,11.5,89,1017.5,0
2023-02-18,Ha_Noi,24.9,14.4,19.4,80,15.5,88,1014.4,1
2023-02-19,Ha_Noi,24.6,16.9,19.8,78,18.7,81,1016.8,1
2023-02-20,Ha_Noi,24.7,17.0,20.2,64,12.9,62,1016.6,0
2023-02-21,Ha_Noi,25.3,15.4,20.1,73,16.0,35,1017.3,0
2023-02-22,Ha_Noi,23.4,16.4,19.7,74,15.8,73,1017.3,1
2023-02-23,Ha_Noi,24.5,16.6,20.2,75,18.1,90,1014.3,0
2023-02-24,Ha_Noi,21.0,18.2,19.3,70,21.9,100,1017.9,1
2023-02-25,Ha_Noi,23.0,14.9,18.8,49,18.7,40,1024.1,0
2023-02-26,Ha_Noi,22.3,13.1,17.2,54,17.8,0,1026.0,0
2023-02-27,Ha_Noi,23.5,10.9,17.1,66,13.4,22,1023.1,0
