province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,7,15,0.624,0.8148148148148148,0.34375,0.4835164835164835,0.653688524590164
An_Giang,7,30,0.552,0.6052631578947368,0.359375,0.45098039215686275,0.5630122950819673
An_Giang,7,5,0.624,0.9047619047619048,0.296875,0.4470588235294118,0.6657274590163934
An_Giang,7,3,0.616,0.9444444444444444,0.265625,0.4146341463414634,0.6859631147540983
An_Giang,7,7,0.568,0.8125,0.203125,0.325,0.6785348360655739
An_Giang,7,10,0.552,0.75,0.1875,0.3,0.643186475409836
Bac_Ninh,7,30,0.464,0.7192982456140351,0.44565217391304346,0.5503355704697986,0.4907773386034256
Bac_Ninh,7,15,0.432,0.6842105263157895,0.42391304347826086,0.5234899328859061,0.4598155467720685
Bac_Ninh,7,10,0.416,0.6666666666666666,0.41304347826086957,0.5100671140939598,0.38768115942028986
Bac_Ninh,7,5,0.4,0.6545454545454545,0.391304347826087,0.4897959183673469,0.38537549407114624
Bac_Ninh,7,7,0.392,0.6481481481481481,0.3804347826086957,0.4794520547945205,0.38735177865612647
Bac_Ninh,7,3,0.384,0.6415094339622641,0.3695652173913043,0.4689655172413793,0.3919631093544137
Ca_Mau,7,30,0.456,0.7674418604651163,0.3626373626373626,0.4925373134328358,0.502262443438914
Ca_Mau,7,15,0.4,0.7666666666666667,0.25274725274725274,0.38016528925619836,0.4951519069166128
Ca_Mau,7,10,0.408,0.9473684210526315,0.1978021978021978,0.32727272727272727,0.4851325145442792
Ca_Mau,7,3,0.376,0.9333333333333333,0.15384615384615385,0.2641509433962264,0.47123464770523593
Ca_Mau,7,5,0.376,0.9333333333333333,0.15384615384615385,0.2641509433962264,0.4657401422107304
Ca_Mau,7,7,0.376,0.9333333333333333,0.15384615384615385,0.2641509433962264,0.4825468648998061
Can_Tho,7,30,0.456,0.6071428571428571,0.22972972972972974,0.3333333333333333,0.45310015898251194
Can_Tho,7,15,0.504,0.8333333333333334,0.20270270270270271,0.32608695652173914,0.4939056703762586
Can_Tho,7,3,0.488,0.9166666666666666,0.14864864864864866,0.2558139534883721,0.5455749867514573
Can_Tho,7,5,0.48,0.9090909090909091,0.13513513513513514,0.23529411764705882,0.49920508744038156
Can_Tho,7,10,0.48,0.9090909090909091,0.13513513513513514,0.23529411764705882,0.4872813990461049
Can_Tho,7,7,0.464,0.8181818181818182,0.12162162162162163,0.21176470588235294,0.5005299417064123
Cao_Bang,7,30,0.512,0.6833333333333333,0.4939759036144578,0.5734265734265734,0.5355708548479632
Cao_Bang,7,15,0.448,0.6590909090909091,0.3493975903614458,0.4566929133858268,0.438324727481354
Cao_Bang,7,10,0.416,0.6,0.3614457831325301,0.45112781954887216,0.3950086058519794
Cao_Bang,7,3,0.4,0.5769230769230769,0.3614457831325301,0.4444444444444444,0.39672977624784855
Cao_Bang,7,5,0.392,0.5660377358490566,0.3614457831325301,0.4411764705882353,0.3789443488238669
Cao_Bang,7,7,0.392,0.5660377358490566,0.3614457831325301,0.4411764705882353,0.37119908204245555
Da_Nang,7,3,0.576,0.696969696969697,0.3484848484848485,0.46464646464646464,0.7033898305084746
Da_Nang,7,7,0.56,0.72,0.2727272727272727,0.3956043956043956,0.6011813045711352
Da_Nang,7,5,0.552,0.7083333333333334,0.25757575757575757,0.37777777777777777,0.6289162814586543
