province,forecast_horizon,lookback,accuracy,precision,recall,f1,roc_auc
An_Giang,7,3,0.648,0.6666666666666666,0.625,0.6451612903225806,0.6787909836065573
An_Giang,7,15,0.656,0.7142857142857143,0.546875,0.6194690265486725,0.6662397540983607
An_Giang,7,5,0.64,0.6862745098039216,0.546875,0.6086956521739131,0.6700819672131147
An_Giang,7,7,0.624,0.660377358490566,0.546875,0.5982905982905983,0.6880122950819673
An_Giang,7,10,0.64,0.7021276595744681,0.515625,0.5945945945945946,0.6954405737704917
An_Giang,7,30,0.624,0.6666666666666666,0.53125,0.591304347826087,0.5986168032786886
Bac_Ninh,7,30,0.608,0.7263157894736842,0.75,0.7379679144385026,0.45750988142292487
Bac_Ninh,7,15,0.6,0.71875,0.75,0.7340425531914894,0.4522397891963109
Bac_Ninh,7,10,0.584,0.7222222222222222,0.7065217391304348,0.7142857142857143,0.45191040843214764
Bac_Ninh,7,7,0.552,0.7,0.6847826086956522,0.6923076923076923,0.42226613965744403
Bac_Ninh,7,3,0.536,0.7073170731707317,0.6304347826086957,0.6666666666666666,0.43577075098814233
Bac_Ninh,7,5,0.536,0.7125,0.6195652173913043,0.6627906976744186,0.4657444005270092
Ca_Mau,7,30,0.544,0.6976744186046512,0.6593406593406593,0.6779661016949152,0.5449256625727215
Ca_Mau,7,7,0.568,0.7846153846153846,0.5604395604395604,0.6538461538461539,0.6160310277957337
Ca_Mau,7,5,0.552,0.7611940298507462,0.5604395604395604,0.6455696202531646,0.5688429217840982
Ca_Mau,7,3,0.544,0.75,0.5604395604395604,0.6415094339622641,0.5423400129282483
Ca_Mau,7,10,0.552,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.5904977375565611
Ca_Mau,7,15,0.528,0.7424242424242424,0.5384615384615384,0.6242038216560509,0.5627020038784745
Can_Tho,7,30,0.544,0.6197183098591549,0.5945945945945946,0.6068965517241379,0.5638579756226816
Can_Tho,7,15,0.576,0.6779661016949152,0.5405405405405406,0.6015037593984962,0.6160572337042924
Can_Tho,7,7,0.568,0.6785714285714286,0.5135135135135135,0.5846153846153846,0.5885002649708532
Can_Tho,7,10,0.552,0.65,0.527027027027027,0.582089552238806,0.5943296237413885
Can_Tho,7,3,0.448,0.5471698113207547,0.3918918918918919,0.4566929133858268,0.5026497085320615
Can_Tho,7,5,0.456,0.56,0.3783783783783784,0.45161290322580644,0.525172231054584
Cao_Bang,7,30,0.64,0.7021276595744681,0.7951807228915663,0.7457627118644068,0.5312679288582903
Cao_Bang,7,7,0.52,0.6352941176470588,0.6506024096385542,0.6428571428571429,0.36603557085484795
Cao_Bang,7,15,0.52,0.6419753086419753,0.6265060240963856,0.6341463414634146,0.4434882386689616
Cao_Bang,7,5,0.488,0.6091954022988506,0.6385542168674698,0.6235294117647059,0.3387837062535858
Cao_Bang,7,10,0.504,0.6296296296296297,0.6144578313253012,0.6219512195121951,0.4139414802065405
Cao_Bang,7,3,0.488,0.6144578313253012,0.6144578313253012,0.6144578313253012,0.3832472748135399
Da_Nang,7,30,0.616,0.5865384615384616,0.9242424242424242,0.7176470588235294,0.6638418079096046
Da_Nang,7,10,0.608,0.5794392523364486,0.9393939393939394,0.7167630057803468,0.6777092963533641
Da_Nang,7,3,0.568,0.5517241379310345,0.9696969696969697,0.7032967032967034,0.48382126348228044
Da_Nang,7,15,0.592,0.5742574257425742,0.8787878787878788,0.6946107784431138,0.6540832049306625
Da_Nang,7,5,0.544,0.5384615384615384,0.9545454545454546,0.6885245901639344,0.5259373394966615
Da_Nang,7,7,0.536,0.5344827586206896,0.9393939393939394,0.6813186813186813,0.5523882896764253
Dak_Lak,7,7,0.664,0.5849056603773585,0.6078431372549019,0.5961538461538461,0.6791202967673555
Dak_Lak,7,10,0.648,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.6875993640699524
Dak_Lak,7,15,0.608,0.5178571428571429,0.5686274509803921,0.5420560747663551,0.6462639109697933
